bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0.0,1.0,46.0,2297.0,6.0,1.0,1.0,2.0,True,3,False,,21-30,True
0.0,1.0,22.0,5177.0,16.0,1.0,2.0,14.0,True,3,False,,21-30,True
0.0,162.0,604.0,1771.0,187.0,0.0,0.0,136.0,True,3,False,,23-30,True
0.0,0.0,11.0,8958.0,13.0,0.0,1.0,4.0,True,3,True,1,23-30,True
0.0,299.0,1626.0,1914.0,2.0,0.0,0.0,0.0,True,3,False,,25-30,True
0.0,3.0,37.0,7424.0,34.0,1.0,1.0,2.0,True,3,True,1,25-30,True
0.0,2.0,630.0,2211.0,4.0,0.0,0.0,0.0,True,3,True,1,26-30,True
0.0,0.0,12.0,7371.0,15.0,0.0,1.0,6.0,True,3,True,1,26-30,True
0.0,1.0,178.0,2027.0,3.0,0.0,0.0,0.0,True,3,False,,27-30,True
0.0,0.0,48.0,7814.0,18.0,2.0,1.0,3.0,True,3,True,1,27-30,True
0.0,1644.0,140.0,1606.0,3.0,0.0,0.0,0.0,True,3,True,4,NT-20-30,False
0.0,0.0,263.0,12461.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-20-30,False
