bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0.0,4.0,83.0,1700.0,10.0,1.0,0.0,1.0,True,3,False,,20-30,True
0.0,3.0,42.0,3489.0,17.0,2.0,4.0,22.0,True,3,False,,20-30,True
0.0,41.0,904.0,1640.0,7.0,0.0,0.0,1.0,True,3,False,,21-30,True
0.0,4.0,26.0,4553.0,50.0,2.0,2.0,28.0,True,3,False,,21-30,True
0.0,232.0,1764.0,1679.0,1.0,0.0,0.0,0.0,True,3,False,,22-30,True
0.0,2.0,139.0,4736.0,18.0,1.0,10.0,6.0,True,3,False,,22-30,True
0.0,54.0,762.0,1505.0,12.0,0.0,0.0,1.0,True,3,False,,23-25,True
0.0,3.0,23.0,4953.0,47.0,2.0,3.0,30.0,True,3,False,,23-25,True
0.0,140.0,769.0,1452.0,10.0,0.0,0.0,1.0,True,3,False,,24-25,True
0.0,3.0,34.0,4195.0,17.0,3.0,4.0,11.0,True,3,False,,24-25,True
0.0,1.0,165.0,2248.0,4.0,0.0,0.0,0.0,True,3,True,1,26-25,True
0.0,10.0,65.0,6985.0,8.0,3.0,9.0,10.0,True,3,False,,26-25,True
0.0,11.0,1558.0,2106.0,5.0,0.0,0.0,1.0,True,3,True,1,27-25,True
0.0,9.0,70.0,8332.0,36.0,9.0,17.0,27.0,True,3,True,1,27-25,True
