bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0.0,1.0,264.0,3368.0,5.0,0.0,0.0,0.0,True,3,False,,CR-1,True
0.0,1.0,121.0,8466.0,10.0,0.0,0.0,0.0,True,3,True,1,CR-1,True
0.0,7.0,515.0,2946.0,8.0,1.0,1.0,0.0,True,3,True,1,CR-2,True
0.0,1.0,48.0,5104.0,9.0,0.0,1.0,0.0,True,3,False,,CR-2,True
0.0,5.0,274.0,2893.0,6.0,1.0,0.0,1.0,True,3,False,,CR-3,True
0.0,2.0,162.0,4415.0,24.0,0.0,1.0,1.0,True,3,False,,CR-3,True
0.0,5.0,170.0,6679.0,9.0,1.0,1.0,1.0,True,3,True,1,CR-4,True
0.0,1.0,774.0,5326.0,6.0,0.0,0.0,0.0,True,3,False,,CR-4,True
0.0,1.0,63.0,5293.0,23.0,0.0,0.0,1.0,True,3,False,,CR-5,True
0.0,2.0,92.0,11926.0,2.0,0.0,0.0,1.0,True,3,True,1,CR-5,True
0.0,0.0,46.0,6243.0,22.0,0.0,0.0,1.0,True,3,True,1,CR-6,True
0.0,5.0,88.0,10573.0,15.0,0.0,1.0,10.0,True,3,True,1,CR-6,True
0.0,0.0,32.0,5778.0,29.0,0.0,0.0,0.0,True,3,False,,CR-7,True
0.0,2.0,69.0,10843.0,60.0,4.0,0.0,1.0,True,3,True,1,CR-7,True
