bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0.0,4.0,342.0,1824.0,2.0,0.0,0.0,0.0,True,3,False,,CR-1,True
0.0,1.0,47.0,5036.0,10.0,0.0,1.0,0.0,True,3,False,,CR-1,True
0.0,10.0,315.0,1997.0,14.0,0.0,0.0,0.0,True,3,False,,CR-2,True
0.0,0.0,52.0,4757.0,22.0,0.0,1.0,5.0,True,3,False,,CR-2,True
0.0,14.0,375.0,1465.0,21.0,0.0,0.0,0.0,True,3,False,,CR-3,True
0.0,5.0,67.0,4710.0,22.0,2.0,9.0,12.0,True,3,False,,CR-3,True
0.0,7.0,433.0,1864.0,44.0,3.0,2.0,29.0,True,3,False,,CR-4,True
0.0,2.0,36.0,5634.0,139.0,1.0,1.0,0.0,True,3,False,,CR-4,True
0.0,2.0,474.0,2208.0,3.0,2.0,66.0,3.0,True,3,False,,CR-5,True
0.0,2.0,29.0,7064.0,9.0,1.0,1.0,19.0,True,3,True,1,CR-5,True
0.0,3.0,119.0,3063.0,13.0,0.0,1.0,4.0,True,3,False,,CR-6,True
0.0,12.0,499.0,5330.0,115.0,10.0,3.0,6.0,True,3,False,,CR-6,True
0.0,28.0,145.0,1478.0,26.0,1.0,0.0,1.0,True,3,False,,CR-7,True
0.0,1.0,73.0,3224.0,13.0,1.0,1.0,0.0,True,3,False,,CR-7,True
