bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0.0,50.0,552.0,1886.0,2.0,0.0,0.0,0.0,True,3,True,4,CR-1,True
0.0,3.0,58.0,8226.0,6.0,0.0,0.0,1.0,True,3,True,1,CR-1,True
0.0,2.0,232.0,2413.0,5.0,1.0,0.0,0.0,True,3,False,,CR-10,True
0.0,2.0,67.0,3984.0,7.0,1.0,1.0,2.0,True,3,False,,CR-10,True
0.0,40.0,146.0,1966.0,9.0,1.0,1.0,0.0,True,3,False,,CR-11,True
0.0,2.0,73.0,3936.0,7.0,0.0,1.0,1.0,True,3,False,,CR-11,True
0.0,9.0,120.0,1649.0,13.0,1.0,1.0,0.0,True,3,False,,CR-2,True
0.0,0.0,86.0,6785.0,9.0,1.0,2.0,0.0,True,3,True,1,CR-2,True
0.0,1.0,66.0,1743.0,11.0,1.0,1.0,0.0,True,3,False,,CR-3,True
0.0,11.0,414.0,2002.0,30.0,1.0,1.0,1.0,True,3,False,,CR-3,True
0.0,2.0,125.0,1675.0,14.0,1.0,1.0,0.0,True,3,False,,CR-4,True
0.0,21.0,473.0,1807.0,30.0,1.0,2.0,3.0,True,3,False,,CR-4,True
0.0,3.0,128.0,1572.0,15.0,1.0,1.0,0.0,True,3,False,,CR-6,True
0.0,15.0,337.0,6470.0,8.0,1.0,1.0,2.0,True,3,True,1,CR-6,True
0.0,4.0,139.0,1530.0,14.0,1.0,1.0,1.0,True,3,False,,CR-7,True
0.0,22.0,752.0,9441.0,4.0,0.0,0.0,0.0,True,3,True,1,CR-7,True
0.0,2.0,73.0,1687.0,11.0,1.0,1.0,1.0,True,3,False,,CR-8,True
0.0,8.0,284.0,3834.0,9.0,0.0,1.0,2.0,True,3,False,,CR-8,True
0.0,17.0,359.0,1555.0,12.0,1.0,1.0,0.0,True,3,False,,CR-9,True
0.0,6.0,69.0,2206.0,10.0,1.0,2.0,2.0,False,,False,,CR-9,True
0.0,699.0,211.0,2518.0,4.0,0.0,1.0,0.0,True,3,True,4,NT-Add,False
0.0,44.0,113.0,7697.0,6.0,1.0,1.0,2.0,True,3,True,1,NT-Add,False
0.0,315.0,192.0,2512.0,6.0,0.0,0.0,0.0,True,3,True,4,NT-Add2,False
0.0,4.0,110.0,7012.0,6.0,0.0,0.0,0.0,True,3,True,1,NT-Add2,False
0.0,655.0,174.0,2518.0,5.0,1.0,1.0,0.0,True,3,True,4,NT-Add3,False
0.0,0.0,60.0,7219.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-Add3,False
0.0,663.0,194.0,2707.0,4.0,1.0,1.0,0.0,True,3,True,4,NT-Add4,False
0.0,2.0,64.0,7531.0,6.0,0.0,0.0,0.0,True,3,True,1,NT-Add4,False
0.0,725.0,207.0,2613.0,4.0,1.0,0.0,0.0,True,3,True,4,NT-Add5,False
0.0,1.0,73.0,6792.0,6.0,0.0,0.0,0.0,True,3,True,1,NT-Add5,False
