bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0.0,6.0,165.0,2923.0,16.0,1.0,1.0,1.0,True,3,False,,CR-1,True
0.0,1.0,167.0,5607.0,12.0,0.0,0.0,0.0,True,3,False,,CR-1,True
0.0,4.0,169.0,1582.0,14.0,1.0,1.0,0.0,True,3,False,,CR-2,True
0.0,1.0,206.0,10401.0,10.0,0.0,0.0,0.0,True,3,True,1,CR-2,True
0.0,1.0,90.0,1842.0,12.0,1.0,1.0,0.0,True,3,False,,CR-3,True
0.0,30.0,902.0,4656.0,73.0,13.0,11.0,31.0,True,3,False,,CR-3,True
0.0,2.0,87.0,1631.0,13.0,1.0,1.0,0.0,True,3,False,,CR-4,True
0.0,2.0,502.0,9741.0,21.0,0.0,0.0,0.0,True,3,True,1,CR-4,True
0.0,4.0,111.0,4698.0,13.0,1.0,1.0,0.0,True,3,True,1,CR-5,True
0.0,2.0,206.0,5526.0,15.0,0.0,0.0,1.0,True,3,False,,CR-5,True
0.0,39.0,1309.0,1778.0,18.0,22.0,4.0,5.0,True,3,False,,CR-6,True
0.0,0.0,46.0,5485.0,15.0,1.0,0.0,3.0,True,3,False,,CR-6,True
0.0,156.0,1915.0,1871.0,9.0,0.0,0.0,0.0,True,3,False,,CR-7,True
0.0,1.0,110.0,7592.0,9.0,0.0,0.0,1.0,True,3,False,,CR-7,True
0.0,90.0,1051.0,1532.0,6.0,1.0,1.0,0.0,True,3,False,,CR-8,True
0.0,5.0,192.0,2835.0,30.0,0.0,0.0,8.0,True,3,False,,CR-8,True
0.0,612.0,1196.0,1728.0,5.0,0.0,0.0,0.0,True,3,False,,CR-9,True
0.0,2.0,108.0,3833.0,14.0,1.0,2.0,11.0,True,3,False,,CR-9,True
