bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0.0,1594.0,399.0,1700.0,9.0,2.0,1.0,2.0,True,3,False,,CR-1,True
0.0,10.0,252.0,10395.0,29.0,0.0,0.0,1.0,True,1,False,,CR-1,True
0.0,1578.0,288.0,1683.0,13.0,1.0,1.0,0.0,True,3,False,,CR-2,True
0.0,17.0,295.0,4062.0,14.0,1.0,4.0,3.0,True,3,False,,CR-2,True
0.0,14.0,489.0,1505.0,12.0,1.0,1.0,0.0,True,3,False,,CR-3,True
0.0,7.0,100.0,3607.0,54.0,2.0,1.0,2.0,True,3,False,,CR-3,True
0.0,24.0,434.0,1414.0,10.0,1.0,1.0,0.0,True,3,False,,CR-4,True
0.0,5.0,90.0,3590.0,48.0,1.0,1.0,4.0,True,3,False,,CR-4,True
0.0,1.0,77.0,2474.0,12.0,1.0,1.0,0.0,True,3,False,,CR-5,True
0.0,4.0,98.0,5035.0,17.0,0.0,0.0,2.0,True,3,False,,CR-5,True
0.0,8.0,440.0,2052.0,10.0,1.0,1.0,0.0,True,3,False,,CR-6,True
0.0,3.0,88.0,4828.0,16.0,0.0,0.0,2.0,True,3,False,,CR-6,True
0.0,7.0,149.0,2131.0,13.0,2.0,2.0,0.0,True,3,False,,CR-7,True
0.0,3.0,78.0,5960.0,14.0,0.0,0.0,1.0,True,3,True,1,CR-7,True
