bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0.0,1.0,140.0,1917.0,5.0,0.0,0.0,0.0,True,3,False,,CR-1,True
0.0,11.0,320.0,3341.0,17.0,1.0,1.0,2.0,True,3,False,,CR-1,True
0.0,1.0,64.0,1826.0,6.0,0.0,0.0,0.0,True,3,False,,CR-2,True
0.0,8.0,115.0,5556.0,14.0,0.0,0.0,2.0,True,3,False,,CR-2,True
0.0,52.0,320.0,1742.0,4.0,0.0,0.0,1.0,True,3,False,,CR-3,True
0.0,11.0,94.0,4475.0,32.0,0.0,1.0,3.0,True,3,False,,CR-3,True
0.0,2.0,367.0,2137.0,1.0,0.0,0.0,0.0,True,3,True,1,CR-5,True
0.0,5.0,89.0,8118.0,8.0,0.0,0.0,11.0,True,3,True,1,CR-5,True
0.0,110.0,164.0,1983.0,2.0,0.0,0.0,0.0,True,3,True,4,NT-1,False
0.0,11.0,368.0,11076.0,9.0,1.0,0.0,0.0,True,3,True,1,NT-1,False
0.0,130.0,156.0,2000.0,2.0,0.0,0.0,0.0,True,3,True,4,NT-10,False
0.0,4.0,55.0,9663.0,7.0,0.0,0.0,0.0,True,3,True,1,NT-10,False
0.0,83.0,152.0,1879.0,3.0,0.0,0.0,0.0,True,3,True,4,NT-11,False
0.0,0.0,8.0,14285.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-11,False
0.0,495.0,159.0,1968.0,2.0,0.0,0.0,0.0,True,3,True,4,NT-12,False
0.0,3.0,64.0,9622.0,6.0,0.0,0.0,0.0,True,3,True,1,NT-12,False
0.0,138.0,154.0,1983.0,2.0,0.0,0.0,0.0,True,3,True,4,NT-2,False
0.0,10.0,238.0,10163.0,153.0,0.0,0.0,2.0,True,3,True,1,NT-2,False
0.0,162.0,155.0,1975.0,2.0,0.0,0.0,0.0,True,3,True,4,NT-3,False
0.0,9.0,306.0,11125.0,10.0,0.0,0.0,0.0,True,3,True,1,NT-3,False
17.0,502.0,602.0,1779.0,5.0,2.0,1.0,6.0,True,3,True,4,NT-30-30,False
0.0,11.0,164.0,7322.0,6.0,0.0,0.0,0.0,True,3,True,1,NT-30-30,False
0.0,159.0,154.0,1956.0,2.0,0.0,0.0,0.0,True,3,True,4,NT-4,False
0.0,8.0,298.0,9030.0,5.0,0.0,0.0,1.0,True,3,True,1,NT-4,False
0.0,657.0,159.0,1983.0,2.0,0.0,0.0,0.0,True,3,True,4,NT-5,False
0.0,7.0,306.0,9203.0,7.0,0.0,0.0,0.0,True,3,True,1,NT-5,False
0.0,506.0,152.0,2011.0,2.0,0.0,0.0,0.0,True,3,True,4,NT-6,False
0.0,5.0,130.0,9089.0,7.0,0.0,0.0,0.0,True,3,True,1,NT-6,False
0.0,509.0,184.0,2276.0,5.0,0.0,0.0,1.0,True,3,True,4,NT-7,False
0.0,3.0,100.0,10596.0,7.0,0.0,0.0,0.0,True,3,True,1,NT-7,False
0.0,266.0,175.0,2273.0,3.0,0.0,0.0,1.0,True,3,True,4,NT-8,False
0.0,1.0,79.0,7817.0,11.0,0.0,0.0,1.0,True,3,True,1,NT-8,False
0.0,358.0,169.0,2235.0,3.0,0.0,0.0,1.0,True,3,True,4,NT-9,False
0.0,4.0,68.0,9353.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-9,False
