bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0.0,1.0,117.0,2348.0,6.0,0.0,0.0,0.0,True,3,False,,CR-1,True
0.0,0.0,4.0,5376.0,15.0,1.0,1.0,2.0,True,3,False,,CR-1,True
0.0,2.0,255.0,2118.0,5.0,0.0,0.0,0.0,True,3,True,1,CR-2,True
0.0,4.0,734.0,5178.0,6.0,5.0,13.0,9.0,True,3,False,,CR-2,True
0.0,1.0,95.0,2584.0,7.0,0.0,0.0,0.0,True,3,False,,CR-3,True
0.0,1.0,37.0,5415.0,17.0,2.0,1.0,1.0,True,3,False,,CR-3,True
0.0,1.0,111.0,2665.0,4.0,0.0,0.0,0.0,True,3,True,1,CR-4,True
0.0,15.0,267.0,5978.0,16.0,0.0,0.0,0.0,True,3,False,,CR-4,True
1.0,145.0,186.0,1054.0,11.0,13.0,4.0,7.0,True,3,False,,CR-5,True
0.0,6.0,299.0,4997.0,21.0,1.0,3.0,27.0,True,3,False,,CR-5,True
0.0,135.0,169.0,1196.0,8.0,5.0,5.0,4.0,True,3,False,,CR-6,True
0.0,2.0,43.0,3935.0,13.0,0.0,1.0,2.0,True,3,False,,CR-6,True
0.0,90.0,139.0,1200.0,16.0,8.0,5.0,9.0,True,3,False,,CR-7,True
0.0,1.0,10.0,4254.0,16.0,1.0,2.0,14.0,True,3,False,,CR-7,True
