bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0.0,103.0,302.0,1453.0,4.0,0.0,1.0,0.0,True,3,False,,CR-1,True
0.0,1.0,19.0,4451.0,15.0,1.0,1.0,1.0,True,3,False,,CR-1,True
0.0,54.0,903.0,1456.0,2.0,0.0,0.0,1.0,True,3,False,,CR-2,True
0.0,1.0,20.0,4813.0,20.0,3.0,1.0,1.0,True,3,False,,CR-2,True
0.0,2.0,71.0,1704.0,11.0,1.0,1.0,2.0,True,3,False,,CR-3,True
0.0,1.0,623.0,9051.0,22.0,0.0,0.0,0.0,True,3,True,1,CR-3,True
0.0,1.0,107.0,5259.0,6.0,0.0,0.0,0.0,True,3,True,1,CR-4,True
0.0,3.0,885.0,9393.0,14.0,0.0,0.0,0.0,True,3,True,1,CR-4,True
0.0,5.0,350.0,3397.0,2.0,0.0,0.0,0.0,True,3,True,1,CR-5,True
0.0,1.0,63.0,6914.0,9.0,0.0,0.0,1.0,True,3,False,,CR-5,True
0.0,25.0,840.0,1895.0,7.0,1.0,0.0,1.0,True,3,False,,CR-6,True
0.0,3.0,45.0,5831.0,72.0,2.0,0.0,6.0,True,3,False,,CR-6,True
0.0,172.0,1112.0,1468.0,4.0,0.0,0.0,1.0,True,3,False,,CR-7,True
0.0,0.0,40.0,4854.0,18.0,0.0,0.0,1.0,True,3,False,,CR-7,True
