bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0.0,2.0,102.0,1684.0,17.0,0.0,0.0,1.0,True,3,False,,CR-1,True
0.0,18.0,466.0,7151.0,7.0,0.0,0.0,0.0,True,3,False,,CR-1,True
0.0,2.0,146.0,1760.0,1.0,0.0,0.0,0.0,True,3,False,,CR-2,True
0.0,11.0,520.0,4257.0,10.0,3.0,19.0,29.0,True,3,False,,CR-2,True
0.0,10.0,1039.0,1807.0,3.0,0.0,0.0,0.0,True,3,False,,CR-3,True
0.0,9.0,145.0,7133.0,14.0,0.0,0.0,1.0,True,3,False,,CR-3,True
0.0,138.0,1091.0,1685.0,1.0,0.0,0.0,0.0,True,3,False,,CR-4,True
0.0,8.0,263.0,10824.0,7.0,0.0,0.0,0.0,True,3,True,1,CR-4,True
0.0,983.0,399.0,1479.0,3.0,0.0,0.0,0.0,True,3,True,4,CR-5,True
0.0,5.0,62.0,10976.0,18.0,1.0,1.0,0.0,True,3,True,1,CR-5,True
0.0,155.0,1047.0,1633.0,1.0,0.0,0.0,0.0,True,3,False,,CR-6,True
0.0,0.0,22.0,12552.0,17.0,1.0,0.0,0.0,True,3,True,1,CR-6,True
0.0,1.0,50.0,5435.0,2.0,0.0,0.0,0.0,True,3,True,1,CR-7,True
0.0,3.0,19.0,8303.0,11.0,2.0,11.0,50.0,True,3,True,1,CR-7,True
