bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0.0,1606.0,739.0,2123.0,2.0,0.0,0.0,0.0,True,3,False,,CR-1,True
0.0,3.0,152.0,12505.0,12.0,0.0,0.0,0.0,True,3,True,1,CR-1,True
0.0,1360.0,715.0,2143.0,5.0,0.0,0.0,0.0,True,3,False,,CR-2,True
0.0,3.0,157.0,12706.0,17.0,0.0,0.0,0.0,True,3,True,1,CR-2,True
0.0,1232.0,672.0,2133.0,2.0,0.0,0.0,0.0,True,3,False,,CR-3,True
0.0,1.0,43.0,8688.0,17.0,1.0,0.0,0.0,True,3,True,1,CR-3,True
0.0,1417.0,394.0,2025.0,2.0,0.0,0.0,0.0,True,3,True,4,CR-4,True
0.0,2.0,79.0,6121.0,6.0,0.0,0.0,7.0,True,3,False,,CR-4,True
0.0,1344.0,604.0,2134.0,2.0,0.0,0.0,0.0,True,3,False,,CR-5,True
0.0,2.0,58.0,8224.0,12.0,0.0,0.0,2.0,True,3,True,1,CR-5,True
0.0,2.0,129.0,2616.0,6.0,0.0,0.0,1.0,True,3,False,,CR-6,True
0.0,2.0,190.0,4038.0,17.0,0.0,0.0,1.0,True,3,False,,CR-6,True
0.0,9.0,98.0,2665.0,24.0,2.0,1.0,2.0,True,3,False,,CR-7,True
0.0,2.0,38.0,5391.0,30.0,2.0,2.0,14.0,True,3,False,,CR-7,True
