bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0.0,1.0,181.0,1647.0,6.0,0.0,0.0,0.0,True,3,False,,22-30,True
0.0,2.0,191.0,4951.0,55.0,2.0,3.0,120.0,True,3,False,,22-30,True
0.0,1.0,57.0,1983.0,13.0,0.0,0.0,0.0,True,3,False,,23-30,True
0.0,6.0,389.0,2732.0,16.0,1.0,2.0,0.0,True,3,False,,23-30,True
0.0,6.0,964.0,1725.0,4.0,0.0,0.0,0.0,True,3,False,,24-30,True
0.0,611.0,658.0,1020.0,18.0,0.0,1.0,0.0,True,3,False,,24-30,True
0.0,116.0,201.0,1779.0,19.0,0.0,0.0,0.0,True,3,False,,25-30,True
0.0,10.0,667.0,1584.0,38.0,1.0,2.0,5.0,True,3,False,,25-30,True
0.0,204.0,394.0,1722.0,19.0,0.0,1.0,1.0,True,3,False,,26-30,True
0.0,6.0,167.0,3074.0,20.0,3.0,4.0,3.0,True,3,False,,26-30,True
0.0,798.0,181.0,1556.0,25.0,0.0,0.0,0.0,True,3,True,4,27-30,True
0.0,48.0,531.0,2541.0,25.0,2.0,3.0,5.0,True,3,False,,27-30,True
0.0,1344.0,191.0,1526.0,20.0,1.0,1.0,1.0,True,3,True,4,27,True
0.0,48.0,536.0,2691.0,22.0,1.0,1.0,0.0,True,3,False,,27,True
