bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0.0,1.0,40.0,3273.0,38.0,0.0,0.0,0.0,True,3,False,,22-30_var,True
0.0,3.0,27.0,6469.0,21.0,1.0,0.0,2.0,True,3,False,,22-30_var,True
0.0,3.0,117.0,2052.0,23.0,0.0,0.0,0.0,True,3,False,,23-30_var,True
0.0,3.0,618.0,3695.0,33.0,4.0,3.0,5.0,True,3,False,,23-30_var,True
0.0,2.0,133.0,2114.0,4.0,0.0,0.0,0.0,True,3,False,,24-30_var,True
0.0,3.0,18.0,5219.0,23.0,4.0,4.0,16.0,True,3,False,,24-30_var,True
0.0,18.0,1038.0,1803.0,10.0,0.0,0.0,0.0,True,3,False,,25-30_var,True
0.0,1.0,21.0,7063.0,10.0,0.0,0.0,14.0,True,3,True,1,25-30_var,True
0.0,34.0,522.0,1892.0,33.0,5.0,6.0,17.0,True,3,False,,26-30_var,True
0.0,6.0,223.0,7286.0,15.0,3.0,71.0,12.0,True,3,True,1,26-30_var,True
0.0,1961.0,196.0,1569.0,10.0,0.0,0.0,1.0,True,3,True,4,27-30_var,True
0.0,1.0,282.0,12784.0,14.0,0.0,0.0,0.0,True,3,True,1,27-30_var,True
