bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0.0,30.0,481.0,1515.0,12.0,0.0,0.0,0.0,True,3,False,,20-30,True
0.0,3.0,47.0,4957.0,142.0,0.0,0.0,1.0,True,3,False,,20-30,True
0.0,32.0,425.0,1525.0,7.0,0.0,1.0,1.0,True,3,False,,21-30,True
0.0,3.0,29.0,5112.0,16.0,2.0,2.0,7.0,True,3,False,,21-30,True
0.0,93.0,483.0,1532.0,25.0,1.0,1.0,1.0,True,3,False,,22-30,True
0.0,8.0,228.0,4806.0,22.0,1.0,1.0,9.0,True,3,False,,22-30,True
0.0,73.0,534.0,1523.0,35.0,4.0,2.0,8.0,True,3,False,,23-30,True
0.0,9.0,265.0,6311.0,25.0,3.0,4.0,16.0,True,3,False,,23-30,True
0.0,483.0,784.0,1503.0,19.0,0.0,1.0,0.0,True,3,False,,24-30,True
0.0,4.0,506.0,6847.0,5.0,0.0,0.0,0.0,True,3,True,1,24-30,True
0.0,0.0,176.0,2562.0,9.0,0.0,0.0,0.0,True,3,True,1,25-30,True
1.0,13.0,139.0,9830.0,9.0,0.0,0.0,3.0,True,3,True,1,25-30,True
