bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0.0,1.0,139.0,1489.0,7.0,0.0,1.0,1.0,True,3,False,,20-30,True
0.0,0.0,154.0,10364.0,24.0,0.0,0.0,0.0,True,3,True,1,20-30,True
0.0,1.0,81.0,1640.0,9.0,1.0,2.0,6.0,True,3,False,,21-30,True
0.0,0.0,171.0,9091.0,16.0,0.0,0.0,0.0,True,3,True,1,21-30,True
0.0,1.0,56.0,4556.0,4.0,0.0,0.0,0.0,True,3,True,1,22-30,True
0.0,1.0,191.0,5036.0,7.0,0.0,1.0,19.0,True,3,False,,22-30,True
0.0,2.0,76.0,1860.0,6.0,0.0,0.0,0.0,True,3,False,,23-30,True
0.0,2.0,86.0,5056.0,11.0,0.0,1.0,1.0,True,3,False,,23-30,True
0.0,8.0,957.0,1647.0,20.0,1.0,0.0,0.0,True,3,False,,24-30,True
0.0,4.0,84.0,3660.0,15.0,3.0,4.0,7.0,True,3,False,,24-30,True
0.0,1.0,247.0,1931.0,9.0,0.0,0.0,1.0,True,3,False,,25-30,True
0.0,3.0,60.0,5559.0,16.0,6.0,4.0,8.0,True,3,False,,25-30,True
