bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
355.0,274.0,7.0,1.0,17.0,0.0,1.0,17.0,True,2,True,4,3,True
8.0,77.0,302.0,1478.0,9.0,0.0,1.0,5.0,True,3,False,,3,True
188.0,884.0,1.0,0.0,2.0,12.0,1.0,13.0,True,2,True,4,3,True
59.0,65.0,238.0,1277.0,18.0,0.0,1.0,2.0,True,3,False,,3,True
87.0,6494.0,1.0,0.0,1.0,0.0,0.0,19.0,True,2,True,4,3,True
154.0,784.0,360.0,2170.0,3.0,0.0,0.0,1.0,True,3,True,4,3,True
77.0,3497.0,4.0,1.0,2.0,0.0,0.0,17.0,True,2,True,4,3,True
68.0,353.0,248.0,1383.0,4.0,0.0,0.0,1.0,True,3,True,4,3,True
56.0,3465.0,9.0,0.0,1.0,0.0,0.0,11.0,True,2,True,4,3,True
14.0,7354.0,435.0,2418.0,2.0,1.0,0.0,0.0,True,3,True,4,3,True
71.0,2091.0,7.0,1.0,1.0,0.0,1.0,42.0,True,2,True,4,3,True
97.0,1532.0,371.0,2463.0,7.0,1.0,0.0,1.0,True,3,True,4,3,True
253.0,19.0,1.0,1.0,2.0,1.0,2.0,57.0,True,4,False,,N,False
3.0,89.0,235.0,1519.0,21.0,0.0,1.0,1.0,True,3,False,,N,False
234.0,13.0,1.0,1.0,1.0,0.0,2.0,59.0,True,2,True,4,N,False
14.0,206.0,342.0,1993.0,18.0,1.0,2.0,4.0,True,3,False,,N,False
251.0,13.0,1.0,1.0,1.0,1.0,2.0,60.0,True,2,True,4,N,False
14.0,67.0,274.0,1571.0,19.0,0.0,0.0,1.0,True,3,False,,N,False
297.0,9.0,1.0,1.0,1.0,1.0,2.0,59.0,True,4,False,,N,False
3.0,56.0,295.0,1693.0,16.0,0.0,1.0,0.0,True,3,False,,N,False
378.0,9.0,1.0,1.0,1.0,1.0,2.0,61.0,True,4,False,,N,False
5.0,54.0,317.0,1723.0,10.0,0.0,1.0,0.0,True,3,False,,N,False
485.0,15.0,1.0,1.0,1.0,1.0,2.0,62.0,True,4,False,,N,False
56.0,373.0,457.0,2365.0,5.0,0.0,0.0,0.0,True,3,True,4,N,False
