"",bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0,325.0,30.0,2.0,3.0,2.0,0.0,1.0,20.0,True,2,True,4.0,40-30,True
1,0.0,1.0,97.0,2974.0,20.0,1.0,1.0,9.0,True,3,False,NaN,40-30,True
2,386.0,30.0,2.0,2.0,2.0,0.0,1.0,20.0,True,2,True,4.0,42-30,True
3,0.0,2.0,91.0,2957.0,16.0,1.0,2.0,16.0,True,3,False,NaN,42-30,True
4,219.0,182.0,2.0,3.0,2.0,0.0,1.0,21.0,True,2,True,4.0,44-32,True
5,0.0,4.0,60.0,3049.0,15.0,4.0,4.0,12.0,True,3,False,NaN,44-32,True
6,151.0,204.0,2.0,3.0,1.0,0.0,0.0,20.0,True,2,True,4.0,46-34,True
7,6.0,75.0,53.0,3359.0,16.0,0.0,1.0,7.0,True,3,False,NaN,46-34,True
8,3.0,807.0,50.0,3727.0,12.0,0.0,0.0,2.0,True,3,False,NaN,48-36,True
9,81.0,263.0,506.0,18.0,2.0,0.0,1.0,21.0,True,2,False,NaN,48-36,True
10,3.0,345.0,384.0,4284.0,17.0,0.0,0.0,1.0,True,3,False,NaN,50-38,True
11,61.0,158.0,11.0,5.0,2.0,3.0,6.0,27.0,True,2,False,NaN,50-38,True
12,341.0,22.0,1.0,3.0,1.0,0.0,1.0,20.0,True,2,True,4.0,NM_40-28,True
13,0.0,0.0,52.0,2752.0,15.0,0.0,0.0,9.0,True,3,False,NaN,NM_40-28,True
14,0.0,0.0,91.0,10016.0,20.0,0.0,0.0,1.0,True,3,True,1.0,NT-28-40,False
15,202.0,24.0,2.0,3.0,2.0,1.0,1.0,19.0,True,2,True,4.0,NT-28-40,False
16,0.0,0.0,93.0,10443.0,22.0,0.0,0.0,1.0,True,3,True,1.0,NT-30-42,False
17,226.0,32.0,2.0,3.0,1.0,0.0,0.0,21.0,True,2,True,4.0,NT-30-42,False
18,0.0,0.0,92.0,10904.0,23.0,0.0,0.0,0.0,True,3,True,1.0,NT-32-44,False
19,224.0,28.0,2.0,4.0,1.0,0.0,0.0,21.0,True,2,True,4.0,NT-32-44,False
20,0.0,0.0,101.0,11320.0,22.0,0.0,0.0,0.0,True,3,True,1.0,NT-34-46,False
21,125.0,32.0,3.0,3.0,2.0,0.0,1.0,20.0,True,2,True,4.0,NT-34-46,False
22,0.0,0.0,94.0,11607.0,23.0,1.0,1.0,1.0,True,3,True,1.0,NT-36-48,False
23,122.0,29.0,3.0,3.0,2.0,0.0,1.0,23.0,True,2,True,4.0,NT-36-48,False
24,0.0,0.0,111.0,11801.0,22.0,0.0,0.0,1.0,True,3,True,1.0,NT-38-50,False
25,278.0,29.0,2.0,3.0,2.0,0.0,1.0,24.0,True,2,True,4.0,NT-38-50,False
26,30.0,1442.0,96.0,3.0,2.0,1.0,1.0,19.0,True,2,False,NaN,40-32,True
27,6.0,1304.0,21.0,3335.0,26.0,1.0,0.0,2.0,True,3,False,NaN,40-32,True
28,38.0,417.0,1011.0,25.0,2.0,0.0,1.0,20.0,True,2,False,NaN,42-34,True
29,2.0,2959.0,142.0,3639.0,26.0,0.0,0.0,0.0,True,3,False,NaN,42-34,True
30,450.0,27.0,2.0,3.0,1.0,0.0,1.0,22.0,True,2,True,4.0,44-28,True
31,0.0,1.0,6.0,3467.0,18.0,0.0,0.0,0.0,True,3,False,NaN,44-28,True
32,34.0,86.0,1233.0,40.0,2.0,0.0,0.0,21.0,True,2,False,NaN,44-36,True
33,0.0,1067.0,553.0,3923.0,14.0,0.0,0.0,0.0,True,3,False,NaN,44-36,True
34,4.0,36.0,441.0,55.0,3.0,1.0,1.0,23.0,True,2,False,NaN,46-38,True
35,0.0,78.0,867.0,4160.0,14.0,0.0,1.0,0.0,True,3,False,NaN,46-38,True
36,54.0,234.0,174.0,18.0,3.0,1.0,0.0,19.0,True,2,False,NaN,48-40,True
37,0.0,221.0,2992.0,5035.0,13.0,0.0,0.0,0.0,True,3,False,NaN,48-40,True
38,31.0,2565.0,42.0,10.0,2.0,0.0,0.0,19.0,True,2,False,NaN,50-42,True
39,0.0,35.0,2130.0,6428.0,150.0,42.0,0.0,0.0,True,3,False,NaN,50-42,True
40,191.0,32.0,2.0,3.0,2.0,0.0,0.0,20.0,True,2,True,4.0,NT-28-40,False
41,0.0,0.0,10.0,13829.0,20.0,0.0,1.0,2.0,True,3,True,1.0,NT-28-40,False
42,167.0,29.0,2.0,3.0,1.0,0.0,0.0,20.0,True,2,True,4.0,NT-30-42,False
43,0.0,0.0,12.0,15676.0,24.0,0.0,1.0,1.0,True,3,True,1.0,NT-30-42,False
44,97.0,27.0,2.0,3.0,1.0,0.0,1.0,23.0,True,2,True,4.0,NT-32-44,False
