"",bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0,69.0,65.0,9.0,5.0,3.0,1.0,1.0,20.0,True,2,False,NaN,35-35,True
1,7.0,154.0,104.0,3705.0,14.0,0.0,0.0,1.0,True,3,False,NaN,35-35,True
2,114.0,59.0,14.0,18.0,5.0,1.0,1.0,23.0,True,2,False,NaN,38-38,True
3,0.0,63.0,355.0,4136.0,12.0,0.0,0.0,0.0,True,3,False,NaN,38-38,True
4,46.0,74.0,15.0,9.0,4.0,1.0,1.0,17.0,True,2,False,NaN,41-41,True
5,1.0,480.0,394.0,4572.0,18.0,0.0,0.0,1.0,True,3,False,NaN,41-41,True
6,95.0,614.0,13.0,14.0,3.0,1.0,1.0,25.0,True,2,False,NaN,44-44,True
7,0.0,10.0,1960.0,5357.0,7.0,0.0,4.0,4.0,True,3,False,NaN,44-44,True
8,148.0,1396.0,58.0,4.0,3.0,1.0,1.0,21.0,True,2,False,NaN,47-47,True
9,0.0,22.0,687.0,7622.0,22.0,0.0,1.0,4.0,True,3,True,1.0,47-47,True
10,462.0,104.0,6.0,3.0,2.0,0.0,0.0,21.0,True,2,True,4.0,50-50,True
11,0.0,5.0,55.0,9350.0,24.0,0.0,1.0,12.0,True,3,True,1.0,50-50,True
12,241.0,34.0,2.0,3.0,2.0,1.0,1.0,24.0,True,2,True,4.0,53-53,False
13,0.0,0.0,47.0,11849.0,18.0,0.0,1.0,0.0,True,3,True,1.0,53-53,False
14,0.0,0.0,139.0,13120.0,32.0,0.0,0.0,0.0,True,3,True,1.0,NT-35-55,False
15,101.0,1722.0,6.0,4.0,1.0,0.0,0.0,25.0,True,2,True,4.0,NT-35-55,False
16,0.0,0.0,151.0,13609.0,26.0,0.0,1.0,0.0,True,3,True,1.0,NT-37-57,False
17,64.0,1390.0,10.0,3.0,2.0,0.0,0.0,25.0,True,2,True,4.0,NT-37-57,False
18,0.0,0.0,153.0,13706.0,62.0,0.0,1.0,0.0,True,3,True,1.0,NT-39-59,False
19,183.0,1715.0,5.0,3.0,1.0,0.0,0.0,23.0,True,2,True,4.0,NT-39-59,False
20,0.0,0.0,139.0,13094.0,46.0,0.0,1.0,0.0,True,3,True,1.0,NT-41-61,False
21,236.0,1701.0,6.0,3.0,1.0,0.0,1.0,21.0,True,2,True,4.0,NT-41-61,False
22,0.0,0.0,169.0,14196.0,72.0,5.0,1.0,1.0,True,3,True,1.0,NT-43-63,False
23,106.0,1426.0,4.0,3.0,2.0,0.0,1.0,23.0,True,2,True,4.0,NT-43-63,False
24,0.0,0.0,147.0,15037.0,64.0,3.0,5.0,1.0,True,3,True,1.0,NT-45-65,False
25,121.0,1551.0,5.0,3.0,2.0,0.0,1.0,24.0,True,2,True,4.0,NT-45-65,False
26,183.0,79.0,5.0,3.0,1.0,0.0,1.0,24.0,True,2,True,4.0,45-36,False
27,0.0,0.0,36.0,10074.0,4.0,0.0,0.0,0.0,True,3,True,1.0,45-36,False
28,256.0,72.0,3.0,3.0,3.0,1.0,1.0,22.0,True,2,True,4.0,47-38,True
29,0.0,7.0,56.0,7149.0,2.0,0.0,0.0,0.0,True,3,True,1.0,47-38,True
30,305.0,55.0,5.0,3.0,2.0,0.0,1.0,24.0,True,2,True,4.0,49-40,True
31,0.0,138.0,589.0,3976.0,2.0,1.0,1.0,2.0,True,3,False,NaN,49-40,True
32,190.0,65.0,6.0,3.0,2.0,1.0,0.0,21.0,True,2,True,4.0,51-42,True
33,0.0,103.0,382.0,4157.0,2.0,0.0,1.0,0.0,True,3,False,NaN,51-42,True
34,239.0,55.0,4.0,3.0,2.0,1.0,1.0,21.0,True,2,True,4.0,53-44,True
35,1.0,232.0,644.0,4320.0,2.0,0.0,1.0,7.0,True,3,False,NaN,53-44,True
36,187.0,638.0,4.0,3.0,4.0,0.0,0.0,22.0,True,2,True,4.0,55-46,True
37,9.0,1080.0,305.0,4346.0,11.0,2.0,1.0,5.0,True,3,False,NaN,55-46,True
38,153.0,77.0,8.0,4.0,4.0,1.0,1.0,21.0,True,2,True,4.0,57-48,True
39,0.0,9.0,1103.0,6911.0,5.0,0.0,0.0,0.0,True,3,True,1.0,57-48,True
40,149.0,76.0,4.0,2.0,2.0,0.0,0.0,23.0,True,2,True,4.0,NT-41-21,False
41,0.0,0.0,8.0,7275.0,2.0,0.0,0.0,0.0,True,3,True,1.0,NT-41-21,False
42,406.0,71.0,5.0,2.0,1.0,1.0,1.0,24.0,True,2,True,4.0,NT-43-23,False
43,0.0,0.0,21.0,6061.0,2.0,0.0,0.0,0.0,True,3,True,1.0,NT-43-23,False
44,204.0,76.0,4.0,3.0,2.0,1.0,1.0,26.0,True,2,True,4.0,NT-45-25,False
45,0.0,0.0,25.0,7204.0,2.0,0.0,0.0,0.0,True,3,True,1.0,NT-45-25,False
46,285.0,59.0,4.0,2.0,1.0,0.0,1.0,26.0,True,2,True,4.0,NT-47-27,False
47,0.0,0.0,24.0,8874.0,2.0,0.0,0.0,0.0,True,3,True,1.0,NT-47-27,False
48,298.0,54.0,6.0,3.0,2.0,1.0,1.0,25.0,True,2,True,4.0,NT-49-29,False
49,0.0,0.0,16.0,10164.0,2.0,0.0,0.0,0.0,True,3,True,1.0,NT-49-29,False
