"",bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0,415.0,89.0,2.0,7.0,2.0,0.0,1.0,24.0,True,2,True,4.0,40-28,False
1,0.0,0.0,70.0,2754.0,12.0,0.0,0.0,7.0,True,3,False,NaN,40-28,False
2,0.0,3.0,91.0,3056.0,19.0,3.0,3.0,14.0,True,3,False,NaN,42-30,True
3,289.0,92.0,9.0,5.0,2.0,0.0,1.0,16.0,True,2,True,4.0,42-30,True
4,0.0,1.0,26.0,2931.0,13.0,0.0,1.0,15.0,True,3,False,NaN,44-30,True
5,414.0,76.0,17.0,17.0,2.0,0.0,1.0,25.0,True,2,True,4.0,44-30,True
6,0.0,3.0,67.0,3173.0,16.0,3.0,4.0,17.0,True,3,False,NaN,46-32,True
7,146.0,692.0,23.0,41.0,2.0,0.0,0.0,23.0,True,2,True,4.0,46-32,True
8,3.0,33.0,87.0,3480.0,14.0,0.0,0.0,18.0,True,3,False,NaN,48-34,True
9,122.0,2566.0,48.0,5.0,2.0,1.0,0.0,10.0,True,2,False,NaN,48-34,True
10,2.0,677.0,38.0,3681.0,13.0,2.0,1.0,6.0,True,3,False,NaN,50-36,True
11,116.0,1395.0,328.0,84.0,2.0,1.0,1.0,18.0,True,2,False,NaN,50-36,True
12,0.0,436.0,380.0,4407.0,10.0,0.0,0.0,1.0,True,3,False,NaN,52-38,True
13,100.0,191.0,24.0,6.0,1.0,0.0,1.0,21.0,True,2,False,NaN,52-38,True
14,0.0,0.0,129.0,11891.0,36.0,0.0,0.0,0.0,True,3,True,1.0,NT-35-50,False
15,114.0,510.0,4.0,4.0,2.0,1.0,1.0,24.0,True,2,True,4.0,NT-35-50,False
16,0.0,0.0,135.0,13755.0,33.0,0.0,1.0,0.0,True,3,True,1.0,NT-37-52,False
17,142.0,247.0,3.0,8.0,3.0,1.0,1.0,22.0,True,2,True,4.0,NT-37-52,False
18,0.0,0.0,140.0,13837.0,42.0,1.0,2.0,1.0,True,3,True,1.0,NT-39-54,False
19,217.0,321.0,4.0,6.0,2.0,1.0,1.0,23.0,True,2,True,4.0,NT-39-54,False
20,0.0,0.0,159.0,14464.0,53.0,1.0,4.0,1.0,True,3,True,1.0,NT-41-56,False
21,198.0,357.0,6.0,8.0,3.0,0.0,0.0,22.0,True,2,True,4.0,NT-41-56,False
22,0.0,0.0,156.0,13381.0,62.0,1.0,0.0,0.0,True,3,True,1.0,NT-43-58,False
23,143.0,249.0,4.0,6.0,2.0,1.0,1.0,23.0,True,2,True,4.0,NT-43-58,False
24,0.0,0.0,114.0,12243.0,29.0,0.0,1.0,0.0,True,3,True,1.0,NT-45-60,False
25,198.0,140.0,5.0,5.0,2.0,0.0,1.0,19.0,True,2,False,NaN,NT-45-60,False
26,0.0,1.0,53.0,3035.0,20.0,1.0,1.0,9.0,True,3,False,NaN,42-30,False
27,439.0,103.0,18.0,30.0,2.0,1.0,1.0,25.0,True,2,True,4.0,42-30,False
28,0.0,2.0,51.0,3155.0,24.0,1.0,1.0,5.0,True,3,False,NaN,42-31,True
29,233.0,67.0,8.0,8.0,0.0,0.0,0.0,18.0,True,2,True,4.0,42-31,True
30,1.0,11.0,79.0,3326.0,30.0,2.0,1.0,3.0,True,3,False,NaN,44-33,True
31,78.0,2300.0,7.0,2.0,0.0,0.0,0.0,19.0,True,2,False,NaN,44-33,True
32,4.0,505.0,138.0,3493.0,17.0,0.0,1.0,1.0,True,3,False,NaN,46-35,True
33,87.0,534.0,143.0,7.0,2.0,0.0,0.0,18.0,True,2,False,NaN,46-35,True
34,0.0,32.0,330.0,3668.0,11.0,2.0,1.0,1.0,True,3,False,NaN,48-37,True
35,66.0,145.0,617.0,163.0,2.0,0.0,0.0,20.0,True,2,False,NaN,48-37,True
36,0.0,182.0,568.0,4033.0,16.0,3.0,2.0,6.0,True,3,False,NaN,50-39,True
37,111.0,1347.0,47.0,8.0,1.0,0.0,0.0,19.0,True,2,False,NaN,50-39,True
38,0.0,21.0,394.0,5251.0,18.0,4.0,5.0,7.0,True,3,False,NaN,52-41,True
39,96.0,1067.0,189.0,22.0,1.0,0.0,1.0,19.0,True,2,False,NaN,52-41,True
40,0.0,0.0,50.0,12099.0,9.0,1.0,0.0,0.0,True,3,True,1.0,NT-28-50,False
41,166.0,94.0,3.0,6.0,1.0,0.0,0.0,20.0,True,2,True,4.0,NT-28-50,False
42,0.0,0.0,52.0,12412.0,14.0,0.0,0.0,0.0,True,3,True,1.0,NT-30-52,False
43,154.0,74.0,3.0,5.0,1.0,0.0,0.0,19.0,True,2,True,4.0,NT-30-52,False
44,0.0,0.0,84.0,13539.0,10.0,0.0,1.0,0.0,True,3,True,1.0,NT-32-54,False
45,133.0,82.0,3.0,6.0,2.0,0.0,0.0,21.0,True,2,True,4.0,NT-32-54,False
46,0.0,0.0,86.0,13232.0,14.0,0.0,1.0,0.0,True,3,True,1.0,NT-34-56,False
47,227.0,65.0,3.0,8.0,3.0,0.0,1.0,19.0,True,2,True,4.0,NT-34-56,False
48,0.0,0.0,74.0,13418.0,14.0,1.0,1.0,1.0,True,3,True,1.0,NT-36-58,False
49,236.0,75.0,4.0,5.0,1.0,0.0,0.0,23.0,True,2,True,4.0,NT-36-58,False
50,0.0,0.0,89.0,13219.0,17.0,0.0,1.0,0.0,True,3,True,1.0,NT-38-60,False
51,337.0,75.0,4.0,7.0,2.0,0.0,0.0,22.0,True,2,True,4.0,NT-38-60,False
52,0.0,1.0,132.0,2796.0,9.0,0.0,0.0,0.0,True,3,False,NaN,42-28,False
53,311.0,71.0,6.0,8.0,2.0,1.0,1.0,25.0,True,2,True,4.0,42-28,False
54,0.0,2.0,143.0,3081.0,25.0,0.0,1.0,0.0,True,3,False,NaN,44-30,True
55,288.0,63.0,5.0,6.0,3.0,1.0,1.0,20.0,True,2,True,4.0,44-30,True
56,0.0,5.0,152.0,3136.0,31.0,4.0,3.0,8.0,True,3,False,NaN,46-32,True
57,239.0,328.0,25.0,3.0,1.0,0.0,0.0,14.0,True,2,True,4.0,46-32,True
58,0.0,5.0,163.0,3399.0,39.0,4.0,4.0,7.0,True,3,False,NaN,48-34,True
59,94.0,1126.0,120.0,5.0,1.0,0.0,1.0,17.0,True,2,False,NaN,48-34,True
60,1.0,95.0,235.0,3359.0,10.0,0.0,0.0,5.0,True,3,False,NaN,50-36,True
61,74.0,1608.0,746.0,24.0,2.0,0.0,0.0,17.0,True,2,False,NaN,50-36,True
62,0.0,18.0,363.0,4022.0,2.0,0.0,0.0,0.0,True,3,False,NaN,52-38,True
63,38.0,48.0,842.0,596.0,3.0,1.0,1.0,20.0,True,2,False,NaN,52-38,True
64,0.0,478.0,374.0,3662.0,5.0,0.0,0.0,0.0,True,3,False,NaN,54-40,True
65,55.0,60.0,2154.0,757.0,3.0,1.0,1.0,19.0,True,2,False,NaN,54-40,True
66,0.0,2.0,168.0,9088.0,4.0,0.0,0.0,0.0,True,3,True,1.0,NT-28-50,False
67,107.0,660.0,3.0,3.0,1.0,0.0,0.0,19.0,True,2,True,4.0,NT-28-50,False
