"",bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0,140.0,154.0,5.0,6.0,4.0,1.0,1.0,15.0,True,2,True,4.0,26-32,False
1,0.0,0.0,7.0,10601.0,1.0,0.0,0.0,0.0,True,3,True,1.0,26-32,False
2,46.0,52.0,7.0,6.0,5.0,2.0,1.0,19.0,True,2,False,NaN,29-35,True
3,0.0,10.0,101.0,7045.0,30.0,5.0,12.0,143.0,True,3,False,NaN,29-35,True
4,66.0,53.0,4.0,5.0,5.0,1.0,1.0,19.0,True,2,False,NaN,32-38,True
5,0.0,6.0,37.0,6641.0,39.0,1.0,1.0,1.0,True,3,False,NaN,32-38,True
6,42.0,47.0,6.0,6.0,5.0,2.0,1.0,17.0,True,2,False,NaN,35-41,True
7,0.0,9.0,79.0,6892.0,56.0,6.0,16.0,84.0,True,3,False,NaN,35-41,True
8,79.0,43.0,9.0,9.0,4.0,2.0,5.0,16.0,True,2,False,NaN,38-44,True
9,0.0,9.0,165.0,6381.0,53.0,3.0,1.0,1.0,True,3,False,NaN,38-44,True
10,46.0,37.0,4.0,308.0,9.0,1.0,3.0,23.0,True,2,False,NaN,41-47,True
11,0.0,45.0,381.0,6470.0,44.0,119.0,105.0,1.0,True,3,True,1.0,41-47,True
12,79.0,799.0,80.0,5.0,1.0,0.0,0.0,20.0,True,2,False,NaN,44-50,True
13,0.0,37.0,2659.0,4934.0,2.0,0.0,1.0,0.0,True,3,False,NaN,44-50,True
14,133.0,798.0,45.0,6.0,8.0,1.0,1.0,20.0,True,2,False,NaN,47-53,True
15,0.0,46.0,583.0,9803.0,3.0,0.0,1.0,1.0,True,3,True,1.0,47-53,True
16,80.0,383.0,3.0,7.0,4.0,1.0,1.0,31.0,True,2,True,4.0,NT-60-30,False
17,0.0,0.0,21.0,9283.0,1.0,0.0,0.0,0.0,True,3,True,1.0,NT-60-30,False
18,364.0,525.0,3.0,6.0,4.0,1.0,1.0,35.0,True,2,True,4.0,NT-62-32,False
19,0.0,0.0,20.0,9463.0,1.0,0.0,0.0,0.0,True,3,True,1.0,NT-62-32,False
20,147.0,350.0,3.0,7.0,5.0,1.0,1.0,31.0,True,2,True,4.0,NT-64-34,False
21,0.0,0.0,27.0,10576.0,2.0,0.0,0.0,0.0,True,3,True,1.0,NT-64-34,False
22,200.0,397.0,3.0,7.0,5.0,1.0,1.0,30.0,True,2,True,4.0,NT-66-36,False
23,0.0,0.0,23.0,11132.0,1.0,0.0,0.0,0.0,True,3,True,1.0,NT-66-36,False
24,204.0,395.0,3.0,6.0,5.0,1.0,1.0,32.0,True,2,True,4.0,NT-68-38,False
25,0.0,0.0,29.0,11586.0,1.0,0.0,0.0,0.0,True,3,True,1.0,NT-68-38,False
26,230.0,438.0,2.0,6.0,5.0,1.0,1.0,33.0,True,2,True,4.0,NT-70-40,False
27,0.0,0.0,24.0,12176.0,2.0,0.0,0.0,0.0,True,3,True,1.0,NT-70-40,False
28,694.0,44.0,2.0,2.0,1.0,0.0,0.0,18.0,True,2,True,4.0,44-58,False
29,0.0,0.0,51.0,12934.0,13.0,2.0,1.0,1.0,True,3,True,1.0,44-58,False
30,51.0,3613.0,3.0,4.0,2.0,1.0,0.0,20.0,True,2,False,NaN,45-52,True
31,0.0,8.0,349.0,8411.0,26.0,7.0,5.0,1.0,True,3,True,1.0,45-52,True
32,32.0,3256.0,99.0,4.0,2.0,0.0,1.0,19.0,True,2,False,NaN,47-54,True
33,0.0,11.0,389.0,7409.0,38.0,9.0,19.0,25.0,True,3,True,1.0,47-54,True
34,56.0,2958.0,620.0,6.0,2.0,1.0,0.0,20.0,True,2,False,NaN,49-56,True
35,0.0,18.0,408.0,8181.0,37.0,9.0,23.0,5.0,True,3,True,1.0,49-56,True
36,42.0,39.0,2685.0,12.0,3.0,1.0,1.0,18.0,True,2,False,NaN,51-58,True
37,0.0,2.0,395.0,6756.0,40.0,1.0,1.0,29.0,True,3,True,1.0,51-58,True
38,39.0,51.0,1438.0,94.0,3.0,1.0,1.0,24.0,True,2,False,NaN,53-60,True
39,0.0,2.0,422.0,7490.0,14.0,1.0,2.0,3.0,True,3,True,1.0,53-60,True
40,70.0,55.0,261.0,345.0,8.0,5.0,9.0,42.0,True,2,False,NaN,55-62,True
41,0.0,11.0,1248.0,7610.0,4.0,0.0,0.0,0.0,True,3,False,NaN,55-62,True
42,711.0,42.0,3.0,3.0,3.0,1.0,2.0,35.0,True,2,True,4.0,NT-60-25,False
43,0.0,0.0,24.0,6738.0,10.0,0.0,1.0,0.0,True,3,True,1.0,NT-60-25,False
44,427.0,41.0,2.0,4.0,3.0,0.0,2.0,37.0,True,2,True,4.0,NT-62-27,False
45,0.0,0.0,31.0,7132.0,11.0,0.0,1.0,1.0,True,3,True,1.0,NT-62-27,False
46,373.0,48.0,2.0,4.0,3.0,1.0,2.0,41.0,True,2,True,4.0,NT-64-29,False
47,0.0,0.0,37.0,7768.0,10.0,0.0,1.0,1.0,True,3,True,1.0,NT-64-29,False
48,269.0,48.0,3.0,4.0,5.0,1.0,2.0,37.0,True,2,True,4.0,NT-66-31,False
49,0.0,0.0,41.0,8058.0,8.0,0.0,1.0,0.0,True,3,True,1.0,NT-66-31,False
50,181.0,49.0,3.0,4.0,3.0,1.0,2.0,36.0,True,2,True,4.0,NT-68-33,False
51,0.0,0.0,70.0,8832.0,11.0,0.0,1.0,0.0,True,3,True,1.0,NT-68-33,False
52,183.0,44.0,3.0,4.0,4.0,1.0,1.0,40.0,True,2,True,4.0,NT-70-35,False
53,0.0,0.0,60.0,9110.0,10.0,0.0,1.0,0.0,True,3,True,1.0,NT-70-35,False
54,140.0,54.0,7.0,7.0,4.0,1.0,1.0,26.0,True,2,False,NaN,30-43,False
55,0.0,1.0,139.0,6976.0,2.0,0.0,0.0,0.0,True,3,True,1.0,30-43,False
56,102.0,84.0,6.0,6.0,5.0,1.0,1.0,23.0,True,2,False,NaN,32-45,True
57,0.0,4.0,253.0,8159.0,12.0,0.0,1.0,0.0,True,3,True,1.0,32-45,True
58,29.0,64.0,12.0,6.0,5.0,2.0,2.0,17.0,True,2,False,NaN,34-47,True
59,0.0,6.0,304.0,8042.0,34.0,4.0,0.0,0.0,True,3,True,1.0,34-47,True
60,28.0,43.0,38.0,20.0,4.0,2.0,2.0,19.0,True,2,False,NaN,36-49,True
61,0.0,11.0,339.0,7921.0,8.0,0.0,0.0,1.0,True,3,True,1.0,36-49,True
62,31.0,44.0,102.0,1182.0,12.0,1.0,2.0,25.0,True,2,False,NaN,38-51,True
63,0.0,4.0,743.0,4392.0,6.0,0.0,1.0,0.0,True,3,False,NaN,38-51,True
64,41.0,39.0,45.0,5478.0,3.0,1.0,1.0,25.0,True,2,True,1.0,40-53,True
65,0.0,200.0,3893.0,3507.0,8.0,1.0,1.0,1.0,True,3,False,NaN,40-53,True
66,55.0,63.0,4210.0,35.0,2.0,1.0,0.0,18.0,True,2,False,NaN,42-55,True
67,0.0,500.0,410.0,3561.0,21.0,2.0,4.0,1.0,True,3,False,NaN,42-55,True
68,393.0,62.0,3.0,6.0,4.0,1.0,3.0,33.0,True,2,True,4.0,NT-60-30,False
69,0.0,1.0,142.0,7008.0,3.0,0.0,0.0,2.0,True,3,True,1.0,NT-60-30,False
70,323.0,40.0,3.0,4.0,4.0,1.0,1.0,37.0,True,2,True,4.0,NT-62-32,False
71,0.0,1.0,144.0,6638.0,2.0,0.0,0.0,2.0,True,3,True,1.0,NT-62-32,False
72,345.0,46.0,3.0,5.0,4.0,1.0,2.0,38.0,True,2,True,4.0,NT-64-34,False
73,0.0,1.0,143.0,7540.0,3.0,0.0,0.0,2.0,True,3,True,1.0,NT-64-34,False
74,398.0,47.0,3.0,6.0,4.0,1.0,1.0,34.0,True,2,True,4.0,NT-66-36,False
75,0.0,1.0,156.0,7664.0,4.0,0.0,0.0,2.0,True,3,True,1.0,NT-66-36,False
76,229.0,40.0,3.0,5.0,4.0,1.0,2.0,38.0,True,2,True,4.0,NT-68-38,False
77,0.0,0.0,146.0,8348.0,3.0,0.0,0.0,1.0,True,3,True,1.0,NT-68-38,False
78,0.0,0.0,147.0,7439.0,4.0,0.0,0.0,3.0,True,3,True,1.0,NT-70-40,False
79,335.0,46.0,3.0,4.0,4.0,1.0,1.0,36.0,True,2,True,4.0,NT-70-40,False
80,43.0,48.0,4.0,7.0,5.0,2.0,1.0,19.0,True,2,False,NaN,30-35,True
81,0.0,14.0,32.0,4385.0,17.0,8.0,6.0,7.0,True,3,False,NaN,30-35,True
82,101.0,53.0,4.0,7.0,3.0,1.0,1.0,19.0,True,2,False,NaN,35-40,True
83,0.0,1.0,28.0,6745.0,15.0,4.0,4.0,1.0,True,3,False,NaN,35-40,True
84,49.0,59.0,18.0,12.0,5.0,2.0,1.0,15.0,True,2,False,NaN,40-45,True
85,0.0,16.0,182.0,7493.0,18.0,5.0,11.0,15.0,True,3,True,1.0,40-45,True
86,39.0,38.0,6.0,56.0,10.0,2.0,5.0,21.0,True,2,False,NaN,45-50,True
87,0.0,3.0,311.0,10093.0,23.0,4.0,0.0,0.0,True,3,True,1.0,45-50,True
88,51.0,42.0,17.0,735.0,17.0,1.0,3.0,36.0,True,2,False,NaN,50-55,True
89,0.0,62.0,4576.0,5281.0,7.0,0.0,2.0,48.0,True,3,False,NaN,50-55,True
90,41.0,43.0,540.0,5379.0,10.0,4.0,4.0,29.0,True,2,True,1.0,55-60,True
91,0.0,1962.0,1621.0,5335.0,19.0,1.0,2.0,1.0,True,3,False,NaN,55-60,True
92,21.0,38.0,3.0,4.0,4.0,1.0,1.0,15.0,True,2,False,NaN,NM-20-25,False
93,0.0,2.0,16.0,2432.0,12.0,2.0,3.0,10.0,True,3,False,NaN,NM-20-25,False
94,11.0,42.0,3.0,5.0,6.0,2.0,1.0,16.0,True,2,False,NaN,NM-25-30,False
95,0.0,2.0,15.0,3101.0,20.0,2.0,2.0,9.0,True,3,False,NaN,NM-25-30,False
96,131.0,1252.0,2.0,3.0,3.0,1.0,1.0,29.0,True,2,True,4.0,NT-30-30,False
97,0.0,0.0,5.0,9130.0,5.0,0.0,0.0,0.0,True,3,True,1.0,NT-30-30,False
98,138.0,1492.0,3.0,3.0,4.0,1.0,1.0,22.0,True,2,True,4.0,NT-32-32,False
99,0.0,0.0,5.0,9339.0,5.0,0.0,0.0,0.0,True,3,True,1.0,NT-32-32,False
100,103.0,1740.0,3.0,3.0,1.0,0.0,0.0,26.0,True,2,True,4.0,NT-34-34,False
101,0.0,0.0,2.0,10489.0,6.0,0.0,0.0,0.0,True,3,True,1.0,NT-34-34,False
102,144.0,1966.0,2.0,2.0,1.0,0.0,0.0,20.0,True,2,True,4.0,NT-36-36,False
103,0.0,0.0,4.0,10809.0,6.0,0.0,0.0,1.0,True,3,True,1.0,NT-36-36,False
104,72.0,1403.0,3.0,2.0,1.0,0.0,1.0,29.0,True,2,True,4.0,NT-38-38,False
105,0.0,0.0,5.0,11397.0,7.0,0.0,0.0,0.0,True,3,True,1.0,NT-38-38,False
106,0.0,0.0,6.0,10423.0,6.0,1.0,0.0,1.0,True,3,True,1.0,NT-40-40,False
107,327.0,26.0,2.0,5.0,3.0,1.0,1.0,30.0,True,2,True,4.0,NT-40-40,False
108,45.0,31.0,3.0,5.0,4.0,1.0,1.0,15.0,True,2,False,NaN,NM-17-22,False
109,0.0,1.0,9.0,2152.0,11.0,1.0,2.0,9.0,True,3,False,NaN,NM-17-22,False
110,27.0,40.0,4.0,5.0,4.0,1.0,1.0,17.0,True,2,False,NaN,21-26,True
111,0.0,5.0,21.0,2611.0,15.0,0.0,1.0,7.0,True,3,False,NaN,21-26,True
112,45.0,46.0,9.0,6.0,4.0,1.0,1.0,18.0,True,2,False,NaN,25-30,True
113,0.0,9.0,115.0,3354.0,17.0,0.0,0.0,1.0,True,3,False,NaN,25-30,True
114,9.0,48.0,10.0,12.0,6.0,2.0,1.0,22.0,True,2,False,NaN,29-34,True
115,0.0,24.0,416.0,3789.0,8.0,0.0,0.0,1.0,True,3,False,NaN,29-34,True
116,36.0,97.0,88.0,7.0,4.0,1.0,1.0,20.0,True,2,False,NaN,33-38,True
117,0.0,333.0,1074.0,3869.0,7.0,0.0,0.0,0.0,True,3,False,NaN,33-38,True
118,54.0,83.0,1535.0,21.0,3.0,1.0,1.0,24.0,True,2,False,NaN,37-42,True
119,0.0,1460.0,296.0,4221.0,5.0,0.0,0.0,0.0,True,3,False,NaN,37-42,True
120,128.0,250.0,11.0,5.0,3.0,0.0,1.0,20.0,True,2,True,4.0,41-46,True
121,2.0,671.0,316.0,4436.0,11.0,1.0,4.0,3.0,True,3,False,NaN,41-46,True
122,47.0,620.0,245.0,21.0,4.0,1.0,1.0,19.0,True,2,False,NaN,45-50,True
123,0.0,198.0,343.0,3918.0,12.0,3.0,1.0,3.0,True,3,False,NaN,45-50,True
