bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
411.0,67.0,4.0,8.0,3.0,1.0,1.0,25.0,True,2,True,4,42-30,True
0.0,1.0,57.0,3014.0,20.0,1.0,1.0,8.0,True,3,False,,42-30,True
211.0,67.0,4.0,6.0,1.0,1.0,1.0,19.0,True,2,True,4,42-31,True
0.0,2.0,54.0,3111.0,24.0,1.0,1.0,5.0,True,3,False,,42-31,True
0.0,10.0,83.0,3302.0,30.0,2.0,1.0,2.0,True,3,False,,44-33,True
123.0,2291.0,7.0,2.0,0.0,0.0,0.0,19.0,True,2,False,,44-33,True
0.0,385.0,157.0,3403.0,16.0,0.0,1.0,1.0,True,3,False,,46-35,True
31.0,309.0,135.0,7.0,3.0,1.0,1.0,20.0,True,2,False,,46-35,True
0.0,25.0,361.0,3629.0,11.0,1.0,1.0,1.0,True,3,False,,48-37,True
20.0,145.0,617.0,164.0,2.0,1.0,1.0,20.0,True,2,False,,48-37,True
0.0,131.0,540.0,3968.0,15.0,3.0,2.0,5.0,True,3,False,,50-39,True
58.0,1342.0,47.0,8.0,1.0,1.0,1.0,19.0,True,2,False,,50-39,True
0.0,20.0,389.0,5147.0,19.0,3.0,2.0,6.0,True,3,False,,52-41,True
29.0,1139.0,193.0,22.0,1.0,1.0,1.0,17.0,True,2,False,,52-41,True
61.0,87.0,3.0,6.0,3.0,1.0,1.0,20.0,True,2,True,4,NT-28-50,False
0.0,0.0,78.0,11469.0,10.0,1.0,0.0,0.0,True,3,True,1,NT-28-50,False
99.0,68.0,3.0,6.0,2.0,1.0,1.0,21.0,True,2,True,4,NT-30-52,False
0.0,0.0,91.0,11626.0,14.0,0.0,0.0,0.0,True,3,True,1,NT-30-52,False
131.0,69.0,3.0,6.0,3.0,1.0,1.0,20.0,True,2,True,4,NT-32-54,False
0.0,0.0,100.0,12164.0,11.0,0.0,0.0,0.0,True,3,True,1,NT-32-54,False
0.0,0.0,115.0,12011.0,14.0,0.0,1.0,0.0,True,3,True,1,NT-34-56,False
121.0,65.0,4.0,6.0,3.0,1.0,1.0,19.0,True,2,True,4,NT-34-56,False
45.0,66.0,4.0,6.0,3.0,1.0,1.0,22.0,True,2,True,4,NT-36-58,False
0.0,0.0,117.0,12476.0,14.0,1.0,1.0,0.0,True,3,True,1,NT-36-58,False
70.0,55.0,3.0,6.0,4.0,1.0,1.0,21.0,True,2,True,4,NT-38-60,False
0.0,0.0,122.0,12763.0,17.0,0.0,1.0,0.0,True,3,True,1,NT-38-60,False
