bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
174.0,59.0,4.0,7.0,3.0,1.0,1.0,21.0,True,2,True,4,42-28,True
0.0,1.0,136.0,2803.0,9.0,0.0,0.0,0.0,True,3,False,,42-28,True
223.0,58.0,4.0,6.0,4.0,2.0,1.0,19.0,True,2,True,4,44-30,True
0.0,2.0,148.0,3068.0,21.0,1.0,1.0,0.0,True,3,False,,44-30,True
85.0,66.0,5.0,5.0,2.0,1.0,1.0,19.0,True,2,False,,46-32,True
0.0,5.0,161.0,3145.0,34.0,4.0,3.0,10.0,True,3,False,,46-32,True
24.0,304.0,71.0,5.0,3.0,1.0,1.0,17.0,True,2,False,,48-34,True
0.0,5.0,168.0,3384.0,45.0,4.0,4.0,7.0,True,3,False,,48-34,True
0.0,105.0,259.0,3386.0,9.0,0.0,0.0,5.0,True,3,False,,50-36,True
13.0,1494.0,459.0,23.0,2.0,1.0,1.0,18.0,True,2,False,,50-36,True
0.0,19.0,364.0,4031.0,2.0,0.0,0.0,0.0,True,3,False,,52-38,True
28.0,48.0,822.0,588.0,2.0,1.0,1.0,20.0,True,2,False,,52-38,True
0.0,494.0,379.0,3674.0,4.0,0.0,1.0,0.0,True,3,False,,54-40,True
43.0,60.0,2118.0,748.0,3.0,1.0,1.0,19.0,True,2,False,,54-40,True
0.0,2.0,175.0,9197.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-28-50,False
69.0,601.0,3.0,4.0,1.0,0.0,1.0,18.0,True,2,False,,NT-28-50,False
0.0,1.0,173.0,9065.0,4.0,0.0,0.0,0.0,True,3,True,1,NT-29-48,False
83.0,545.0,3.0,5.0,2.0,1.0,1.0,19.0,True,2,False,,NT-29-48,False
0.0,0.0,163.0,9029.0,4.0,0.0,0.0,0.0,True,3,True,1,NT-30-46,False
154.0,347.0,4.0,6.0,2.0,1.0,1.0,20.0,True,2,False,,NT-30-46,False
0.0,1.0,168.0,8614.0,6.0,0.0,0.0,0.0,True,3,True,1,NT-31-44,False
76.0,665.0,3.0,5.0,2.0,1.0,1.0,20.0,True,2,False,,NT-31-44,False
0.0,1.0,165.0,8440.0,6.0,0.0,0.0,0.0,True,3,True,1,NT-32-42,False
59.0,516.0,5.0,5.0,1.0,1.0,1.0,20.0,True,2,False,,NT-32-42,False
0.0,1.0,168.0,8298.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-33-40,False
84.0,566.0,7.0,5.0,2.0,1.0,0.0,20.0,True,2,False,,NT-33-40,False
