bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0.0,4.0,170.0,2782.0,25.0,1.0,1.0,15.0,True,3,False,,42-28,True
222.0,65.0,3.0,6.0,5.0,1.0,1.0,22.0,True,2,True,4,42-28,True
0.0,12.0,173.0,2977.0,48.0,5.0,2.0,10.0,True,3,False,,44-30,True
162.0,49.0,3.0,6.0,3.0,1.0,2.0,19.0,True,2,False,,44-30,True
0.0,32.0,97.0,3180.0,52.0,3.0,2.0,14.0,True,3,False,,46-32,True
18.0,1046.0,71.0,4.0,2.0,1.0,1.0,17.0,True,2,False,,46-32,True
0.0,40.0,191.0,3338.0,62.0,1.0,1.0,1.0,True,3,False,,48-34,True
12.0,46.0,805.0,611.0,4.0,1.0,1.0,19.0,True,2,False,,48-34,True
1.0,179.0,269.0,3551.0,38.0,1.0,1.0,3.0,True,3,False,,50-36,True
38.0,209.0,1209.0,163.0,2.0,1.0,0.0,17.0,True,2,False,,50-36,True
0.0,47.0,410.0,3780.0,26.0,1.0,1.0,2.0,True,3,False,,52-38,True
8.0,48.0,338.0,336.0,4.0,1.0,1.0,20.0,True,2,False,,52-38,True
0.0,49.0,406.0,3974.0,16.0,1.0,1.0,1.0,True,3,False,,54-40,True
29.0,62.0,1113.0,101.0,2.0,1.0,1.0,18.0,True,2,False,,54-40,True
0.0,7.0,245.0,8418.0,25.0,0.0,1.0,1.0,True,3,True,1,NT-28-50,False
94.0,97.0,4.0,4.0,1.0,1.0,1.0,19.0,True,2,True,4,NT-28-50,False
0.0,10.0,224.0,9422.0,26.0,1.0,1.0,1.0,True,3,True,1,NT-30-52,False
143.0,66.0,3.0,5.0,2.0,1.0,1.0,17.0,True,2,True,4,NT-30-52,False
0.0,6.0,254.0,9124.0,17.0,0.0,0.0,0.0,True,3,True,1,NT-32-54,False
154.0,96.0,3.0,5.0,2.0,1.0,1.0,19.0,True,2,True,4,NT-32-54,False
0.0,8.0,246.0,8571.0,17.0,1.0,1.0,0.0,True,3,True,1,NT-34-56,False
70.0,48.0,3.0,4.0,2.0,1.0,1.0,21.0,True,2,False,,NT-34-56,False
0.0,7.0,237.0,8711.0,21.0,0.0,0.0,0.0,True,3,True,1,NT-36-58,False
98.0,49.0,3.0,4.0,4.0,1.0,1.0,18.0,True,2,False,,NT-36-58,False
0.0,8.0,234.0,9035.0,41.0,1.0,0.0,1.0,True,3,True,1,NT-38-60,False
199.0,58.0,3.0,5.0,3.0,1.0,1.0,23.0,True,2,True,4,NT-38-60,False
