bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
221.0,83.0,14.0,21.0,2.0,0.0,1.0,23.0,True,2,True,4,36-38,True
0.0,1.0,24.0,2822.0,17.0,0.0,0.0,2.0,True,3,False,,36-38,True
0.0,5.0,58.0,2981.0,23.0,0.0,1.0,3.0,True,3,False,,38-40,True
240.0,90.0,4.0,4.0,2.0,1.0,1.0,13.0,True,2,False,,38-40,True
65.0,76.0,7.0,6.0,18.0,1.0,1.0,20.0,True,2,False,,40-42,True
0.0,15.0,197.0,3088.0,18.0,1.0,3.0,8.0,True,3,False,,40-42,True
1.0,651.0,131.0,3295.0,21.0,0.0,0.0,1.0,True,3,False,,42-44,True
49.0,1592.0,354.0,6.0,2.0,1.0,1.0,18.0,True,2,False,,42-44,True
13.0,1119.0,311.0,34.0,3.0,1.0,1.0,20.0,True,2,False,,44-36,True
0.0,1312.0,83.0,3502.0,28.0,0.0,0.0,0.0,True,3,False,,44-36,True
25.0,219.0,1931.0,76.0,2.0,0.0,0.0,18.0,True,2,False,,46-38,True
0.0,3305.0,146.0,3725.0,3.0,0.0,0.0,0.0,True,3,False,,46-38,True
0.0,131.0,684.0,3900.0,5.0,0.0,0.0,0.0,True,3,False,,48-40,True
14.0,700.0,129.0,94.0,2.0,1.0,1.0,20.0,True,2,False,,48-40,True
0.0,0.0,90.0,10166.0,17.0,0.0,0.0,0.0,True,3,True,1,NT-30-46,False
92.0,383.0,3.0,6.0,2.0,1.0,1.0,20.0,True,2,False,,NT-30-46,False
0.0,0.0,93.0,10499.0,12.0,0.0,0.0,0.0,True,3,True,1,NT-32-48,False
87.0,559.0,9.0,9.0,3.0,1.0,1.0,23.0,True,2,False,,NT-32-48,False
0.0,0.0,103.0,10729.0,12.0,0.0,0.0,0.0,True,3,True,1,NT-34-50,False
79.0,474.0,4.0,7.0,3.0,1.0,1.0,21.0,True,2,False,,NT-34-50,False
0.0,0.0,103.0,10842.0,9.0,0.0,0.0,0.0,True,3,True,1,NT-36-52,False
56.0,569.0,7.0,17.0,3.0,1.0,1.0,21.0,True,2,False,,NT-36-52,False
0.0,0.0,109.0,11166.0,19.0,0.0,0.0,0.0,True,3,True,1,NT-38-54,False
67.0,562.0,5.0,19.0,3.0,1.0,1.0,22.0,True,2,False,,NT-38-54,False
0.0,0.0,107.0,10630.0,13.0,0.0,0.0,0.0,True,3,True,1,NT-40-56,False
49.0,129.0,3.0,6.0,3.0,1.0,1.0,25.0,True,2,False,,NT-40-56,False
