bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
166.0,184.0,8.0,7.0,3.0,1.0,1.0,20.0,True,2,True,4,39-34,True
0.0,8.0,105.0,3326.0,14.0,0.0,1.0,2.0,True,3,False,,39-34,True
368.0,37.0,3.0,2.0,2.0,0.0,1.0,20.0,True,2,True,4,40-33,True
0.0,0.0,36.0,4120.0,13.0,0.0,0.0,0.0,True,3,False,,40-33,True
187.0,179.0,16.0,5.0,2.0,1.0,1.0,17.0,True,2,True,4,41-36,True
0.0,5.0,130.0,3491.0,14.0,0.0,1.0,3.0,True,3,False,,41-36,True
71.0,734.0,6.0,3.0,1.0,0.0,0.0,16.0,True,2,False,,43-38,True
0.0,60.0,310.0,3700.0,20.0,2.0,2.0,3.0,True,3,False,,43-38,True
226.0,125.0,10.0,3.0,3.0,1.0,1.0,22.0,True,2,True,4,45-40,True
0.0,36.0,300.0,3827.0,18.0,0.0,0.0,1.0,True,3,False,,45-40,True
100.0,436.0,6.0,3.0,1.0,1.0,0.0,18.0,True,2,True,4,47-42,True
0.0,78.0,388.0,4050.0,20.0,0.0,0.0,0.0,True,3,False,,47-42,True
213.0,403.0,7.0,3.0,3.0,1.0,1.0,21.0,True,2,True,4,49-44,True
0.0,78.0,381.0,4097.0,18.0,1.0,0.0,1.0,True,3,False,,49-44,True
158.0,81.0,4.0,2.0,1.0,1.0,1.0,25.0,True,2,True,4,NT-46-25,False
0.0,0.0,38.0,5013.0,17.0,0.0,0.0,0.0,True,3,True,1,NT-46-25,False
212.0,72.0,5.0,2.0,1.0,1.0,1.0,24.0,True,2,True,4,NT-475-27,False
0.0,0.0,13.0,6525.0,11.0,0.0,0.0,0.0,True,3,True,1,NT-475-27,False
250.0,60.0,4.0,3.0,2.0,1.0,1.0,22.0,True,2,True,4,NT-49-29,False
0.0,0.0,40.0,7289.0,17.0,0.0,0.0,0.0,True,3,True,1,NT-49-29,False
134.0,65.0,4.0,3.0,1.0,1.0,2.0,24.0,True,2,True,4,NT-505-31,False
0.0,0.0,37.0,6359.0,17.0,0.0,0.0,0.0,True,3,True,1,NT-505-31,False
259.0,65.0,6.0,2.0,5.0,3.0,2.0,24.0,True,2,True,4,NT-52-33,False
0.0,0.0,7.0,10675.0,9.0,0.0,0.0,0.0,True,3,True,1,NT-52-33,False
171.0,54.0,4.0,3.0,1.0,1.0,1.0,25.0,True,2,True,4,NT-535-35,False
0.0,0.0,39.0,8097.0,16.0,0.0,0.0,0.0,True,3,True,1,NT-535-35,False
