bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0.0,3.0,113.0,2533.0,6.0,0.0,1.0,0.0,True,3,False,,E,True
363.0,23.0,2.0,2.0,0.0,0.0,0.0,19.0,True,2,True,4,E,True
0.0,12.0,216.0,3091.0,23.0,0.0,1.0,2.0,True,3,False,,E,True
78.0,3291.0,3.0,2.0,0.0,0.0,1.0,21.0,True,2,False,,E,True
2.0,16.0,288.0,3411.0,22.0,0.0,1.0,0.0,True,3,False,,E,True
33.0,485.0,233.0,10.0,1.0,1.0,1.0,20.0,True,2,False,,E,True
1.0,93.0,344.0,3529.0,7.0,0.0,0.0,0.0,True,3,False,,E,True
43.0,135.0,237.0,20.0,2.0,1.0,1.0,22.0,True,2,False,,E,True
0.0,101.0,552.0,3878.0,3.0,0.0,1.0,0.0,True,3,False,,E,True
45.0,72.0,735.0,117.0,3.0,1.0,1.0,21.0,True,2,False,,E,True
0.0,19.0,531.0,4106.0,19.0,3.0,1.0,0.0,True,3,False,,E,True
37.0,348.0,8.0,6.0,3.0,1.0,1.0,22.0,True,2,False,,E,True
0.0,17.0,593.0,5873.0,23.0,6.0,2.0,3.0,True,3,False,,E,True
34.0,921.0,43.0,5.0,2.0,1.0,1.0,22.0,True,2,False,,E,True
0.0,1.0,260.0,8879.0,2.0,0.0,0.0,0.0,True,3,True,1,E,True
184.0,48.0,3.0,5.0,2.0,1.0,1.0,18.0,True,2,True,4,E,True
0.0,0.0,251.0,9247.0,5.0,0.0,0.0,0.0,True,3,True,1,E,True
138.0,45.0,3.0,3.0,1.0,1.0,1.0,18.0,True,2,True,4,E,True
0.0,1.0,286.0,9485.0,2.0,0.0,0.0,0.0,True,3,True,1,E,True
122.0,44.0,2.0,3.0,1.0,1.0,1.0,19.0,True,2,True,4,E,True
0.0,1.0,256.0,9545.0,4.0,0.0,0.0,0.0,True,3,True,1,E,True
173.0,34.0,3.0,4.0,1.0,0.0,0.0,17.0,True,2,False,,E,True
0.0,1.0,283.0,9484.0,4.0,0.0,0.0,0.0,True,3,True,1,E,True
173.0,36.0,2.0,4.0,1.0,1.0,1.0,20.0,True,2,True,4,E,True
0.0,0.0,284.0,9901.0,5.0,0.0,0.0,0.0,True,3,True,1,E,True
352.0,35.0,2.0,4.0,2.0,1.0,1.0,21.0,True,2,True,4,E,True
