bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0.0,7.0,125.0,2902.0,27.0,0.0,0.0,0.0,True,3,False,,W,True
451.0,35.0,2.0,3.0,2.0,0.0,1.0,19.0,True,2,True,4,W,True
2.0,35.0,94.0,3299.0,40.0,4.0,4.0,21.0,True,3,False,,W,True
79.0,633.0,21.0,3.0,1.0,1.0,1.0,20.0,True,2,False,,W,True
2.0,37.0,175.0,3473.0,17.0,2.0,1.0,11.0,True,3,False,,W,True
36.0,843.0,187.0,5.0,2.0,1.0,1.0,20.0,True,2,False,,W,True
36.0,479.0,1043.0,14.0,2.0,1.0,1.0,21.0,True,2,False,,W,True
0.0,730.0,140.0,3963.0,13.0,1.0,0.0,14.0,True,3,False,,W,True
0.0,1220.0,275.0,3901.0,17.0,0.0,0.0,1.0,True,3,False,,W,True
28.0,26.0,1329.0,379.0,2.0,1.0,1.0,21.0,True,2,False,,W,True
0.0,41.0,358.0,4206.0,12.0,0.0,0.0,0.0,True,3,False,,W,True
55.0,23.0,481.0,250.0,5.0,2.0,1.0,22.0,True,2,False,,W,True
0.0,48.0,1354.0,4466.0,13.0,1.0,1.0,3.0,True,3,False,,W,True
11.0,83.0,452.0,17.0,4.0,1.0,1.0,23.0,True,2,False,,W,True
0.0,6.0,226.0,9849.0,14.0,0.0,1.0,1.0,True,3,True,1,W,True
114.0,135.0,2.0,3.0,2.0,1.0,1.0,19.0,True,2,False,,W,True
0.0,8.0,223.0,9990.0,10.0,0.0,0.0,1.0,True,3,True,1,W,True
65.0,186.0,3.0,3.0,2.0,1.0,1.0,21.0,True,2,True,4,W,True
0.0,7.0,228.0,10136.0,10.0,0.0,0.0,1.0,True,3,True,1,W,True
137.0,124.0,2.0,4.0,2.0,1.0,1.0,19.0,True,2,True,4,W,True
0.0,11.0,246.0,10357.0,13.0,0.0,1.0,1.0,True,3,True,1,W,True
147.0,157.0,2.0,4.0,2.0,1.0,1.0,20.0,True,2,True,4,W,True
0.0,7.0,223.0,9844.0,12.0,0.0,0.0,0.0,True,3,True,1,W,True
121.0,125.0,2.0,4.0,3.0,1.0,1.0,21.0,True,2,True,4,W,True
0.0,8.0,234.0,9619.0,13.0,0.0,0.0,0.0,True,3,True,1,W,True
95.0,118.0,2.0,4.0,2.0,1.0,1.0,22.0,True,2,True,4,W,True
