bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
163.0,63.0,2.0,7.0,3.0,1.0,1.0,23.0,True,2,True,4,40-28,True
0.0,0.0,62.0,2746.0,13.0,0.0,0.0,6.0,True,3,False,,40-28,True
0.0,3.0,84.0,3063.0,20.0,3.0,3.0,14.0,True,3,False,,42-30,True
228.0,177.0,16.0,6.0,3.0,1.0,1.0,18.0,True,2,True,4,42-30,True
209.0,59.0,4.0,7.0,3.0,1.0,2.0,24.0,True,2,True,4,44-30,True
0.0,1.0,23.0,2924.0,13.0,0.0,1.0,15.0,True,3,False,,44-30,True
121.0,235.0,6.0,11.0,3.0,1.0,1.0,22.0,True,2,True,4,46-32,True
0.0,3.0,62.0,3176.0,17.0,3.0,4.0,17.0,True,3,False,,46-32,True
18.0,663.0,37.0,5.0,3.0,1.0,1.0,18.0,True,2,False,,48-34,True
1.0,27.0,81.0,3459.0,17.0,0.0,0.0,17.0,True,3,False,,48-34,True
25.0,949.0,305.0,76.0,3.0,1.0,1.0,20.0,True,2,False,,50-36,True
2.0,647.0,36.0,3627.0,14.0,2.0,1.0,5.0,True,3,False,,50-36,True
77.0,166.0,21.0,6.0,2.0,1.0,1.0,20.0,True,2,False,,52-38,True
0.0,380.0,374.0,4352.0,10.0,0.0,0.0,1.0,True,3,False,,52-38,True
0.0,0.0,122.0,11487.0,36.0,0.0,0.0,0.0,True,3,True,1,NT-35-50,False
91.0,491.0,5.0,5.0,2.0,1.0,2.0,25.0,True,2,False,,NT-35-50,False
0.0,0.0,131.0,13235.0,36.0,0.0,1.0,0.0,True,3,True,1,NT-37-52,False
84.0,247.0,4.0,9.0,2.0,1.0,1.0,22.0,True,2,False,,NT-37-52,False
0.0,0.0,144.0,12735.0,44.0,1.0,2.0,1.0,True,3,True,1,NT-39-54,False
103.0,366.0,5.0,5.0,2.0,1.0,2.0,23.0,True,2,False,,NT-39-54,False
0.0,0.0,148.0,12590.0,61.0,1.0,3.0,1.0,True,3,True,1,NT-41-56,False
80.0,296.0,4.0,9.0,2.0,1.0,1.0,22.0,True,2,False,,NT-41-56,False
0.0,0.0,158.0,12838.0,57.0,0.0,0.0,0.0,True,3,True,1,NT-43-58,False
86.0,118.0,4.0,6.0,4.0,1.0,1.0,22.0,True,2,False,,NT-43-58,False
0.0,0.0,116.0,11715.0,27.0,0.0,1.0,0.0,True,3,True,1,NT-45-60,False
89.0,86.0,4.0,5.0,3.0,1.0,1.0,19.0,True,2,False,,NT-45-60,False
