bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
169.0,14.0,2.0,3.0,3.0,2.0,1.0,20.0,True,2,False,,30-25,True
0.0,4.0,44.0,2491.0,6.0,1.0,1.0,3.0,True,3,False,,30-25,True
119.0,77.0,5.0,5.0,2.0,2.0,3.0,29.0,True,2,False,,35-30,True
0.0,9.0,146.0,2992.0,11.0,1.0,1.0,8.0,True,3,False,,35-30,True
66.0,1771.0,37.0,2.0,2.0,1.0,1.0,13.0,True,2,False,,40-35,True
9.0,368.0,148.0,3526.0,2.0,0.0,1.0,6.0,True,3,False,,40-35,True
78.0,1262.0,293.0,10.0,2.0,1.0,2.0,21.0,True,2,False,,45-40,True
29.0,1433.0,56.0,3905.0,1.0,0.0,0.0,0.0,True,3,True,4,45-40,True
39.0,60.0,921.0,60.0,3.0,2.0,3.0,20.0,True,2,False,,50-45,True
0.0,918.0,235.0,4640.0,9.0,0.0,1.0,1.0,True,3,False,,50-45,True
144.0,1570.0,36.0,20.0,3.0,3.0,3.0,24.0,True,2,False,,55-50,True
0.0,5.0,387.0,7749.0,14.0,2.0,11.0,38.0,True,3,False,,55-50,True
202.0,935.0,20.0,17.0,2.0,2.0,3.0,21.0,True,2,True,4,60-55,True
0.0,6.0,340.0,8916.0,37.0,0.0,5.0,13.0,True,3,False,,60-55,True
274.0,46.0,2.0,2.0,0.0,0.0,0.0,11.0,True,2,True,4,NT-30-30,False
0.0,0.0,53.0,7274.0,2.0,0.0,0.0,0.0,True,3,True,1,NT-30-30,False
212.0,58.0,2.0,1.0,0.0,0.0,0.0,10.0,True,2,True,4,NT-32-32,False
0.0,0.0,40.0,9156.0,2.0,0.0,0.0,0.0,True,3,True,1,NT-32-32,False
250.0,38.0,1.0,2.0,0.0,1.0,0.0,9.0,True,2,True,4,NT-34-34,False
0.0,0.0,47.0,9462.0,2.0,0.0,0.0,1.0,True,3,True,1,NT-34-34,False
206.0,48.0,2.0,2.0,0.0,0.0,0.0,12.0,True,2,True,4,NT-36-36,False
0.0,0.0,58.0,10046.0,1.0,0.0,0.0,0.0,True,3,True,1,NT-36-36,False
303.0,47.0,3.0,1.0,0.0,0.0,0.0,6.0,True,2,True,4,NT-38-38,False
0.0,0.0,46.0,10141.0,3.0,0.0,0.0,0.0,True,3,True,1,NT-38-38,False
222.0,49.0,2.0,1.0,0.0,0.0,0.0,6.0,True,2,True,4,NT-40-40,False
0.0,0.0,63.0,9458.0,1.0,0.0,0.0,0.0,True,3,True,1,NT-40-40,False
