bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
3.0,728.0,115.0,3060.0,24.0,1.0,0.0,1.0,True,3,False,,E,True
42.0,1502.0,101.0,3.0,2.0,1.0,1.0,18.0,True,2,False,,E,True
13.0,417.0,1011.0,24.0,2.0,1.0,1.0,20.0,True,2,False,,E,True
1.0,2652.0,177.0,3400.0,30.0,0.0,0.0,0.0,True,3,False,,E,True
221.0,30.0,2.0,2.0,1.0,0.0,1.0,21.0,True,2,True,4,E,True
0.0,1.0,10.0,3450.0,16.0,0.0,0.0,0.0,True,3,False,,E,True
35.0,85.0,1238.0,40.0,2.0,1.0,1.0,21.0,True,2,False,,E,True
0.0,670.0,432.0,3743.0,12.0,0.0,0.0,0.0,True,3,False,,E,True
0.0,39.0,620.0,3660.0,14.0,0.0,0.0,0.0,True,3,False,,E,True
44.0,39.0,542.0,65.0,2.0,1.0,1.0,22.0,True,2,False,,E,True
62.0,403.0,196.0,22.0,2.0,0.0,0.0,20.0,True,2,False,,E,True
0.0,212.0,2745.0,4825.0,13.0,0.0,0.0,0.0,True,3,False,,E,True
38.0,2610.0,56.0,19.0,2.0,1.0,1.0,17.0,True,2,False,,E,True
0.0,32.0,1719.0,6147.0,99.0,15.0,0.0,0.0,True,3,False,,E,True
196.0,34.0,2.0,3.0,1.0,0.0,1.0,17.0,True,2,True,4,E,True
0.0,0.0,12.0,13324.0,23.0,0.0,1.0,2.0,True,3,True,1,E,True
138.0,29.0,3.0,3.0,1.0,0.0,0.0,19.0,True,2,True,4,E,True
0.0,0.0,24.0,12817.0,16.0,0.0,0.0,0.0,True,3,True,1,E,True
0.0,0.0,102.0,10975.0,14.0,0.0,0.0,0.0,True,3,True,1,E,True
239.0,30.0,3.0,3.0,1.0,0.0,1.0,19.0,True,2,True,4,E,True
150.0,34.0,3.0,3.0,1.0,1.0,1.0,20.0,True,2,True,4,E,True
0.0,0.0,31.0,14613.0,17.0,0.0,0.0,1.0,True,3,True,1,E,True
0.0,0.0,131.0,10754.0,14.0,0.0,1.0,1.0,True,3,True,1,E,True
94.0,33.0,3.0,3.0,1.0,1.0,1.0,22.0,True,2,True,4,E,True
159.0,28.0,3.0,4.0,2.0,1.0,1.0,22.0,True,2,True,4,E,True
0.0,0.0,22.0,15305.0,18.0,1.0,1.0,1.0,True,3,True,1,E,True
