bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
438.0,32.0,3.0,5.0,4.0,1.0,1.0,15.0,True,2,False,,17-22,True
2.0,1.0,12.0,2103.0,10.0,1.0,2.0,9.0,True,3,False,,17-22,True
437.0,39.0,4.0,5.0,4.0,2.0,2.0,16.0,True,2,False,,21-26,True
7.0,4.0,33.0,2610.0,13.0,0.0,1.0,4.0,True,3,False,,21-26,True
492.0,46.0,8.0,6.0,4.0,2.0,2.0,17.0,True,2,False,,25-30,True
2.0,7.0,127.0,3315.0,15.0,0.0,0.0,1.0,True,3,False,,25-30,True
590.0,48.0,9.0,12.0,6.0,2.0,2.0,20.0,True,2,False,,29-34,True
1.0,12.0,332.0,3482.0,11.0,0.0,0.0,1.0,True,3,False,,29-34,True
569.0,93.0,51.0,7.0,4.0,1.0,1.0,18.0,True,2,False,,33-38,True
2.0,273.0,912.0,3826.0,6.0,0.0,0.0,0.0,True,3,False,,33-38,True
668.0,78.0,1078.0,18.0,4.0,2.0,2.0,21.0,True,2,False,,37-42,True
41.0,1170.0,287.0,4032.0,8.0,0.0,0.0,0.0,True,3,False,,37-42,True
1851.0,251.0,11.0,5.0,3.0,1.0,1.0,20.0,True,2,False,,41-46,True
62.0,545.0,316.0,4179.0,11.0,1.0,3.0,2.0,True,3,False,,41-46,True
833.0,502.0,214.0,19.0,4.0,2.0,2.0,19.0,True,2,False,,45-50,True
6.0,157.0,350.0,3662.0,11.0,2.0,1.0,2.0,True,3,False,,45-50,True
4688.0,46.0,3.0,4.0,3.0,1.0,2.0,34.0,True,2,True,4,60-30,True
0.0,0.0,7.0,10056.0,3.0,0.0,0.0,0.0,True,3,True,1,60-30,True
3936.0,50.0,2.0,5.0,3.0,2.0,3.0,32.0,True,2,True,4,62-32,True
0.0,0.0,41.0,7780.0,6.0,0.0,0.0,0.0,True,3,True,1,62-32,True
4123.0,46.0,3.0,3.0,3.0,2.0,2.0,36.0,True,2,True,4,64-34,True
0.0,0.0,44.0,8029.0,6.0,0.0,0.0,0.0,True,3,True,1,64-34,True
3634.0,62.0,2.0,4.0,4.0,2.0,2.0,33.0,True,2,True,4,66-36,True
0.0,0.0,50.0,8458.0,6.0,0.0,0.0,0.0,True,3,True,1,66-36,True
4603.0,53.0,3.0,6.0,4.0,2.0,2.0,34.0,True,2,True,4,68-38,True
0.0,0.0,58.0,8711.0,7.0,0.0,0.0,0.0,True,3,True,1,68-38,True
3435.0,52.0,2.0,5.0,5.0,2.0,2.0,33.0,True,2,True,4,70-40,True
0.0,0.0,62.0,9132.0,7.0,0.0,0.0,0.0,True,3,True,1,70-40,True
