bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0.0,1.0,53.0,3035.0,20.0,1.0,1.0,9.0,True,3,False,,42-30,True
439.0,103.0,18.0,30.0,2.0,1.0,1.0,25.0,True,2,True,4,42-30,True
0.0,2.0,51.0,3155.0,24.0,1.0,1.0,5.0,True,3,False,,42-31,True
233.0,67.0,8.0,8.0,0.0,0.0,0.0,18.0,True,2,True,4,42-31,True
1.0,11.0,79.0,3326.0,30.0,2.0,1.0,3.0,True,3,False,,44-33,True
78.0,2300.0,7.0,2.0,0.0,0.0,0.0,19.0,True,2,False,,44-33,True
4.0,505.0,138.0,3493.0,17.0,0.0,1.0,1.0,True,3,False,,46-35,True
87.0,534.0,143.0,7.0,2.0,0.0,0.0,18.0,True,2,False,,46-35,True
0.0,32.0,330.0,3668.0,11.0,2.0,1.0,1.0,True,3,False,,48-37,True
66.0,145.0,617.0,163.0,2.0,0.0,0.0,20.0,True,2,False,,48-37,True
0.0,182.0,568.0,4033.0,16.0,3.0,2.0,6.0,True,3,False,,50-39,True
111.0,1347.0,47.0,8.0,1.0,0.0,0.0,19.0,True,2,False,,50-39,True
0.0,21.0,394.0,5251.0,18.0,4.0,5.0,7.0,True,3,False,,52-41,True
96.0,1067.0,189.0,22.0,1.0,0.0,1.0,19.0,True,2,False,,52-41,True
0.0,0.0,50.0,12099.0,9.0,1.0,0.0,0.0,True,3,True,1,NT-28-50,False
166.0,94.0,3.0,6.0,1.0,0.0,0.0,20.0,True,2,True,4,NT-28-50,False
0.0,0.0,52.0,12412.0,14.0,0.0,0.0,0.0,True,3,True,1,NT-30-52,False
154.0,74.0,3.0,5.0,1.0,0.0,0.0,19.0,True,2,True,4,NT-30-52,False
0.0,0.0,84.0,13539.0,10.0,0.0,1.0,0.0,True,3,True,1,NT-32-54,False
133.0,82.0,3.0,6.0,2.0,0.0,0.0,21.0,True,2,True,4,NT-32-54,False
0.0,0.0,86.0,13232.0,14.0,0.0,1.0,0.0,True,3,True,1,NT-34-56,False
227.0,65.0,3.0,8.0,3.0,0.0,1.0,19.0,True,2,True,4,NT-34-56,False
0.0,0.0,74.0,13418.0,14.0,1.0,1.0,1.0,True,3,True,1,NT-36-58,False
236.0,75.0,4.0,5.0,1.0,0.0,0.0,23.0,True,2,True,4,NT-36-58,False
0.0,0.0,89.0,13219.0,17.0,0.0,1.0,0.0,True,3,True,1,NT-38-60,False
337.0,75.0,4.0,7.0,2.0,0.0,0.0,22.0,True,2,True,4,NT-38-60,False
