bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0.0,1.0,132.0,2796.0,9.0,0.0,0.0,0.0,True,3,False,,42-28,True
311.0,71.0,6.0,8.0,2.0,1.0,1.0,25.0,True,2,True,4,42-28,True
0.0,2.0,143.0,3081.0,25.0,0.0,1.0,0.0,True,3,False,,44-30,True
288.0,63.0,5.0,6.0,3.0,1.0,1.0,20.0,True,2,True,4,44-30,True
0.0,5.0,152.0,3136.0,31.0,4.0,3.0,8.0,True,3,False,,46-32,True
239.0,328.0,25.0,3.0,1.0,0.0,0.0,14.0,True,2,True,4,46-32,True
0.0,5.0,163.0,3399.0,39.0,4.0,4.0,7.0,True,3,False,,48-34,True
94.0,1126.0,120.0,5.0,1.0,0.0,1.0,17.0,True,2,False,,48-34,True
1.0,95.0,235.0,3359.0,10.0,0.0,0.0,5.0,True,3,False,,50-36,True
74.0,1608.0,746.0,24.0,2.0,0.0,0.0,17.0,True,2,False,,50-36,True
0.0,18.0,363.0,4022.0,2.0,0.0,0.0,0.0,True,3,False,,52-38,True
38.0,48.0,842.0,596.0,3.0,1.0,1.0,20.0,True,2,False,,52-38,True
0.0,478.0,374.0,3662.0,5.0,0.0,0.0,0.0,True,3,False,,54-40,True
55.0,60.0,2154.0,757.0,3.0,1.0,1.0,19.0,True,2,False,,54-40,True
0.0,2.0,168.0,9088.0,4.0,0.0,0.0,0.0,True,3,True,1,NT-28-50,False
107.0,660.0,3.0,3.0,1.0,0.0,0.0,19.0,True,2,True,4,NT-28-50,False
0.0,0.0,169.0,8927.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-29-48,False
80.0,495.0,3.0,5.0,1.0,0.0,0.0,20.0,True,2,True,4,NT-29-48,False
0.0,0.0,157.0,9011.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-30-46,False
99.0,651.0,4.0,6.0,2.0,0.0,0.0,19.0,True,2,True,4,NT-30-46,False
0.0,1.0,162.0,8596.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-31-44,False
97.0,659.0,3.0,5.0,2.0,0.0,0.0,20.0,True,2,True,4,NT-31-44,False
0.0,1.0,158.0,8324.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-32-42,False
148.0,672.0,4.0,5.0,1.0,0.0,0.0,21.0,True,2,True,4,NT-32-42,False
0.0,1.0,161.0,8355.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-33-40,False
103.0,557.0,7.0,5.0,2.0,0.0,0.0,20.0,True,2,True,4,NT-33-40,False
