bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
579.0,110.0,11.0,9.0,2.0,0.0,1.0,23.0,True,2,True,4,42-28,True
0.0,3.0,18.0,3098.0,19.0,3.0,3.0,23.0,True,3,False,,42-28,True
345.0,64.0,13.0,5.0,2.0,1.0,1.0,17.0,True,2,True,4,44-30,True
0.0,6.0,26.0,3381.0,38.0,7.0,3.0,18.0,True,3,False,,44-30,True
67.0,2119.0,106.0,2.0,1.0,0.0,0.0,9.0,True,2,False,,46-32,True
1.0,11.0,27.0,3479.0,44.0,4.0,4.0,27.0,True,3,False,,46-32,True
85.0,50.0,1099.0,906.0,2.0,0.0,0.0,14.0,True,2,False,,48-34,True
4.0,352.0,63.0,3798.0,33.0,3.0,1.0,7.0,True,3,False,,48-34,True
99.0,215.0,1291.0,185.0,1.0,0.0,0.0,14.0,True,2,False,,50-36,True
2.0,942.0,249.0,3924.0,19.0,1.0,1.0,4.0,True,3,False,,50-36,True
51.0,50.0,734.0,361.0,4.0,1.0,1.0,20.0,True,2,False,,52-38,True
0.0,48.0,1002.0,4119.0,13.0,1.0,2.0,5.0,True,3,False,,52-38,True
26.0,60.0,1118.0,102.0,2.0,0.0,1.0,18.0,True,2,False,,54-40,True
0.0,41.0,1920.0,4538.0,9.0,2.0,2.0,4.0,True,3,False,,54-40,True
164.0,102.0,3.0,4.0,0.0,1.0,1.0,19.0,True,2,True,4,NT-28-50,False
0.0,0.0,20.0,13949.0,13.0,1.0,1.0,0.0,True,3,True,1,NT-28-50,False
132.0,90.0,3.0,5.0,1.0,0.0,0.0,18.0,True,2,True,4,NT-30-52,False
0.0,0.0,24.0,12956.0,10.0,1.0,1.0,0.0,True,3,True,1,NT-30-52,False
176.0,100.0,3.0,5.0,1.0,0.0,0.0,19.0,True,2,True,4,NT-32-54,False
0.0,0.0,18.0,14449.0,13.0,1.0,1.0,1.0,True,3,True,1,NT-32-54,False
132.0,55.0,3.0,3.0,1.0,0.0,0.0,19.0,True,2,False,,NT-34-56,False
0.0,0.0,20.0,13426.0,10.0,1.0,1.0,0.0,True,3,True,1,NT-34-56,False
240.0,52.0,2.0,3.0,1.0,0.0,1.0,18.0,True,2,False,,NT-36-58,False
0.0,0.0,9.0,14251.0,12.0,1.0,1.0,0.0,True,3,True,1,NT-36-58,False
166.0,71.0,3.0,6.0,2.0,1.0,1.0,24.0,True,2,True,4,NT-38-60,False
0.0,0.0,14.0,15099.0,12.0,1.0,0.0,1.0,True,3,True,1,NT-38-60,False
