bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
415.0,89.0,2.0,7.0,2.0,0.0,1.0,24.0,True,2,True,4,40-28,True
0.0,0.0,70.0,2754.0,12.0,0.0,0.0,7.0,True,3,False,,40-28,True
0.0,3.0,91.0,3056.0,19.0,3.0,3.0,14.0,True,3,False,,42-30,True
289.0,92.0,9.0,5.0,2.0,0.0,1.0,16.0,True,2,True,4,42-30,True
0.0,1.0,26.0,2931.0,13.0,0.0,1.0,15.0,True,3,False,,44-30,True
414.0,76.0,17.0,17.0,2.0,0.0,1.0,25.0,True,2,True,4,44-30,True
0.0,3.0,67.0,3173.0,16.0,3.0,4.0,17.0,True,3,False,,46-32,True
146.0,692.0,23.0,41.0,2.0,0.0,0.0,23.0,True,2,True,4,46-32,True
3.0,33.0,87.0,3480.0,14.0,0.0,0.0,18.0,True,3,False,,48-34,True
122.0,2566.0,48.0,5.0,2.0,1.0,0.0,10.0,True,2,False,,48-34,True
2.0,677.0,38.0,3681.0,13.0,2.0,1.0,6.0,True,3,False,,50-36,True
116.0,1395.0,328.0,84.0,2.0,1.0,1.0,18.0,True,2,False,,50-36,True
0.0,436.0,380.0,4407.0,10.0,0.0,0.0,1.0,True,3,False,,52-38,True
100.0,191.0,24.0,6.0,1.0,0.0,1.0,21.0,True,2,False,,52-38,True
0.0,0.0,129.0,11891.0,36.0,0.0,0.0,0.0,True,3,True,1,NT-35-50,False
114.0,510.0,4.0,4.0,2.0,1.0,1.0,24.0,True,2,True,4,NT-35-50,False
0.0,0.0,135.0,13755.0,33.0,0.0,1.0,0.0,True,3,True,1,NT-37-52,False
142.0,247.0,3.0,8.0,3.0,1.0,1.0,22.0,True,2,True,4,NT-37-52,False
0.0,0.0,140.0,13837.0,42.0,1.0,2.0,1.0,True,3,True,1,NT-39-54,False
217.0,321.0,4.0,6.0,2.0,1.0,1.0,23.0,True,2,True,4,NT-39-54,False
0.0,0.0,159.0,14464.0,53.0,1.0,4.0,1.0,True,3,True,1,NT-41-56,False
198.0,357.0,6.0,8.0,3.0,0.0,0.0,22.0,True,2,True,4,NT-41-56,False
0.0,0.0,156.0,13381.0,62.0,1.0,0.0,0.0,True,3,True,1,NT-43-58,False
143.0,249.0,4.0,6.0,2.0,1.0,1.0,23.0,True,2,True,4,NT-43-58,False
0.0,0.0,114.0,12243.0,29.0,0.0,1.0,0.0,True,3,True,1,NT-45-60,False
198.0,140.0,5.0,5.0,2.0,0.0,1.0,19.0,True,2,False,,NT-45-60,False
