bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
183.0,79.0,5.0,3.0,1.0,0.0,1.0,24.0,True,2,True,4,45-36,True
0.0,0.0,36.0,10074.0,4.0,0.0,0.0,0.0,True,3,True,1,45-36,True
256.0,72.0,3.0,3.0,3.0,1.0,1.0,22.0,True,2,True,4,47-38,True
0.0,7.0,56.0,7149.0,2.0,0.0,0.0,0.0,True,3,True,1,47-38,True
305.0,55.0,5.0,3.0,2.0,0.0,1.0,24.0,True,2,True,4,49-40,True
0.0,138.0,589.0,3976.0,2.0,1.0,1.0,2.0,True,3,False,,49-40,True
190.0,65.0,6.0,3.0,2.0,1.0,0.0,21.0,True,2,True,4,51-42,True
0.0,103.0,382.0,4157.0,2.0,0.0,1.0,0.0,True,3,False,,51-42,True
239.0,55.0,4.0,3.0,2.0,1.0,1.0,21.0,True,2,True,4,53-44,True
1.0,232.0,644.0,4320.0,2.0,0.0,1.0,7.0,True,3,False,,53-44,True
187.0,638.0,4.0,3.0,4.0,0.0,0.0,22.0,True,2,True,4,55-46,True
9.0,1080.0,305.0,4346.0,11.0,2.0,1.0,5.0,True,3,False,,55-46,True
153.0,77.0,8.0,4.0,4.0,1.0,1.0,21.0,True,2,True,4,57-48,True
0.0,9.0,1103.0,6911.0,5.0,0.0,0.0,0.0,True,3,True,1,57-48,True
149.0,76.0,4.0,2.0,2.0,0.0,0.0,23.0,True,2,True,4,NT-41-21,False
0.0,0.0,8.0,7275.0,2.0,0.0,0.0,0.0,True,3,True,1,NT-41-21,False
406.0,71.0,5.0,2.0,1.0,1.0,1.0,24.0,True,2,True,4,NT-43-23,False
0.0,0.0,21.0,6061.0,2.0,0.0,0.0,0.0,True,3,True,1,NT-43-23,False
204.0,76.0,4.0,3.0,2.0,1.0,1.0,26.0,True,2,True,4,NT-45-25,False
0.0,0.0,25.0,7204.0,2.0,0.0,0.0,0.0,True,3,True,1,NT-45-25,False
285.0,59.0,4.0,2.0,1.0,0.0,1.0,26.0,True,2,True,4,NT-47-27,False
0.0,0.0,24.0,8874.0,2.0,0.0,0.0,0.0,True,3,True,1,NT-47-27,False
298.0,54.0,6.0,3.0,2.0,1.0,1.0,25.0,True,2,True,4,NT-49-29,False
0.0,0.0,16.0,10164.0,2.0,0.0,0.0,0.0,True,3,True,1,NT-49-29,False
243.0,49.0,2.0,4.0,5.0,2.0,1.0,24.0,True,2,True,4,NT-51-31,False
0.0,0.0,20.0,9793.0,1.0,0.0,0.0,0.0,True,3,True,1,NT-51-31,False
