bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0.0,0.0,132.0,11385.0,2.0,0.0,0.0,0.0,True,3,True,1,33-48,True
147.0,52.0,5.0,4.0,7.0,1.0,1.0,13.0,True,2,True,4,33-48,True
0.0,1.0,219.0,9361.0,3.0,0.0,0.0,0.0,True,3,True,1,35-50,True
100.0,94.0,4.0,6.0,4.0,0.0,1.0,20.0,True,2,False,,35-50,True
0.0,2.0,322.0,9014.0,11.0,0.0,1.0,0.0,True,3,True,1,37-52,True
67.0,233.0,55.0,57.0,6.0,1.0,1.0,21.0,True,2,False,,37-52,True
0.0,7.0,317.0,7529.0,35.0,3.0,2.0,4.0,True,3,True,1,39-54,True
38.0,44.0,132.0,171.0,8.0,1.0,1.0,25.0,True,2,False,,39-54,True
0.0,3.0,356.0,7746.0,13.0,0.0,0.0,0.0,True,3,True,1,41-56,True
38.0,40.0,100.0,776.0,5.0,1.0,1.0,26.0,True,2,False,,41-56,True
0.0,65.0,4909.0,4221.0,4.0,0.0,0.0,0.0,True,3,False,,43-58,True
29.0,38.0,11.0,1246.0,5.0,1.0,1.0,25.0,True,2,False,,43-58,True
0.0,953.0,1149.0,3484.0,6.0,0.0,1.0,1.0,True,3,False,,45-60,True
26.0,55.0,255.0,1086.0,6.0,2.0,3.0,24.0,True,2,True,1,45-60,True
0.0,0.0,128.0,6660.0,6.0,0.0,0.0,0.0,True,3,True,1,46-30,True
282.0,71.0,5.0,3.0,1.0,0.0,1.0,25.0,True,2,True,4,46-30,True
0.0,0.0,141.0,6874.0,7.0,0.0,0.0,0.0,True,3,True,1,48-32,True
277.0,68.0,3.0,3.0,1.0,1.0,1.0,24.0,True,2,True,4,48-32,True
0.0,0.0,150.0,6704.0,3.0,0.0,0.0,0.0,True,3,True,1,50-34,True
376.0,60.0,4.0,2.0,2.0,1.0,1.0,25.0,True,2,True,4,50-34,True
0.0,0.0,141.0,7461.0,7.0,0.0,0.0,0.0,True,3,True,1,52-36,True
308.0,51.0,3.0,3.0,2.0,1.0,1.0,26.0,True,2,True,4,52-36,True
0.0,1.0,149.0,7743.0,5.0,0.0,0.0,0.0,True,3,True,1,54-38,True
261.0,63.0,3.0,2.0,5.0,1.0,1.0,26.0,True,2,True,4,54-38,True
0.0,1.0,150.0,7950.0,8.0,0.0,0.0,0.0,True,3,True,1,56-40,True
237.0,72.0,4.0,3.0,5.0,2.0,1.0,26.0,True,2,True,4,56-40,True
