bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
153.0,100.0,5.0,4.0,4.0,1.0,1.0,19.0,True,2,False,,35-30,True
0.0,14.0,30.0,3222.0,45.0,10.0,5.0,17.0,True,3,False,,35-30,True
161.0,140.0,7.0,3.0,2.0,0.0,1.0,19.0,True,2,False,,38-33,True
0.0,11.0,63.0,3688.0,54.0,3.0,2.0,9.0,True,3,False,,38-33,True
62.0,545.0,10.0,3.0,5.0,1.0,1.0,18.0,True,2,False,,41-36,True
0.0,37.0,114.0,3871.0,40.0,3.0,5.0,12.0,True,3,False,,41-36,True
101.0,341.0,21.0,3.0,2.0,1.0,1.0,20.0,True,2,False,,44-39,True
0.0,91.0,264.0,4223.0,20.0,1.0,3.0,14.0,True,3,False,,44-39,True
96.0,459.0,5.0,3.0,2.0,1.0,1.0,21.0,True,2,False,,47-42,True
0.0,17.0,352.0,4279.0,16.0,2.0,4.0,10.0,True,3,False,,47-42,True
207.0,47.0,3.0,2.0,3.0,0.0,1.0,21.0,True,2,True,4,50-40,True
0.0,0.0,8.0,6425.0,8.0,0.0,1.0,1.0,True,3,False,,50-40,True
75.0,692.0,8.0,3.0,1.0,1.0,1.0,20.0,True,2,True,4,50-45,True
0.0,45.0,1049.0,4786.0,25.0,3.0,2.0,8.0,True,3,False,,50-45,True
282.0,77.0,4.0,3.0,2.0,1.0,1.0,23.0,True,2,True,4,NT-45-25,False
0.0,0.0,9.0,6857.0,8.0,1.0,1.0,1.0,True,3,True,1,NT-45-25,False
87.0,67.0,6.0,3.0,2.0,0.0,1.0,23.0,True,2,True,4,NT-47-27,False
0.0,0.0,15.0,7191.0,10.0,1.0,1.0,1.0,True,3,True,1,NT-47-27,False
200.0,66.0,4.0,3.0,1.0,0.0,1.0,25.0,True,2,True,4,NT-49-29,False
0.0,0.0,14.0,7707.0,9.0,1.0,1.0,0.0,True,3,True,1,NT-49-29,False
281.0,54.0,3.0,3.0,2.0,1.0,1.0,24.0,True,2,True,4,NT-51-31,False
0.0,0.0,19.0,8341.0,10.0,1.0,0.0,0.0,True,3,True,1,NT-51-31,False
272.0,68.0,3.0,3.0,6.0,2.0,1.0,26.0,True,2,True,4,NT-53-33,False
0.0,0.0,14.0,9039.0,14.0,1.0,0.0,1.0,True,3,True,1,NT-53-33,False
198.0,57.0,3.0,2.0,3.0,1.0,1.0,27.0,True,2,True,4,NT-55-55,False
0.0,0.0,9.0,10718.0,10.0,1.0,0.0,0.0,True,3,True,1,NT-55-55,False
