bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
140.0,125.0,7.0,6.0,3.0,1.0,1.0,21.0,True,2,True,4,39-34,True
0.0,8.0,96.0,3325.0,15.0,0.0,1.0,1.0,True,3,False,,39-34,True
450.0,37.0,2.0,2.0,2.0,0.0,0.0,22.0,True,2,True,4,40-33,True
0.0,0.0,14.0,4284.0,12.0,0.0,0.0,0.0,True,3,False,,40-33,True
129.0,68.0,10.0,6.0,4.0,1.0,1.0,19.0,True,2,True,4,41-36,True
0.0,6.0,108.0,3523.0,15.0,0.0,0.0,4.0,True,3,False,,41-36,True
74.0,253.0,5.0,4.0,2.0,1.0,1.0,18.0,True,2,True,4,43-38,True
0.0,73.0,282.0,3700.0,21.0,3.0,3.0,4.0,True,3,False,,43-38,True
299.0,92.0,8.0,3.0,2.0,1.0,1.0,23.0,True,2,True,4,45-40,True
0.0,53.0,338.0,3859.0,16.0,0.0,0.0,1.0,True,3,False,,45-40,True
197.0,434.0,6.0,3.0,1.0,0.0,0.0,19.0,True,2,True,4,47-42,True
0.0,95.0,379.0,4100.0,23.0,0.0,0.0,1.0,True,3,False,,47-42,True
162.0,383.0,7.0,3.0,3.0,0.0,0.0,21.0,True,2,True,4,49-44,True
0.0,97.0,379.0,4227.0,20.0,2.0,0.0,2.0,True,3,False,,49-44,True
277.0,80.0,4.0,2.0,2.0,1.0,1.0,24.0,True,2,True,4,NT-46-25,False
0.0,0.0,8.0,6069.0,14.0,0.0,0.0,0.0,True,3,True,1,NT-46-25,False
201.0,71.0,5.0,3.0,2.0,0.0,0.0,25.0,True,2,True,4,NT-475-27,False
0.0,0.0,11.0,6621.0,12.0,0.0,0.0,0.0,True,3,True,1,NT-475-27,False
243.0,59.0,4.0,3.0,2.0,1.0,0.0,23.0,True,2,True,4,NT-49-29,False
0.0,0.0,10.0,9317.0,15.0,0.0,0.0,0.0,True,3,True,1,NT-49-29,False
138.0,65.0,4.0,3.0,2.0,1.0,1.0,22.0,True,2,True,4,NT-505-31,False
0.0,0.0,16.0,7568.0,14.0,0.0,0.0,0.0,True,3,True,1,NT-505-31,False
171.0,63.0,6.0,3.0,4.0,2.0,1.0,24.0,True,2,True,4,NT-52-33,False
0.0,0.0,19.0,8593.0,15.0,0.0,0.0,0.0,True,3,True,1,NT-52-33,False
232.0,53.0,4.0,3.0,2.0,1.0,1.0,26.0,True,2,True,4,NT-535-35,False
0.0,0.0,11.0,9576.0,17.0,0.0,0.0,0.0,True,3,True,1,NT-535-35,False
