bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
69.0,65.0,9.0,5.0,3.0,1.0,1.0,20.0,True,2,False,,35-35,True
7.0,154.0,104.0,3705.0,14.0,0.0,0.0,1.0,True,3,False,,35-35,True
114.0,59.0,14.0,18.0,5.0,1.0,1.0,23.0,True,2,False,,38-38,True
0.0,63.0,355.0,4136.0,12.0,0.0,0.0,0.0,True,3,False,,38-38,True
46.0,74.0,15.0,9.0,4.0,1.0,1.0,17.0,True,2,False,,41-41,True
1.0,480.0,394.0,4572.0,18.0,0.0,0.0,1.0,True,3,False,,41-41,True
95.0,614.0,13.0,14.0,3.0,1.0,1.0,25.0,True,2,False,,44-44,True
0.0,10.0,1960.0,5357.0,7.0,0.0,4.0,4.0,True,3,False,,44-44,True
148.0,1396.0,58.0,4.0,3.0,1.0,1.0,21.0,True,2,False,,47-47,True
0.0,22.0,687.0,7622.0,22.0,0.0,1.0,4.0,True,3,True,1,47-47,True
462.0,104.0,6.0,3.0,2.0,0.0,0.0,21.0,True,2,True,4,50-50,True
0.0,5.0,55.0,9350.0,24.0,0.0,1.0,12.0,True,3,True,1,50-50,True
241.0,34.0,2.0,3.0,2.0,1.0,1.0,24.0,True,2,True,4,53-53,True
0.0,0.0,47.0,11849.0,18.0,0.0,1.0,0.0,True,3,True,1,53-53,True
0.0,0.0,139.0,13120.0,32.0,0.0,0.0,0.0,True,3,True,1,NT-35-55,False
101.0,1722.0,6.0,4.0,1.0,0.0,0.0,25.0,True,2,True,4,NT-35-55,False
0.0,0.0,151.0,13609.0,26.0,0.0,1.0,0.0,True,3,True,1,NT-37-57,False
64.0,1390.0,10.0,3.0,2.0,0.0,0.0,25.0,True,2,True,4,NT-37-57,False
0.0,0.0,153.0,13706.0,62.0,0.0,1.0,0.0,True,3,True,1,NT-39-59,False
183.0,1715.0,5.0,3.0,1.0,0.0,0.0,23.0,True,2,True,4,NT-39-59,False
0.0,0.0,139.0,13094.0,46.0,0.0,1.0,0.0,True,3,True,1,NT-41-61,False
236.0,1701.0,6.0,3.0,1.0,0.0,1.0,21.0,True,2,True,4,NT-41-61,False
0.0,0.0,169.0,14196.0,72.0,5.0,1.0,1.0,True,3,True,1,NT-43-63,False
106.0,1426.0,4.0,3.0,2.0,0.0,1.0,23.0,True,2,True,4,NT-43-63,False
0.0,0.0,147.0,15037.0,64.0,3.0,5.0,1.0,True,3,True,1,NT-45-65,False
121.0,1551.0,5.0,3.0,2.0,0.0,1.0,24.0,True,2,True,4,NT-45-65,False
