bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
43.0,2874.0,235.0,4.0,4.0,1.0,1.0,19.0,True,2,False,,47-38,True
170.0,287.0,17.0,3774.0,1.0,0.0,0.0,7.0,True,3,True,4,47-38,True
291.0,53.0,2.0,3.0,3.0,1.0,2.0,24.0,True,2,True,4,49-36,True
0.0,19.0,113.0,3716.0,37.0,1.0,2.0,12.0,True,3,False,,49-36,True
32.0,1583.0,8.0,4.0,4.0,2.0,2.0,18.0,True,2,False,,49-38,True
22.0,189.0,51.0,3870.0,4.0,0.0,1.0,11.0,True,3,False,,49-38,True
214.0,52.0,2.0,4.0,3.0,2.0,2.0,25.0,True,2,True,4,51-36,True
2.0,98.0,141.0,3645.0,20.0,2.0,9.0,22.0,True,3,False,,51-36,True
103.0,157.0,2.0,4.0,5.0,2.0,2.0,22.0,True,2,True,4,53-38,True
25.0,206.0,37.0,3750.0,2.0,0.0,1.0,26.0,True,3,False,,53-38,True
45.0,448.0,73.0,4.0,3.0,1.0,2.0,19.0,True,2,False,,55-40,True
470.0,328.0,57.0,4070.0,1.0,0.0,0.0,1.0,True,3,True,4,55-40,True
262.0,19.0,2.0,4.0,2.0,1.0,1.0,18.0,True,2,True,4,NT-30-45,False
0.0,0.0,28.0,13149.0,3.0,0.0,0.0,0.0,True,3,True,1,NT-30-45,False
324.0,19.0,2.0,3.0,2.0,1.0,1.0,19.0,True,2,True,4,NT-32-47,False
0.0,0.0,32.0,13759.0,5.0,0.0,1.0,0.0,True,3,True,1,NT-32-47,False
243.0,24.0,1.0,3.0,3.0,1.0,1.0,19.0,True,2,True,4,NT-34-49,False
0.0,0.0,8.0,16132.0,13.0,0.0,0.0,7.0,True,3,True,1,NT-34-49,False
417.0,23.0,2.0,3.0,3.0,2.0,1.0,20.0,True,2,True,4,NT-36-51,False
0.0,0.0,13.0,16129.0,9.0,0.0,0.0,3.0,True,3,True,1,NT-36-51,False
144.0,17.0,1.0,3.0,3.0,1.0,2.0,19.0,True,2,False,,NT-38-53,False
0.0,1.0,43.0,14903.0,8.0,0.0,1.0,1.0,True,3,True,1,NT-38-53,False
367.0,19.0,1.0,3.0,3.0,1.0,1.0,22.0,True,2,True,4,NT-40-55,False
0.0,0.0,37.0,13395.0,16.0,1.0,1.0,1.0,True,3,True,1,NT-40-55,False
283.0,33.0,1.0,3.0,5.0,1.0,2.0,23.0,True,2,True,4,NT-49-34,False
0.0,6.0,45.0,4837.0,6.0,0.0,0.0,1.0,True,3,False,,NT-49-34,False
