bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
58.0,329.0,3.0,3.0,3.0,1.0,1.0,18.0,True,2,False,,45-30,True
1.0,13.0,22.0,3386.0,50.0,7.0,6.0,16.0,True,3,False,,45-30,True
31.0,635.0,96.0,4.0,3.0,2.0,1.0,16.0,True,2,False,,47-32,True
0.0,28.0,25.0,3520.0,44.0,9.0,5.0,26.0,True,3,False,,47-32,True
178.0,39.0,2.0,4.0,4.0,2.0,1.0,21.0,True,2,True,4,49-34,True
0.0,13.0,86.0,3811.0,18.0,1.0,6.0,15.0,True,3,False,,49-34,True
68.0,465.0,3.0,4.0,4.0,2.0,2.0,21.0,True,2,True,4,51-36,True
0.0,147.0,100.0,3863.0,13.0,5.0,2.0,18.0,True,3,False,,51-36,True
62.0,188.0,3.0,4.0,4.0,2.0,2.0,21.0,True,2,True,4,53-38,True
16.0,150.0,18.0,4048.0,52.0,14.0,4.0,25.0,True,3,False,,53-38,True
10.0,169.0,68.0,4.0,4.0,2.0,1.0,18.0,True,2,False,,55-40,True
77.0,213.0,24.0,4375.0,9.0,9.0,2.0,1.0,True,3,False,,55-40,True
142.0,106.0,2.0,2.0,3.0,1.0,1.0,16.0,True,2,True,4,NT-22-45,False
0.0,0.0,3.0,14213.0,8.0,0.0,1.0,1.0,True,3,True,1,NT-22-45,False
124.0,102.0,2.0,3.0,3.0,1.0,1.0,16.0,True,2,True,4,NT-24-47,False
0.0,0.0,2.0,13528.0,8.0,0.0,1.0,2.0,True,3,True,1,NT-24-47,False
113.0,75.0,2.0,3.0,3.0,2.0,1.0,16.0,True,2,True,4,NT-26-49,False
0.0,0.0,12.0,13415.0,7.0,0.0,1.0,3.0,True,3,True,1,NT-26-49,False
80.0,65.0,2.0,3.0,3.0,1.0,2.0,17.0,True,2,True,4,NT-28-51,False
0.0,0.0,10.0,12642.0,6.0,0.0,1.0,1.0,True,3,True,1,NT-28-51,False
135.0,111.0,2.0,3.0,3.0,2.0,2.0,18.0,True,2,True,4,NT-30-53,False
0.0,0.0,18.0,15017.0,10.0,0.0,0.0,1.0,True,3,True,1,NT-30-53,False
209.0,121.0,2.0,3.0,3.0,2.0,2.0,17.0,True,2,True,4,NT-32-55,False
0.0,0.0,12.0,13738.0,10.0,0.0,0.0,1.0,True,3,True,1,NT-32-55,False
341.0,42.0,2.0,3.0,4.0,1.0,1.0,21.0,True,2,True,4,NT-39-28,False
0.0,3.0,19.0,3203.0,31.0,1.0,1.0,8.0,True,3,False,,NT-39-28,False
