bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
108.0,45.0,3.0,5.0,5.0,2.0,2.0,27.0,True,2,True,4,42-35,True
0.0,144.0,125.0,3408.0,26.0,5.0,3.0,14.0,True,3,False,,42-35,True
20.0,724.0,9.0,4.0,4.0,2.0,2.0,20.0,True,2,False,,44-37,True
0.0,40.0,126.0,3667.0,21.0,0.0,0.0,1.0,True,3,False,,44-37,True
62.0,1639.0,18.0,30.0,30.0,15.0,8.0,13.0,False,,False,,44-37,True
340.0,36.0,2.0,3.0,4.0,2.0,2.0,21.0,True,2,True,4,48-35,True
0.0,14.0,159.0,3456.0,22.0,1.0,1.0,3.0,True,3,False,,48-35,True
136.0,34.0,2.0,4.0,4.0,2.0,2.0,21.0,True,2,True,4,51-36,True
0.0,73.0,259.0,3535.0,26.0,1.0,0.0,19.0,True,3,False,,51-36,True
57.0,51.0,2.0,4.0,4.0,2.0,2.0,22.0,True,2,True,4,53-38,True
4.0,238.0,29.0,3742.0,21.0,3.0,2.0,15.0,True,3,False,,53-38,True
24.0,513.0,31.0,4.0,4.0,2.0,2.0,23.0,True,2,True,4,55-40,True
234.0,128.0,25.0,3865.0,31.0,1.0,1.0,14.0,True,3,False,,55-40,True
221.0,52.0,2.0,3.0,4.0,1.0,2.0,20.0,True,2,True,4,NT-22-45,False
0.0,0.0,26.0,11957.0,26.0,0.0,0.0,0.0,True,3,True,1,NT-22-45,False
200.0,47.0,2.0,3.0,3.0,1.0,2.0,19.0,True,2,True,4,NT-24-47,False
0.0,0.0,28.0,11550.0,27.0,0.0,0.0,0.0,True,3,True,1,NT-24-47,False
124.0,43.0,2.0,3.0,3.0,1.0,1.0,17.0,True,2,True,4,NT-26-49,False
0.0,0.0,28.0,12358.0,28.0,0.0,1.0,0.0,True,3,True,1,NT-26-49,False
110.0,49.0,2.0,3.0,3.0,1.0,1.0,17.0,True,2,True,4,NT-28-51,False
0.0,0.0,24.0,12032.0,29.0,0.0,0.0,1.0,True,3,True,1,NT-28-51,False
187.0,51.0,2.0,3.0,2.0,1.0,1.0,17.0,True,2,True,4,NT-30-53,False
0.0,0.0,25.0,11461.0,29.0,0.0,0.0,0.0,True,3,True,1,NT-30-53,False
126.0,54.0,2.0,3.0,2.0,1.0,1.0,17.0,True,2,True,4,NT-32-55,False
0.0,0.0,52.0,11711.0,24.0,0.0,0.0,0.0,True,3,True,1,NT-32-55,False
352.0,32.0,1.0,3.0,4.0,1.0,2.0,24.0,True,2,True,4,NT-49-34,False
0.0,2.0,41.0,4151.0,31.0,0.0,0.0,3.0,True,3,False,,NT-49-34,False
