bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
268.0,67.0,2.0,4.0,4.0,2.0,1.0,20.0,True,2,True,4,45-32,True
0.0,2.0,109.0,3196.0,13.0,0.0,1.0,5.0,True,3,False,,45-32,True
165.0,40.0,2.0,4.0,3.0,2.0,2.0,23.0,True,2,True,4,47-32,True
0.0,2.0,68.0,3143.0,17.0,1.0,1.0,10.0,True,3,False,,47-32,True
326.0,42.0,2.0,4.0,4.0,2.0,2.0,23.0,True,2,True,4,49-34,True
0.0,3.0,76.0,3400.0,18.0,4.0,7.0,20.0,True,3,False,,49-34,True
65.0,921.0,2.0,4.0,3.0,2.0,2.0,20.0,True,2,True,4,51-36,True
7.0,14.0,61.0,3613.0,24.0,0.0,1.0,12.0,True,3,False,,51-36,True
18.0,71.0,1148.0,4.0,3.0,2.0,2.0,18.0,True,2,False,,53-38,True
121.0,23.0,54.0,3832.0,15.0,1.0,1.0,5.0,True,3,True,4,53-38,True
93.0,814.0,2.0,3.0,4.0,2.0,2.0,19.0,True,2,False,,55-40,True
0.0,2321.0,122.0,4396.0,8.0,0.0,0.0,0.0,True,3,False,,55-40,True
127.0,110.0,2.0,3.0,3.0,2.0,2.0,21.0,True,2,True,4,NT-35-45,False
0.0,0.0,95.0,11846.0,19.0,0.0,1.0,0.0,True,3,True,1,NT-35-45,False
126.0,110.0,2.0,4.0,4.0,2.0,2.0,23.0,True,2,True,4,NT-37-47,False
0.0,0.0,101.0,12439.0,24.0,0.0,0.0,0.0,True,3,True,1,NT-37-47,False
175.0,56.0,2.0,3.0,3.0,2.0,2.0,22.0,True,2,True,4,NT-39-49,False
0.0,0.0,108.0,12778.0,20.0,0.0,1.0,0.0,True,3,True,1,NT-39-49,False
148.0,62.0,2.0,3.0,4.0,2.0,2.0,22.0,True,2,True,4,NT-41-51,False
0.0,0.0,116.0,12641.0,21.0,1.0,1.0,0.0,True,3,True,1,NT-41-51,False
218.0,97.0,2.0,5.0,4.0,2.0,2.0,25.0,True,2,True,4,NT-43-53,False
0.0,0.0,119.0,13036.0,28.0,4.0,3.0,2.0,True,3,True,1,NT-43-53,False
271.0,53.0,1.0,4.0,4.0,2.0,1.0,25.0,True,2,True,4,NT-45-30,False
0.0,2.0,56.0,2944.0,15.0,1.0,1.0,9.0,True,3,False,,NT-45-30,False
0.0,0.0,148.0,13460.0,31.0,1.0,3.0,0.0,True,3,True,1,NT-45-55,False
179.0,99.0,3.0,5.0,4.0,2.0,1.0,28.0,True,2,True,4,NT-45-55,False
