bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
215.0,14.0,2.0,3.0,4.0,1.0,1.0,21.0,True,2,False,,30-25,True
0.0,4.0,26.0,2526.0,6.0,1.0,1.0,4.0,True,3,False,,30-25,True
110.0,75.0,4.0,5.0,2.0,1.0,1.0,30.0,True,2,False,,35-30,True
0.0,13.0,118.0,3144.0,8.0,1.0,1.0,12.0,True,3,False,,35-30,True
36.0,571.0,23.0,4.0,4.0,1.0,1.0,17.0,True,2,False,,40-35,True
3.0,388.0,123.0,3697.0,1.0,0.0,1.0,8.0,True,3,False,,40-35,True
39.0,1270.0,291.0,9.0,3.0,1.0,1.0,22.0,True,2,False,,45-40,True
32.0,1581.0,46.0,3932.0,1.0,0.0,0.0,0.0,True,3,True,4,45-40,True
100.0,60.0,921.0,58.0,4.0,1.0,1.0,21.0,True,2,False,,50-45,True
0.0,1686.0,239.0,4886.0,5.0,0.0,1.0,1.0,True,3,True,4,50-45,True
149.0,1562.0,36.0,20.0,4.0,1.0,1.0,24.0,True,2,True,4,55-50,True
0.0,12.0,1136.0,8505.0,7.0,4.0,64.0,107.0,True,3,False,,55-50,True
162.0,930.0,19.0,17.0,3.0,1.0,1.0,22.0,True,2,True,4,60-55,True
0.0,10.0,331.0,9212.0,50.0,1.0,6.0,45.0,True,3,False,,60-55,True
225.0,46.0,1.0,2.0,0.0,0.0,0.0,11.0,True,2,True,4,NT-30-30,False
0.0,0.0,9.0,8904.0,1.0,0.0,0.0,0.0,True,3,True,1,NT-30-30,False
291.0,58.0,1.0,1.0,0.0,0.0,0.0,10.0,True,2,True,4,NT-32-32,False
0.0,0.0,20.0,10028.0,1.0,0.0,0.0,0.0,True,3,True,1,NT-32-32,False
175.0,38.0,1.0,2.0,0.0,0.0,0.0,9.0,True,2,True,4,NT-34-34,False
0.0,0.0,13.0,11580.0,1.0,0.0,0.0,0.0,True,3,True,1,NT-34-34,False
197.0,47.0,2.0,2.0,0.0,0.0,0.0,11.0,True,2,True,4,NT-36-36,False
0.0,0.0,36.0,10870.0,1.0,0.0,0.0,0.0,True,3,True,1,NT-36-36,False
249.0,47.0,3.0,1.0,0.0,0.0,0.0,6.0,True,2,True,4,NT-38-38,False
0.0,0.0,28.0,11729.0,2.0,0.0,0.0,0.0,True,3,True,1,NT-38-38,False
524.0,50.0,2.0,1.0,0.0,0.0,0.0,5.0,True,2,True,4,NT-40-40,False
0.0,0.0,25.0,10462.0,1.0,0.0,0.0,0.0,True,3,True,1,NT-40-40,False
