bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
245.0,39.0,1.0,4.0,4.0,1.0,1.0,19.0,True,2,True,4,47-33,True
0.0,2.0,72.0,3434.0,16.0,1.0,2.0,9.0,True,3,False,,47-33,True
150.0,97.0,2.0,3.0,3.0,1.0,1.0,23.0,True,2,True,4,49-35,True
0.0,14.0,215.0,3399.0,23.0,2.0,3.0,11.0,True,3,False,,49-35,True
184.0,1562.0,21.0,5.0,5.0,1.0,1.0,22.0,True,2,True,4,51-37,True
2.0,76.0,60.0,3564.0,22.0,5.0,3.0,13.0,True,3,False,,51-37,True
54.0,439.0,5.0,4.0,4.0,1.0,1.0,24.0,True,2,False,,53-39,True
10.0,184.0,52.0,3686.0,21.0,1.0,2.0,7.0,True,3,False,,53-39,True
20.0,423.0,1319.0,5.0,3.0,1.0,1.0,19.0,True,2,False,,55-41,True
75.0,558.0,57.0,4067.0,7.0,1.0,1.0,1.0,True,3,True,4,55-41,True
66.0,138.0,914.0,9.0,2.0,1.0,0.0,22.0,True,2,False,,57-43,True
0.0,3940.0,197.0,4565.0,8.0,0.0,0.0,0.0,True,3,True,4,57-43,True
335.0,39.0,1.0,4.0,4.0,1.0,1.0,18.0,True,2,True,4,NM-45-31,True
0.0,0.0,37.0,3226.0,18.0,1.0,1.0,1.0,True,3,False,,NM-45-31,True
357.0,38.0,2.0,1.0,0.0,0.0,0.0,12.0,True,2,True,4,NT-30-30-,False
0.0,0.0,60.0,6082.0,14.0,0.0,0.0,0.0,True,3,True,1,NT-30-30-,False
329.0,51.0,1.0,1.0,0.0,0.0,0.0,8.0,True,2,True,4,NT-32-32,False
0.0,0.0,24.0,9482.0,16.0,0.0,1.0,1.0,True,3,True,1,NT-32-32,False
221.0,47.0,3.0,1.0,0.0,0.0,0.0,6.0,True,2,True,4,NT-34-34,False
0.0,0.0,28.0,10000.0,22.0,0.0,1.0,1.0,True,3,True,1,NT-34-34,False
244.0,42.0,1.0,1.0,0.0,0.0,0.0,9.0,True,2,True,4,NT-36-36,False
0.0,0.0,38.0,8221.0,16.0,0.0,1.0,1.0,True,3,True,1,NT-36-36,False
198.0,43.0,2.0,1.0,0.0,0.0,0.0,8.0,True,2,True,4,NT-38-38,False
0.0,0.0,40.0,8585.0,19.0,0.0,0.0,1.0,True,3,True,1,NT-38-38,False
326.0,49.0,2.0,2.0,0.0,0.0,0.0,6.0,True,2,True,4,NT-40-40,False
0.0,0.0,36.0,10694.0,25.0,0.0,0.0,0.0,True,3,True,1,NT-40-40,False
