bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0.0,1.0,147.0,3333.0,6.0,0.0,0.0,0.0,True,3,False,,45-31,True
439.0,20.0,2.0,3.0,3.0,0.0,0.0,19.0,True,2,True,4,45-31,True
0.0,2.0,156.0,3469.0,11.0,0.0,0.0,0.0,True,3,False,,47-33,True
317.0,27.0,2.0,4.0,3.0,1.0,1.0,22.0,True,2,True,4,47-33,True
139.0,28.0,1.0,4.0,4.0,1.0,1.0,18.0,True,2,True,4,49-35,True
0.0,5.0,169.0,3519.0,15.0,0.0,0.0,1.0,True,3,False,,49-35,True
191.0,44.0,1.0,3.0,4.0,1.0,1.0,21.0,True,2,True,4,51-37,True
0.0,6.0,169.0,3658.0,11.0,0.0,0.0,0.0,True,3,False,,51-37,True
0.0,18.0,295.0,3833.0,10.0,0.0,1.0,0.0,True,3,False,,53-39,True
199.0,119.0,2.0,3.0,2.0,1.0,0.0,21.0,True,2,True,4,53-39,True
38.0,52.0,3.0,4.0,4.0,1.0,1.0,20.0,True,2,False,,55-41,True
1.0,46.0,141.0,3849.0,13.0,1.0,1.0,2.0,True,3,False,,55-41,True
50.0,81.0,23.0,5.0,4.0,1.0,1.0,19.0,True,2,False,,57-43,True
7.0,389.0,159.0,3718.0,19.0,2.0,4.0,5.0,True,3,False,,57-43,True
388.0,122.0,2.0,2.0,0.0,0.0,0.0,11.0,True,2,True,4,NT-30-30,False
0.0,1.0,144.0,8123.0,6.0,0.0,0.0,0.0,True,3,True,1,NT-30-30,False
199.0,115.0,2.0,1.0,0.0,0.0,0.0,11.0,True,2,True,4,NT-32-32,False
0.0,1.0,146.0,7699.0,4.0,0.0,0.0,0.0,True,3,True,1,NT-32-32,False
258.0,104.0,3.0,1.0,0.0,0.0,0.0,13.0,True,2,True,4,NT-34-34,False
0.0,1.0,137.0,7467.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-34-34,False
210.0,90.0,2.0,1.0,0.0,0.0,0.0,16.0,True,2,True,4,NT-36-36,False
0.0,0.0,136.0,7095.0,7.0,0.0,0.0,0.0,True,3,True,1,NT-36-36,False
159.0,96.0,2.0,1.0,0.0,0.0,0.0,20.0,True,2,True,4,NT-38-38,False
0.0,1.0,145.0,6508.0,9.0,0.0,0.0,0.0,True,3,True,1,NT-38-38,False
131.0,87.0,2.0,5.0,1.0,0.0,0.0,15.0,True,2,True,4,NT-40-40,False
0.0,1.0,143.0,6695.0,7.0,0.0,0.0,0.0,True,3,True,1,NT-40-40,False
