bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
447.0,15.0,1.0,3.0,3.0,1.0,1.0,18.0,True,2,True,4,49-35,True
0.0,0.0,27.0,4653.0,11.0,0.0,0.0,1.0,True,3,False,,49-35,True
182.0,31.0,2.0,3.0,3.0,1.0,1.0,21.0,True,2,True,4,50-36,True
0.0,20.0,197.0,3529.0,22.0,0.0,0.0,1.0,True,3,False,,50-36,True
416.0,32.0,2.0,3.0,3.0,1.0,1.0,22.0,True,2,True,4,51-37,True
0.0,72.0,213.0,3665.0,31.0,1.0,0.0,4.0,True,3,False,,51-37,True
308.0,43.0,2.0,3.0,3.0,1.0,1.0,21.0,True,2,True,4,53-39,True
0.0,327.0,192.0,3757.0,22.0,1.0,1.0,6.0,True,3,False,,53-39,True
67.0,68.0,3.0,5.0,5.0,1.0,1.0,19.0,True,2,True,4,55-41,True
15.0,1137.0,92.0,4019.0,6.0,0.0,0.0,0.0,True,3,False,,55-41,True
97.0,54.0,2.0,5.0,4.0,1.0,2.0,21.0,True,2,True,4,57-43,True
17.0,459.0,28.0,4201.0,61.0,0.0,2.0,20.0,True,3,False,,57-43,True
87.0,359.0,8.0,4.0,2.0,1.0,1.0,22.0,True,2,False,,59-45,True
240.0,139.0,37.0,4392.0,7.0,0.0,0.0,3.0,True,3,True,4,59-45,True
175.0,126.0,1.0,1.0,0.0,0.0,0.0,15.0,True,2,True,4,NT-30-30,False
0.0,0.0,9.0,7392.0,8.0,0.0,0.0,0.0,True,3,True,1,NT-30-30,False
110.0,104.0,4.0,1.0,0.0,0.0,0.0,17.0,True,2,True,4,NT-32-32,False
0.0,0.0,12.0,9818.0,9.0,0.0,0.0,0.0,True,3,True,1,NT-32-32,False
199.0,78.0,2.0,1.0,0.0,0.0,0.0,15.0,True,2,True,4,NT-34-34,False
0.0,0.0,11.0,8464.0,21.0,0.0,0.0,0.0,True,3,True,1,NT-34-34,False
98.0,95.0,3.0,1.0,0.0,0.0,0.0,12.0,True,2,True,4,NT-36-36,False
0.0,0.0,16.0,9330.0,15.0,0.0,0.0,0.0,True,3,True,1,NT-36-36,False
305.0,100.0,3.0,2.0,0.0,0.0,0.0,8.0,True,2,True,4,NT-38-38,False
0.0,1.0,48.0,9494.0,20.0,0.0,0.0,0.0,True,3,True,1,NT-38-38,False
282.0,132.0,3.0,0.0,0.0,0.0,0.0,5.0,True,2,True,4,NT-40-40,False
0.0,0.0,10.0,11023.0,11.0,0.0,0.0,0.0,True,3,True,1,NT-40-40,False
