bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
90.0,130.0,35.0,6.0,2.0,1.0,1.0,21.0,True,2,False,,30-40,True
0.0,2.0,122.0,3954.0,13.0,2.0,1.0,3.0,True,3,False,,30-40,True
57.0,126.0,38.0,5.0,2.0,1.0,1.0,28.0,True,2,False,,31-45,True
0.0,1.0,115.0,4416.0,15.0,1.0,3.0,7.0,True,3,False,,31-45,True
69.0,129.0,44.0,5.0,3.0,1.0,1.0,30.0,True,2,False,,32-50,True
0.0,3.0,304.0,4858.0,13.0,1.0,2.0,1.0,True,3,False,,32-50,True
79.0,118.0,653.0,142.0,2.0,0.0,0.0,14.0,True,2,False,,33-55,True
0.0,163.0,1439.0,5200.0,12.0,0.0,0.0,0.0,True,3,False,,33-55,True
86.0,98.0,1750.0,27.0,1.0,0.0,0.0,9.0,True,2,False,,34-60,True
0.0,16.0,2877.0,4509.0,10.0,0.0,0.0,1.0,True,3,False,,34-60,True
85.0,95.0,2099.0,24.0,0.0,0.0,0.0,15.0,True,2,True,1,35-65,True
0.0,29.0,4233.0,5263.0,10.0,0.0,0.0,0.0,True,3,False,,35-65,True
76.0,397.0,796.0,19.0,1.0,0.0,0.0,15.0,True,2,False,,36-70,True
0.0,8.0,1180.0,4990.0,43.0,7.0,8.0,2.0,True,3,False,,36-70,True
436.0,418.0,5.0,1.0,0.0,0.0,0.0,4.0,True,2,False,,37-75,True
0.0,2.0,181.0,11614.0,28.0,4.0,0.0,1.0,True,3,True,1,37-75,True
145.0,613.0,56.0,6.0,0.0,0.0,0.0,5.0,True,2,False,,38-80,True
0.0,1.0,210.0,9109.0,22.0,0.0,0.0,0.0,True,3,True,1,38-80,True
246.0,631.0,3.0,4.0,0.0,0.0,0.0,12.0,True,2,True,4,NT-30-30,False
0.0,0.0,106.0,8818.0,18.0,0.0,0.0,0.0,True,3,True,1,NT-30-30,False
204.0,549.0,3.0,2.0,0.0,0.0,0.0,13.0,True,2,True,4,NT-32-32,False
0.0,0.0,58.0,7952.0,14.0,0.0,0.0,0.0,True,3,True,1,NT-32-32,False
268.0,683.0,5.0,3.0,0.0,0.0,0.0,9.0,True,2,True,4,NT-34-34,False
0.0,0.0,61.0,8640.0,21.0,0.0,0.0,0.0,True,3,True,1,NT-34-34,False
234.0,593.0,3.0,2.0,0.0,0.0,0.0,12.0,True,2,True,4,NT-36-36,False
0.0,0.0,66.0,8929.0,24.0,0.0,0.0,0.0,True,3,True,1,NT-36-36,False
264.0,680.0,5.0,2.0,0.0,0.0,0.0,7.0,True,2,True,4,NT-38-38,False
0.0,0.0,78.0,9479.0,16.0,0.0,0.0,0.0,True,3,True,1,NT-38-38,False
249.0,410.0,3.0,2.0,0.0,0.0,0.0,10.0,True,2,True,4,NT-40-40,False
0.0,0.0,88.0,9904.0,19.0,0.0,0.0,1.0,True,3,True,1,NT-40-40,False
