bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
30.0,1442.0,96.0,3.0,2.0,1.0,1.0,19.0,True,2,False,,40-32,True
6.0,1304.0,21.0,3335.0,26.0,1.0,0.0,2.0,True,3,False,,40-32,True
38.0,417.0,1011.0,25.0,2.0,0.0,1.0,20.0,True,2,False,,42-34,True
2.0,2959.0,142.0,3639.0,26.0,0.0,0.0,0.0,True,3,False,,42-34,True
450.0,27.0,2.0,3.0,1.0,0.0,1.0,22.0,True,2,True,4,44-28,True
0.0,1.0,6.0,3467.0,18.0,0.0,0.0,0.0,True,3,False,,44-28,True
34.0,86.0,1233.0,40.0,2.0,0.0,0.0,21.0,True,2,False,,44-36,True
0.0,1067.0,553.0,3923.0,14.0,0.0,0.0,0.0,True,3,False,,44-36,True
4.0,36.0,441.0,55.0,3.0,1.0,1.0,23.0,True,2,False,,46-38,True
0.0,78.0,867.0,4160.0,14.0,0.0,1.0,0.0,True,3,False,,46-38,True
54.0,234.0,174.0,18.0,3.0,1.0,0.0,19.0,True,2,False,,48-40,True
0.0,221.0,2992.0,5035.0,13.0,0.0,0.0,0.0,True,3,False,,48-40,True
31.0,2565.0,42.0,10.0,2.0,0.0,0.0,19.0,True,2,False,,50-42,True
0.0,35.0,2130.0,6428.0,150.0,42.0,0.0,0.0,True,3,False,,50-42,True
191.0,32.0,2.0,3.0,2.0,0.0,0.0,20.0,True,2,True,4,NT-28-40,False
0.0,0.0,10.0,13829.0,20.0,0.0,1.0,2.0,True,3,True,1,NT-28-40,False
167.0,29.0,2.0,3.0,1.0,0.0,0.0,20.0,True,2,True,4,NT-30-42,False
0.0,0.0,12.0,15676.0,24.0,0.0,1.0,1.0,True,3,True,1,NT-30-42,False
97.0,27.0,2.0,3.0,1.0,0.0,1.0,23.0,True,2,True,4,NT-32-44,False
0.0,0.0,4.0,15840.0,18.0,0.0,0.0,1.0,True,3,True,1,NT-32-44,False
149.0,32.0,2.0,3.0,2.0,0.0,1.0,21.0,True,2,True,4,NT-34-46,False
0.0,0.0,13.0,16697.0,17.0,0.0,0.0,1.0,True,3,True,1,NT-34-46,False
254.0,27.0,3.0,3.0,1.0,0.0,1.0,22.0,True,2,True,4,NT-36-48,False
0.0,0.0,10.0,16372.0,23.0,0.0,2.0,2.0,True,3,True,1,NT-36-48,False
287.0,27.0,3.0,3.0,2.0,0.0,1.0,22.0,True,2,True,4,nt-38-50,True
0.0,0.0,17.0,16060.0,17.0,1.0,1.0,2.0,True,3,True,1,nt-38-50,True
