bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
444.0,23.0,2.0,3.0,1.0,0.0,0.0,21.0,True,2,True,4,40-30,True
0.0,1.0,57.0,3096.0,20.0,2.0,1.0,2.0,True,3,False,,40-30,True
106.0,190.0,2.0,2.0,2.0,0.0,0.0,20.0,True,2,True,4,40-32,True
0.0,8.0,62.0,3192.0,35.0,6.0,2.0,5.0,True,3,False,,40-32,True
324.0,40.0,2.0,3.0,1.0,0.0,1.0,23.0,True,2,True,4,42-32,True
0.0,12.0,162.0,3074.0,29.0,4.0,1.0,13.0,True,3,False,,42-32,True
50.0,42.0,859.0,3.0,1.0,0.0,1.0,20.0,True,2,False,,44-34,True
8.0,79.0,116.0,3250.0,34.0,3.0,1.0,3.0,True,3,False,,44-34,True
46.0,320.0,597.0,46.0,2.0,0.0,1.0,23.0,True,2,False,,46-36,True
1.0,1384.0,151.0,3645.0,22.0,1.0,1.0,1.0,True,3,False,,46-36,True
0.0,223.0,561.0,4142.0,15.0,1.0,1.0,1.0,True,3,False,,48-38,True
34.0,222.0,346.0,11.0,2.0,0.0,1.0,21.0,True,2,False,,48-38,True
28.0,1499.0,3.0,4.0,2.0,0.0,1.0,22.0,True,2,False,,50-40,True
0.0,148.0,1793.0,4700.0,9.0,0.0,0.0,0.0,True,3,False,,50-40,True
104.0,34.0,3.0,4.0,2.0,0.0,0.0,22.0,True,2,True,4,NT-34-42,False
0.0,0.0,53.0,10776.0,15.0,0.0,1.0,0.0,True,3,True,1,NT-34-42,False
155.0,40.0,3.0,4.0,2.0,1.0,1.0,22.0,True,2,True,4,NT-36-44,False
0.0,1.0,34.0,11230.0,15.0,1.0,1.0,9.0,True,3,True,1,NT-36-44,False
0.0,0.0,48.0,11511.0,13.0,0.0,1.0,0.0,True,3,True,1,NT-38-46,False
175.0,34.0,2.0,3.0,2.0,1.0,1.0,19.0,True,2,True,4,NT-38-46,False
0.0,0.0,54.0,12804.0,14.0,0.0,1.0,1.0,True,3,True,1,NT-40-48,False
229.0,40.0,3.0,4.0,2.0,1.0,1.0,21.0,True,2,True,4,NT-40-48,False
0.0,0.0,70.0,12157.0,11.0,0.0,1.0,1.0,True,3,True,1,NT-42-50,False
164.0,35.0,2.0,3.0,2.0,1.0,1.0,21.0,True,2,True,4,NT-42-50,False
0.0,0.0,69.0,13069.0,12.0,0.0,0.0,0.0,True,3,True,1,NT-44-52,False
251.0,27.0,2.0,3.0,2.0,1.0,1.0,24.0,True,2,True,4,NT-44-52,False
