bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
278.0,34.0,2.0,3.0,3.0,0.0,0.0,19.0,True,2,True,4,40-28,True
0.0,2.0,7.0,3369.0,33.0,1.0,0.0,3.0,True,3,False,,40-28,True
42.0,576.0,21.0,3.0,2.0,0.0,1.0,20.0,True,2,False,,42-32,True
1.0,30.0,19.0,3614.0,46.0,7.0,7.0,26.0,True,3,False,,42-32,True
7.0,840.0,185.0,5.0,2.0,1.0,1.0,21.0,True,2,False,,44-34,True
4.0,109.0,39.0,3664.0,17.0,4.0,2.0,15.0,True,3,False,,44-34,True
60.0,475.0,983.0,13.0,2.0,0.0,1.0,22.0,True,2,False,,46-36,True
3.0,902.0,105.0,4090.0,19.0,1.0,0.0,16.0,True,3,False,,46-36,True
24.0,26.0,1347.0,386.0,2.0,0.0,1.0,21.0,True,2,False,,48-38,True
1.0,2124.0,328.0,4329.0,17.0,0.0,0.0,3.0,True,3,False,,48-38,True
19.0,25.0,692.0,328.0,5.0,1.0,1.0,22.0,True,2,False,,50-40,True
0.0,46.0,1434.0,4820.0,8.0,1.0,1.0,0.0,True,3,False,,50-40,True
37.0,89.0,484.0,17.0,4.0,1.0,1.0,23.0,True,2,False,,52-42,True
0.0,49.0,3802.0,5191.0,9.0,2.0,2.0,8.0,True,3,False,,52-42,True
106.0,121.0,2.0,3.0,2.0,0.0,0.0,21.0,True,2,True,4,NT-30-50,False
0.0,0.0,5.0,13479.0,7.0,1.0,1.0,0.0,True,3,True,1,NT-30-50,False
85.0,160.0,3.0,3.0,2.0,1.0,1.0,22.0,True,2,True,4,NT-32-52,False
0.0,0.0,8.0,13901.0,8.0,0.0,1.0,1.0,True,3,True,1,NT-32-52,False
132.0,117.0,2.0,4.0,2.0,1.0,1.0,21.0,True,2,True,4,NT-34-54,False
0.0,0.0,6.0,13857.0,7.0,0.0,0.0,1.0,True,3,True,1,NT-34-54,False
173.0,126.0,2.0,3.0,1.0,1.0,1.0,21.0,True,2,True,4,NT-36-56,False
0.0,0.0,8.0,14568.0,8.0,0.0,1.0,1.0,True,3,True,1,NT-36-56,False
184.0,103.0,2.0,4.0,3.0,1.0,1.0,22.0,True,2,True,4,NT-38-58,False
0.0,0.0,2.0,15326.0,6.0,0.0,0.0,0.0,True,3,True,1,NT-38-58,False
201.0,120.0,2.0,4.0,3.0,1.0,1.0,23.0,True,2,True,4,NT-40-60,False
