bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
325.0,30.0,2.0,3.0,2.0,0.0,1.0,20.0,True,2,True,4,40-30,True
0.0,1.0,97.0,2974.0,20.0,1.0,1.0,9.0,True,3,False,,40-30,True
386.0,30.0,2.0,2.0,2.0,0.0,1.0,20.0,True,2,True,4,42-30,True
0.0,2.0,91.0,2957.0,16.0,1.0,2.0,16.0,True,3,False,,42-30,True
219.0,182.0,2.0,3.0,2.0,0.0,1.0,21.0,True,2,True,4,44-32,True
0.0,4.0,60.0,3049.0,15.0,4.0,4.0,12.0,True,3,False,,44-32,True
151.0,204.0,2.0,3.0,1.0,0.0,0.0,20.0,True,2,True,4,46-34,True
6.0,75.0,53.0,3359.0,16.0,0.0,1.0,7.0,True,3,False,,46-34,True
3.0,807.0,50.0,3727.0,12.0,0.0,0.0,2.0,True,3,False,,48-36,True
81.0,263.0,506.0,18.0,2.0,0.0,1.0,21.0,True,2,False,,48-36,True
3.0,345.0,384.0,4284.0,17.0,0.0,0.0,1.0,True,3,False,,50-38,True
61.0,158.0,11.0,5.0,2.0,3.0,6.0,27.0,True,2,False,,50-38,True
341.0,22.0,1.0,3.0,1.0,0.0,1.0,20.0,True,2,True,4,NM_40-28,True
0.0,0.0,52.0,2752.0,15.0,0.0,0.0,9.0,True,3,False,,NM_40-28,True
0.0,0.0,91.0,10016.0,20.0,0.0,0.0,1.0,True,3,True,1,NT-28-40,False
202.0,24.0,2.0,3.0,2.0,1.0,1.0,19.0,True,2,True,4,NT-28-40,False
0.0,0.0,93.0,10443.0,22.0,0.0,0.0,1.0,True,3,True,1,NT-30-42,False
226.0,32.0,2.0,3.0,1.0,0.0,0.0,21.0,True,2,True,4,NT-30-42,False
0.0,0.0,92.0,10904.0,23.0,0.0,0.0,0.0,True,3,True,1,NT-32-44,False
224.0,28.0,2.0,4.0,1.0,0.0,0.0,21.0,True,2,True,4,NT-32-44,False
0.0,0.0,101.0,11320.0,22.0,0.0,0.0,0.0,True,3,True,1,NT-34-46,False
125.0,32.0,3.0,3.0,2.0,0.0,1.0,20.0,True,2,True,4,NT-34-46,False
0.0,0.0,94.0,11607.0,23.0,1.0,1.0,1.0,True,3,True,1,NT-36-48,False
122.0,29.0,3.0,3.0,2.0,0.0,1.0,23.0,True,2,True,4,NT-36-48,False
0.0,0.0,111.0,11801.0,22.0,0.0,0.0,1.0,True,3,True,1,NT-38-50,False
278.0,29.0,2.0,3.0,2.0,0.0,1.0,24.0,True,2,True,4,NT-38-50,False
