bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
140.0,154.0,5.0,6.0,4.0,1.0,1.0,15.0,True,2,True,4,26-32,True
0.0,0.0,7.0,10601.0,1.0,0.0,0.0,0.0,True,3,True,1,26-32,True
46.0,52.0,7.0,6.0,5.0,2.0,1.0,19.0,True,2,False,,29-35,True
0.0,10.0,101.0,7045.0,30.0,5.0,12.0,143.0,True,3,False,,29-35,True
66.0,53.0,4.0,5.0,5.0,1.0,1.0,19.0,True,2,False,,32-38,True
0.0,6.0,37.0,6641.0,39.0,1.0,1.0,1.0,True,3,False,,32-38,True
42.0,47.0,6.0,6.0,5.0,2.0,1.0,17.0,True,2,False,,35-41,True
0.0,9.0,79.0,6892.0,56.0,6.0,16.0,84.0,True,3,False,,35-41,True
79.0,43.0,9.0,9.0,4.0,2.0,5.0,16.0,True,2,False,,38-44,True
0.0,9.0,165.0,6381.0,53.0,3.0,1.0,1.0,True,3,False,,38-44,True
46.0,37.0,4.0,308.0,9.0,1.0,3.0,23.0,True,2,False,,41-47,True
0.0,45.0,381.0,6470.0,44.0,119.0,105.0,1.0,True,3,True,1,41-47,True
79.0,799.0,80.0,5.0,1.0,0.0,0.0,20.0,True,2,False,,44-50,True
0.0,37.0,2659.0,4934.0,2.0,0.0,1.0,0.0,True,3,False,,44-50,True
133.0,798.0,45.0,6.0,8.0,1.0,1.0,20.0,True,2,False,,47-53,True
0.0,46.0,583.0,9803.0,3.0,0.0,1.0,1.0,True,3,True,1,47-53,True
80.0,383.0,3.0,7.0,4.0,1.0,1.0,31.0,True,2,True,4,NT-60-30,False
0.0,0.0,21.0,9283.0,1.0,0.0,0.0,0.0,True,3,True,1,NT-60-30,False
364.0,525.0,3.0,6.0,4.0,1.0,1.0,35.0,True,2,True,4,NT-62-32,False
0.0,0.0,20.0,9463.0,1.0,0.0,0.0,0.0,True,3,True,1,NT-62-32,False
147.0,350.0,3.0,7.0,5.0,1.0,1.0,31.0,True,2,True,4,NT-64-34,False
0.0,0.0,27.0,10576.0,2.0,0.0,0.0,0.0,True,3,True,1,NT-64-34,False
200.0,397.0,3.0,7.0,5.0,1.0,1.0,30.0,True,2,True,4,NT-66-36,False
0.0,0.0,23.0,11132.0,1.0,0.0,0.0,0.0,True,3,True,1,NT-66-36,False
204.0,395.0,3.0,6.0,5.0,1.0,1.0,32.0,True,2,True,4,NT-68-38,False
0.0,0.0,29.0,11586.0,1.0,0.0,0.0,0.0,True,3,True,1,NT-68-38,False
230.0,438.0,2.0,6.0,5.0,1.0,1.0,33.0,True,2,True,4,NT-70-40,False
0.0,0.0,24.0,12176.0,2.0,0.0,0.0,0.0,True,3,True,1,NT-70-40,False
