bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
140.0,54.0,7.0,7.0,4.0,1.0,1.0,26.0,True,2,False,,30-43,True
0.0,1.0,139.0,6976.0,2.0,0.0,0.0,0.0,True,3,True,1,30-43,True
102.0,84.0,6.0,6.0,5.0,1.0,1.0,23.0,True,2,False,,32-45,True
0.0,4.0,253.0,8159.0,12.0,0.0,1.0,0.0,True,3,True,1,32-45,True
29.0,64.0,12.0,6.0,5.0,2.0,2.0,17.0,True,2,False,,34-47,True
0.0,6.0,304.0,8042.0,34.0,4.0,0.0,0.0,True,3,True,1,34-47,True
28.0,43.0,38.0,20.0,4.0,2.0,2.0,19.0,True,2,False,,36-49,True
0.0,11.0,339.0,7921.0,8.0,0.0,0.0,1.0,True,3,True,1,36-49,True
31.0,44.0,102.0,1182.0,12.0,1.0,2.0,25.0,True,2,False,,38-51,True
0.0,4.0,743.0,4392.0,6.0,0.0,1.0,0.0,True,3,False,,38-51,True
41.0,39.0,45.0,5478.0,3.0,1.0,1.0,25.0,True,2,True,1,40-53,True
0.0,200.0,3893.0,3507.0,8.0,1.0,1.0,1.0,True,3,False,,40-53,True
55.0,63.0,4210.0,35.0,2.0,1.0,0.0,18.0,True,2,False,,42-55,True
0.0,500.0,410.0,3561.0,21.0,2.0,4.0,1.0,True,3,False,,42-55,True
393.0,62.0,3.0,6.0,4.0,1.0,3.0,33.0,True,2,True,4,NT-60-30,False
0.0,1.0,142.0,7008.0,3.0,0.0,0.0,2.0,True,3,True,1,NT-60-30,False
323.0,40.0,3.0,4.0,4.0,1.0,1.0,37.0,True,2,True,4,NT-62-32,False
0.0,1.0,144.0,6638.0,2.0,0.0,0.0,2.0,True,3,True,1,NT-62-32,False
345.0,46.0,3.0,5.0,4.0,1.0,2.0,38.0,True,2,True,4,NT-64-34,False
0.0,1.0,143.0,7540.0,3.0,0.0,0.0,2.0,True,3,True,1,NT-64-34,False
398.0,47.0,3.0,6.0,4.0,1.0,1.0,34.0,True,2,True,4,NT-66-36,False
0.0,1.0,156.0,7664.0,4.0,0.0,0.0,2.0,True,3,True,1,NT-66-36,False
229.0,40.0,3.0,5.0,4.0,1.0,2.0,38.0,True,2,True,4,NT-68-38,False
0.0,0.0,146.0,8348.0,3.0,0.0,0.0,1.0,True,3,True,1,NT-68-38,False
0.0,0.0,147.0,7439.0,4.0,0.0,0.0,3.0,True,3,True,1,NT-70-40,False
335.0,46.0,3.0,4.0,4.0,1.0,1.0,36.0,True,2,True,4,NT-70-40,False
