bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
888.0,3605.0,3.0,4.0,1.0,1.0,1.0,22.0,True,2,False,,45-52,True
1.0,5.0,355.0,8121.0,20.0,10.0,10.0,2.0,True,3,True,1,45-52,True
972.0,3269.0,99.0,4.0,2.0,1.0,1.0,19.0,True,2,False,,47-54,True
4.0,11.0,391.0,7204.0,37.0,9.0,16.0,25.0,True,3,True,1,47-54,True
959.0,2965.0,631.0,5.0,2.0,1.0,1.0,20.0,True,2,False,,49-56,True
1.0,13.0,406.0,7986.0,33.0,6.0,16.0,4.0,True,3,True,1,49-56,True
814.0,39.0,2714.0,13.0,3.0,1.0,2.0,18.0,True,2,False,,51-58,True
11.0,1.0,380.0,6527.0,39.0,1.0,1.0,28.0,True,3,True,1,51-58,True
965.0,51.0,1461.0,95.0,3.0,1.0,2.0,25.0,True,2,False,,53-60,True
1.0,2.0,407.0,7056.0,13.0,1.0,2.0,3.0,True,3,True,1,53-60,True
856.0,58.0,261.0,350.0,8.0,5.0,10.0,41.0,True,2,False,,55-62,True
1.0,10.0,658.0,7326.0,4.0,0.0,0.0,0.0,True,3,False,,55-62,True
6527.0,44.0,2.0,1.0,1.0,0.0,0.0,17.0,True,2,True,4,NM-44-58,True
0.0,0.0,87.0,12066.0,12.0,2.0,1.0,1.0,True,3,True,1,NM-44-58,True
4852.0,43.0,3.0,5.0,4.0,2.0,3.0,34.0,True,2,True,4,NT-60-25,False
0.0,0.0,23.0,6716.0,10.0,0.0,0.0,0.0,True,3,True,1,NT-60-25,False
4969.0,41.0,2.0,4.0,4.0,1.0,3.0,34.0,True,2,True,4,NT-62-27,False
0.0,0.0,29.0,7071.0,11.0,0.0,1.0,1.0,True,3,True,1,NT-62-27,False
4193.0,48.0,3.0,4.0,3.0,2.0,4.0,39.0,True,2,True,4,NT-64-29,False
0.0,0.0,38.0,7717.0,10.0,0.0,1.0,1.0,True,3,True,1,NT-64-29,False
4861.0,49.0,3.0,4.0,4.0,1.0,2.0,36.0,True,2,True,4,NT-66-31,False
0.0,0.0,40.0,7854.0,9.0,0.0,0.0,1.0,True,3,True,1,NT-66-31,False
4933.0,50.0,3.0,4.0,3.0,2.0,3.0,35.0,True,2,True,4,NT-68-33,False
0.0,0.0,69.0,8800.0,11.0,0.0,1.0,0.0,True,3,True,1,NT-68-33,False
4151.0,45.0,3.0,4.0,4.0,1.0,2.0,39.0,True,2,True,4,NT-70-35,False
0.0,0.0,57.0,9082.0,10.0,0.0,1.0,0.0,True,3,True,1,NT-70-35,False
