bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
43.0,48.0,4.0,7.0,5.0,2.0,1.0,19.0,True,2,False,,30-35,True
0.0,14.0,32.0,4385.0,17.0,8.0,6.0,7.0,True,3,False,,30-35,True
101.0,53.0,4.0,7.0,3.0,1.0,1.0,19.0,True,2,False,,35-40,True
0.0,1.0,28.0,6745.0,15.0,4.0,4.0,1.0,True,3,False,,35-40,True
49.0,59.0,18.0,12.0,5.0,2.0,1.0,15.0,True,2,False,,40-45,True
0.0,16.0,182.0,7493.0,18.0,5.0,11.0,15.0,True,3,True,1,40-45,True
39.0,38.0,6.0,56.0,10.0,2.0,5.0,21.0,True,2,False,,45-50,True
0.0,3.0,311.0,10093.0,23.0,4.0,0.0,0.0,True,3,True,1,45-50,True
51.0,42.0,17.0,735.0,17.0,1.0,3.0,36.0,True,2,False,,50-55,True
0.0,62.0,4576.0,5281.0,7.0,0.0,2.0,48.0,True,3,False,,50-55,True
41.0,43.0,540.0,5379.0,10.0,4.0,4.0,29.0,True,2,True,1,55-60,True
0.0,1962.0,1621.0,5335.0,19.0,1.0,2.0,1.0,True,3,False,,55-60,True
21.0,38.0,3.0,4.0,4.0,1.0,1.0,15.0,True,2,False,,NC-20-25,True
0.0,2.0,16.0,2432.0,12.0,2.0,3.0,10.0,True,3,False,,NC-20-25,True
11.0,42.0,3.0,5.0,6.0,2.0,1.0,16.0,True,2,False,,NC-25-30,True
0.0,2.0,15.0,3101.0,20.0,2.0,2.0,9.0,True,3,False,,NC-25-30,True
131.0,1252.0,2.0,3.0,3.0,1.0,1.0,29.0,True,2,True,4,NT-30-30,False
0.0,0.0,5.0,9130.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-30-30,False
138.0,1492.0,3.0,3.0,4.0,1.0,1.0,22.0,True,2,True,4,NT-32-32,False
0.0,0.0,5.0,9339.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-32-32,False
103.0,1740.0,3.0,3.0,1.0,0.0,0.0,26.0,True,2,True,4,NT-34-34,False
0.0,0.0,2.0,10489.0,6.0,0.0,0.0,0.0,True,3,True,1,NT-34-34,False
144.0,1966.0,2.0,2.0,1.0,0.0,0.0,20.0,True,2,True,4,NT-36-36,False
0.0,0.0,4.0,10809.0,6.0,0.0,0.0,1.0,True,3,True,1,NT-36-36,False
72.0,1403.0,3.0,2.0,1.0,0.0,1.0,29.0,True,2,True,4,NT-38-38,False
0.0,0.0,5.0,11397.0,7.0,0.0,0.0,0.0,True,3,True,1,NT-38-38,False
0.0,0.0,6.0,10423.0,6.0,1.0,0.0,1.0,True,3,True,1,NT-40-40,False
327.0,26.0,2.0,5.0,3.0,1.0,1.0,30.0,True,2,True,4,NT-40-40,False
