"",index,bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0,0,14.0,148.0,9.0,12.0,25.0,4.0,2.0,14.0,True,2,False,NaN,30-40,True
1,1,1.0,4.0,26.0,374.0,16823.0,25.0,14.0,57.0,True,4,False,NaN,30-40,True
2,2,40.0,154.0,13.0,14.0,22.0,4.0,2.0,15.0,True,2,False,NaN,32-42,True
3,3,63.0,133.0,12.0,20.0,27.0,5.0,2.0,16.0,True,2,False,NaN,34-44,True
4,4,34.0,141.0,9.0,50.0,47.0,13.0,4.0,14.0,True,2,False,NaN,36-46,True
5,5,0.0,57.0,84.0,212.0,11606.0,98.0,44.0,138.0,True,4,False,NaN,36-46,True
6,6,60.0,155.0,9.0,29.0,22.0,2.0,1.0,15.0,True,2,False,NaN,38-48,True
7,7,26.0,157.0,13.0,61.0,27.0,1.0,1.0,15.0,True,2,False,NaN,40-50,True
8,8,34.0,1756.0,14.0,7.0,3.0,1.0,1.0,11.0,True,2,False,NaN,NT-28-45,False
9,9,75.0,3442.0,11.0,8.0,2.0,1.0,1.0,14.0,True,2,True,4.0,NT-35-45,False
10,10,0.0,0.0,0.0,11104.0,16312.0,1.0,0.0,0.0,True,4,True,1.0,NT-35-45,False
11,11,50.0,3468.0,6.0,7.0,1.0,0.0,1.0,15.0,True,2,True,4.0,NT-37-47,False
12,12,0.0,0.0,0.0,8101.0,15436.0,1.0,0.0,1.0,True,4,True,1.0,NT-37-47,False
13,13,93.0,3541.0,7.0,7.0,3.0,1.0,1.0,15.0,True,2,True,4.0,NT-39-49,False
14,14,0.0,0.0,0.0,8350.0,18244.0,2.0,0.0,1.0,True,4,True,1.0,NT-39-49,False
15,15,58.0,3331.0,9.0,7.0,3.0,1.0,0.0,16.0,True,2,True,4.0,NT-41-51,False
16,16,87.0,3403.0,9.0,7.0,3.0,1.0,1.0,15.0,True,2,True,4.0,NT-43-53,False
17,17,112.0,3065.0,9.0,8.0,2.0,1.0,1.0,15.0,True,2,True,4.0,NT-45-55,False
18,0,83.0,272.0,14.0,30.0,29.0,1.0,1.0,12.0,True,2,False,NaN,36-36,True
19,1,1.0,138.0,133.0,265.0,14276.0,43.0,25.0,39.0,True,4,False,NaN,36-36,True
20,2,84.0,283.0,15.0,42.0,9.0,2.0,1.0,12.0,True,2,False,NaN,38-38,True
21,3,52.0,3973.0,8.0,6.0,2.0,1.0,1.0,11.0,True,2,False,NaN,40-35,True
22,4,0.0,0.0,0.0,5248.0,12015.0,0.0,0.0,0.0,True,4,True,1.0,40-35,True
23,5,52.0,310.0,18.0,33.0,16.0,2.0,1.0,12.0,True,2,False,NaN,40-40,True
24,6,40.0,337.0,15.0,100.0,7.0,1.0,1.0,13.0,True,2,False,NaN,42-42,True
25,7,51.0,313.0,23.0,61.0,43.0,2.0,2.0,16.0,True,2,False,NaN,44-44,True
26,8,2.0,224.0,112.0,160.0,14508.0,37.0,20.0,27.0,True,4,False,NaN,44-44,True
27,9,48.0,313.0,98.0,75.0,5.0,1.0,1.0,14.0,True,2,False,NaN,46-46,True
28,10,1.0,114.0,142.0,78.0,12075.0,14.0,29.0,50.0,True,4,False,NaN,46-46,True
29,11,89.0,3300.0,8.0,7.0,1.0,1.0,1.0,15.0,True,2,True,4.0,NT-45-35,False
30,12,0.0,0.0,0.0,6313.0,15077.0,0.0,0.0,0.0,True,4,True,1.0,NT-45-35,False
31,13,73.0,3244.0,8.0,6.0,1.0,1.0,1.0,16.0,True,2,True,4.0,NT-48-35,False
32,14,0.0,0.0,0.0,7018.0,14569.0,1.0,1.0,3.0,True,4,True,1.0,NT-48-35,False
33,15,163.0,3320.0,8.0,6.0,2.0,1.0,1.0,17.0,True,2,True,4.0,NT-51-35,False
34,16,0.0,0.0,0.0,6832.0,14683.0,2.0,1.0,11.0,True,4,True,1.0,NT-51-35,False
35,17,132.0,2814.0,8.0,8.0,3.0,1.0,1.0,16.0,True,2,True,4.0,NT-54-35,False
36,18,0.0,0.0,0.0,7461.0,14296.0,0.0,0.0,1.0,True,4,True,1.0,NT-54-35,False
37,19,86.0,2948.0,9.0,7.0,3.0,1.0,1.0,15.0,True,2,True,4.0,NT-57-35,False
38,20,0.0,0.0,0.0,7293.0,14591.0,0.0,0.0,1.0,True,4,True,1.0,NT-57-35,False
39,21,68.0,3269.0,8.0,7.0,2.0,1.0,1.0,14.0,True,2,True,4.0,NT-57-45,False
40,0,41.0,197.0,18.0,16.0,18.0,4.0,2.0,30.0,True,2,False,NaN,40-25,True
41,1,0.0,496.0,25.0,62.0,9039.0,16.0,5.0,9.0,True,4,False,NaN,40-25,True
42,2,65.0,136.0,21.0,14.0,6.0,3.0,4.0,22.0,True,2,False,NaN,42-27,True
43,3,0.0,427.0,143.0,57.0,9516.0,14.0,6.0,6.0,True,4,False,NaN,42-27,True
44,4,64.0,205.0,11.0,33.0,12.0,7.0,10.0,31.0,True,2,False,NaN,44-29,True
45,5,0.0,399.0,503.0,73.0,9837.0,10.0,9.0,6.0,True,4,False,NaN,44-29,True
46,6,36.0,144.0,9.0,7.0,9.0,6.0,4.0,22.0,True,2,False,NaN,46-31,True
47,7,0.0,25.0,287.0,255.0,9102.0,12.0,66.0,16.0,True,4,False,NaN,46-31,True
48,8,60.0,206.0,39.0,30.0,13.0,7.0,8.0,23.0,True,2,False,NaN,48-33,True
49,9,0.0,51.0,227.0,4916.0,9756.0,23.0,82.0,129.0,True,4,False,NaN,48-33,True
50,10,75.0,150.0,51.0,52.0,9.0,4.0,9.0,20.0,True,2,False,NaN,50-35,True
51,11,5.0,20.0,91.0,2802.0,10862.0,24.0,46.0,161.0,True,4,False,NaN,50-35,True
52,12,123.0,1884.0,3.0,3.0,3.0,1.0,1.0,20.0,True,2,True,4.0,NT-30-40,False
53,13,0.0,0.0,0.0,11508.0,12726.0,3.0,9.0,44.0,True,4,True,1.0,NT-30-40,False
