"",index,bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0,0,88.0,71.0,6.0,17.0,6.0,0.0,3.0,21.0,True,2,False,NaN,37-40,True
1,1,0.0,6.0,6.0,1006.0,10496.0,4.0,5.0,38.0,True,4,False,NaN,37-40,True
2,2,121.0,778.0,90.0,19.0,9.0,1.0,1.0,11.0,True,2,False,NaN,37-42,True
3,3,0.0,4.0,3.0,52.0,9123.0,7.0,4.0,10.0,True,4,False,NaN,37-42,True
4,4,32.0,109.0,49.0,24.0,14.0,14.0,11.0,10.0,True,2,False,NaN,39-44,True
5,5,0.0,6.0,11.0,417.0,6423.0,6.0,7.0,33.0,True,4,False,NaN,39-44,True
6,6,67.0,43.0,9.0,29.0,20.0,4.0,5.0,16.0,True,2,False,NaN,41-46,True
7,7,0.0,53.0,25.0,2334.0,10710.0,48.0,6.0,32.0,True,4,False,NaN,41-46,True
8,8,67.0,29.0,8.0,17.0,59.0,34.0,35.0,22.0,True,2,False,NaN,43-48,True
9,9,2.0,3.0,6.0,1438.0,6379.0,6.0,5.0,42.0,True,4,False,NaN,43-48,True
10,10,123.0,38.0,6.0,108.0,152.0,53.0,15.0,28.0,True,2,False,NaN,45-50,True
11,11,3.0,14.0,66.0,491.0,5283.0,12.0,8.0,34.0,True,4,False,NaN,45-50,True
12,12,138.0,82.0,6.0,4.0,1.0,0.0,0.0,26.0,True,2,True,4.0,NT-35-40,False
13,13,83.0,81.0,2.0,16.0,1.0,0.0,1.0,21.0,True,2,True,4.0,NT-50-40,False
14,14,307.0,60.0,4.0,14.0,2.0,0.0,1.0,20.0,True,2,True,4.0,NT-52-42,False
15,15,233.0,76.0,3.0,4.0,1.0,0.0,1.0,20.0,True,2,True,4.0,NT-54-44,False
16,16,211.0,65.0,4.0,3.0,1.0,0.0,1.0,19.0,True,2,True,4.0,NT-56-48,False
17,17,162.0,63.0,8.0,19.0,3.0,1.0,0.0,22.0,True,2,True,4.0,NT-58-48,False
18,18,213.0,68.0,3.0,4.0,2.0,1.0,2.0,19.0,True,2,True,4.0,NT-60-50,False
19,0,108.0,36.0,7.0,56.0,88.0,32.0,15.0,49.0,True,2,False,NaN,40-40,True
20,1,1.0,100.0,109.0,96.0,3668.0,18.0,30.0,18.0,True,4,False,NaN,40-40,True
21,2,113.0,30.0,10.0,124.0,78.0,4.0,7.0,47.0,True,2,False,NaN,41-43,True
22,3,1.0,44.0,79.0,190.0,4227.0,24.0,20.0,45.0,True,4,False,NaN,41-43,True
23,4,128.0,26.0,9.0,67.0,36.0,3.0,4.0,32.0,True,2,False,NaN,42-46,True
24,5,2.0,58.0,47.0,114.0,1099.0,12.0,21.0,36.0,True,4,False,NaN,42-46,True
25,6,146.0,29.0,17.0,63.0,16.0,3.0,6.0,21.0,True,2,False,NaN,43-49,True
26,7,1.0,41.0,18.0,50.0,993.0,106.0,20.0,9.0,True,4,False,NaN,43-49,True
27,8,71.0,35.0,40.0,110.0,17.0,4.0,13.0,42.0,True,2,False,NaN,44-52,True
28,9,0.0,6.0,2.0,50.0,1559.0,151.0,73.0,41.0,True,4,False,NaN,44-52,True
29,10,205.0,236.0,12.0,6.0,43.0,82.0,13.0,47.0,True,2,False,NaN,45-55,True
30,11,0.0,10.0,12.0,132.0,5462.0,60.0,16.0,49.0,True,4,False,NaN,45-55,True
31,12,152.0,163.0,9.0,5.0,2.0,0.0,1.0,16.0,True,2,True,4.0,NT-30-46,False
32,13,174.0,98.0,10.0,8.0,0.0,0.0,1.0,21.0,True,2,True,4.0,NT-30-48,False
33,14,117.0,133.0,5.0,4.0,1.0,0.0,0.0,17.0,True,2,True,4.0,NT-30-50,False
34,15,188.0,116.0,5.0,4.0,1.0,0.0,0.0,31.0,True,2,True,4.0,NT-35-40,False
35,16,225.0,114.0,5.0,6.0,2.0,0.0,1.0,18.0,True,2,True,4.0,NT-41-36,False
36,17,0.0,0.0,0.0,10746.0,16502.0,0.0,0.0,0.0,True,4,True,1.0,NT-41-36,False
37,18,141.0,149.0,5.0,29.0,2.0,0.0,1.0,20.0,True,2,True,4.0,NT-43-38,False
38,19,0.0,0.0,0.0,11118.0,17233.0,0.0,0.0,0.0,True,4,True,1.0,NT-43-38,False
39,20,296.0,125.0,8.0,7.0,2.0,0.0,1.0,23.0,True,2,True,4.0,NT-45-40,False
