,index,bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0,0,550.0,170.0,8.0,38.0,5.0,2.0,3.0,26.0,True,2,False,NaN,40-30,True
1,1,117.0,32.0,16.0,61.0,1678.0,11.0,6.0,90.0,True,4,False,NaN,40-30,True
2,2,603.0,204.0,6.0,29.0,9.0,2.0,3.0,28.0,True,2,False,NaN,42-32,True
3,3,660.0,115.0,36.0,163.0,11857.0,13.0,13.0,35.0,True,4,False,NaN,42-32,True
4,4,578.0,427.0,4.0,27.0,10.0,3.0,3.0,25.0,True,2,False,NaN,44-34,True
5,5,380.0,352.0,47.0,199.0,12570.0,28.0,9.0,23.0,True,4,False,NaN,44-34,True
6,6,446.0,259.0,5.0,38.0,6.0,3.0,3.0,26.0,True,2,False,NaN,46-36,True
7,7,134.0,439.0,115.0,330.0,9885.0,18.0,13.0,40.0,True,4,False,NaN,46-36,True
8,8,1554.0,733.0,2.0,3.0,4.0,2.0,2.0,23.0,True,2,True,4.0,46-42,True
9,9,561.0,343.0,3.0,6.0,3.0,1.0,1.0,19.0,True,2,False,NaN,48-38,True
10,10,44.0,1889.0,565.0,460.0,15433.0,0.0,0.0,1.0,True,4,False,NaN,48-38,True
11,11,724.0,334.0,3.0,8.0,5.0,1.0,2.0,21.0,True,2,False,NaN,50-40,True
12,12,4.0,12.0,1379.0,1788.0,14501.0,1.0,1.0,2.0,True,4,False,NaN,50-40,True
13,13,1102.0,492.0,4.0,3.0,3.0,2.0,2.0,18.0,True,2,True,4.0,NT-26-36,False
14,14,1117.0,537.0,3.0,4.0,3.0,1.0,2.0,20.0,True,2,True,4.0,NT-28-38,False
15,15,1257.0,518.0,3.0,4.0,4.0,2.0,2.0,19.0,True,2,True,4.0,NT-30-40,False
16,16,1311.0,635.0,3.0,4.0,3.0,1.0,2.0,18.0,True,2,True,4.0,NT-32-42,False
17,17,1211.0,613.0,2.0,3.0,4.0,2.0,2.0,20.0,True,2,True,4.0,NT-34-44,False
18,18,1361.0,604.0,2.0,4.0,4.0,1.0,2.0,19.0,True,2,True,4.0,NT-36-46,False
19,0,744.0,610.0,27.0,7.0,5.0,2.0,2.0,24.0,True,2,False,NaN,40-30,True
20,1,767.0,38.0,11.0,20.0,6301.0,123.0,29.0,218.0,True,4,False,NaN,40-30,True
21,2,702.0,679.0,22.0,4.0,4.0,2.0,2.0,19.0,True,2,False,NaN,42-32,True
22,3,764.0,67.0,23.0,31.0,15088.0,156.0,106.0,90.0,True,4,False,NaN,42-32,True
23,4,715.0,369.0,24.0,9.0,4.0,1.0,1.0,18.0,True,2,False,NaN,44-34,True
24,5,598.0,362.0,15.0,16.0,4.0,2.0,2.0,18.0,True,2,False,NaN,46-36,True
25,6,2134.0,364.0,44.0,107.0,13707.0,106.0,30.0,70.0,True,4,False,NaN,46-36,True
26,7,608.0,444.0,11.0,5.0,5.0,2.0,2.0,21.0,True,2,False,NaN,48-38,True
27,8,364.0,1933.0,112.0,93.0,17301.0,124.0,22.0,86.0,True,4,False,NaN,48-38,True
28,9,633.0,483.0,30.0,5.0,5.0,2.0,2.0,19.0,True,2,False,NaN,50-40,True
29,10,1270.0,378.0,4.0,3.0,3.0,1.0,2.0,19.0,True,2,True,4.0,NT-2,False
30,11,5.0,0.0,1.0,11066.0,18426.0,1.0,0.0,2.0,True,4,True,1.0,NT-2,False
31,12,724.0,290.0,3.0,3.0,3.0,1.0,1.0,16.0,True,2,True,4.0,NT-20-36,False
32,13,0.0,0.0,0.0,10813.0,16923.0,5.0,0.0,0.0,True,4,True,1.0,NT-20-36,False
33,14,1513.0,351.0,4.0,4.0,3.0,1.0,2.0,16.0,True,2,True,4.0,NT-3,False
34,15,0.0,0.0,1.0,11070.0,18127.0,9.0,1.0,1.0,True,4,True,1.0,NT-3,False
35,16,1364.0,440.0,3.0,4.0,3.0,1.0,2.0,19.0,True,2,True,4.0,NT-33-50,False
36,17,1326.0,435.0,3.0,4.0,3.0,1.0,1.0,20.0,True,2,True,4.0,NT-36-50,False
37,18,1071.0,297.0,3.0,4.0,3.0,1.0,2.0,16.0,True,2,True,4.0,NT-4,False
38,19,0.0,5.0,1.0,10427.0,17562.0,8.0,0.0,1.0,True,4,True,1.0,NT-4,False
39,20,780.0,258.0,4.0,3.0,3.0,1.0,1.0,14.0,True,2,True,4.0,NT-5,False
40,21,0.0,0.0,0.0,10670.0,15554.0,17.0,2.0,1.0,True,4,True,1.0,NT-5,False
41,0,726.0,332.0,4.0,24.0,4.0,2.0,2.0,22.0,True,2,False,NaN,40-30,True
42,1,295.0,278.0,32.0,80.0,13309.0,23.0,15.0,65.0,True,4,False,NaN,40-30,True
43,2,672.0,268.0,12.0,39.0,6.0,2.0,2.0,19.0,True,2,False,NaN,42-32,True
44,3,737.0,283.0,8.0,9.0,5.0,2.0,2.0,20.0,True,2,False,NaN,44-34,True
45,4,213.0,1037.0,98.0,206.0,14801.0,59.0,15.0,12.0,True,4,False,NaN,44-34,True
46,5,581.0,161.0,10.0,50.0,5.0,2.0,2.0,24.0,True,2,False,NaN,46-36,True
47,6,27.0,1015.0,427.0,178.0,15060.0,46.0,25.0,37.0,True,4,False,NaN,46-36,True
48,7,592.0,307.0,6.0,15.0,5.0,2.0,2.0,21.0,True,2,False,NaN,48-38,True
49,8,5.0,65.0,2023.0,268.0,13654.0,32.0,22.0,35.0,True,4,False,NaN,48-38,True
50,9,612.0,280.0,24.0,8.0,5.0,3.0,3.0,20.0,True,2,False,NaN,50-40,True
51,10,7.0,29.0,178.0,3510.0,13009.0,7.0,38.0,72.0,True,4,False,NaN,50-40,True
52,11,1488.0,500.0,3.0,4.0,4.0,1.0,2.0,19.0,True,2,True,4.0,NT-2,False
53,12,1114.0,413.0,3.0,3.0,3.0,2.0,2.0,20.0,True,2,True,4.0,NT-26-40,False
54,13,1561.0,491.0,3.0,4.0,3.0,2.0,1.0,22.0,True,2,True,4.0,NT-3,False
55,14,1667.0,491.0,2.0,4.0,3.0,2.0,2.0,19.0,True,2,True,4.0,NT-36-50,False
56,15,1480.0,584.0,2.0,4.0,4.0,1.0,2.0,19.0,True,2,True,4.0,NT-38-42,False
57,16,0.0,0.0,0.0,9043.0,16147.0,4.0,0.0,1.0,True,4,True,1.0,NT-38-42,False
58,17,1462.0,546.0,3.0,4.0,4.0,1.0,2.0,19.0,True,2,True,4.0,NT-4,False
59,18,1326.0,439.0,3.0,4.0,3.0,1.0,2.0,19.0,True,2,True,4.0,NT-5,False
60,0,540.0,1370.0,4.0,3.0,3.0,1.0,2.0,21.0,True,2,False,NaN,42-20,True
61,1,42.0,215.0,26.0,27.0,7610.0,190.0,29.0,18.0,True,4,False,NaN,42-20,True
62,2,539.0,2055.0,4.0,4.0,4.0,2.0,2.0,19.0,True,2,False,NaN,44-20,True
63,3,30.0,144.0,22.0,19.0,7619.0,104.0,21.0,13.0,True,4,False,NaN,44-20,True
64,4,269.0,1513.0,59.0,4.0,4.0,2.0,2.0,19.0,True,2,False,NaN,46-22,True
65,5,184.0,23.0,3.0,25.0,7586.0,4.0,3.0,11.0,True,4,False,NaN,46-22,True
66,6,464.0,846.0,47.0,56.0,5.0,3.0,2.0,26.0,True,2,False,NaN,48-24,True
67,7,1190.0,169.0,7.0,54.0,8662.0,6.0,5.0,4.0,True,4,False,NaN,48-24,True
68,8,329.0,374.0,88.0,68.0,4.0,2.0,2.0,21.0,True,2,False,NaN,50-26,True
69,9,25.0,1096.0,190.0,102.0,9000.0,2.0,2.0,5.0,True,4,False,NaN,50-26,True
70,10,547.0,954.0,108.0,4.0,3.0,1.0,2.0,19.0,True,2,False,NaN,52-28,True
71,11,30.0,1362.0,900.0,147.0,9902.0,0.0,0.0,3.0,True,4,False,NaN,52-28,True
72,12,1668.0,416.0,3.0,3.0,4.0,1.0,2.0,16.0,True,2,True,4.0,NT-2,False
73,13,1300.0,283.0,3.0,3.0,4.0,2.0,1.0,16.0,True,2,True,4.0,NT-22-40,False
74,14,1406.0,381.0,2.0,3.0,3.0,1.0,2.0,18.0,True,2,True,4.0,NT-3,False
75,15,1314.0,477.0,2.0,3.0,3.0,1.0,2.0,18.0,True,2,True,4.0,NT-32-50,False
76,16,1543.0,390.0,4.0,3.0,2.0,1.0,1.0,16.0,True,2,True,4.0,NT-4,False
77,17,709.0,2294.0,4.0,3.0,4.0,2.0,2.0,19.0,True,2,False,NaN,NT-42-18,False
78,18,15.0,26.0,15.0,46.0,7063.0,38.0,25.0,45.0,True,4,False,NaN,NT-42-18,False
79,19,1525.0,375.0,3.0,3.0,3.0,1.0,2.0,15.0,True,2,True,4.0,NT-5,False
80,0,1109.0,588.0,4.0,4.0,4.0,2.0,2.0,18.0,True,2,False,NaN,40-30,True
81,1,13.0,20.0,9.0,157.0,8900.0,16.0,8.0,19.0,True,4,False,NaN,40-30,True
82,2,595.0,506.0,16.0,13.0,5.0,2.0,2.0,22.0,True,2,False,NaN,42-32,True
83,3,894.0,35.0,3.0,12.0,11553.0,13.0,5.0,98.0,True,4,False,NaN,42-32,True
84,4,722.0,520.0,70.0,25.0,4.0,2.0,1.0,18.0,True,2,False,NaN,44-34,True
85,5,1360.0,123.0,12.0,44.0,13444.0,18.0,10.0,49.0,True,4,False,NaN,44-34,True
86,6,582.0,218.0,12.0,31.0,5.0,2.0,2.0,19.0,True,2,False,NaN,46-36,True
87,7,638.0,113.0,24.0,34.0,10817.0,35.0,12.0,41.0,True,4,False,NaN,46-36,True
88,8,610.0,182.0,16.0,21.0,4.0,2.0,2.0,19.0,True,2,False,NaN,48-38,True
89,9,1124.0,602.0,44.0,63.0,12956.0,35.0,29.0,68.0,True,4,False,NaN,48-38,True
90,10,568.0,325.0,59.0,77.0,5.0,2.0,2.0,21.0,True,2,False,NaN,50-40,True
91,11,176.0,2185.0,101.0,134.0,13243.0,22.0,13.0,22.0,True,4,False,NaN,50-40,True
92,12,1186.0,517.0,3.0,4.0,3.0,1.0,2.0,20.0,True,2,True,4.0,NT-1,False
93,13,1137.0,472.0,3.0,3.0,3.0,2.0,1.0,19.0,True,2,True,4.0,NT-2,False
94,14,840.0,278.0,4.0,3.0,3.0,1.0,1.0,16.0,True,2,True,4.0,NT-20-38,False
95,15,1.0,0.0,0.0,10051.0,13569.0,0.0,0.0,0.0,True,4,True,1.0,NT-20-38,False
96,16,985.0,376.0,3.0,3.0,3.0,1.0,1.0,19.0,True,2,True,4.0,NT-3,False
97,17,1256.0,533.0,2.0,4.0,4.0,1.0,2.0,19.0,True,2,True,4.0,NT-30-48,False
98,18,0.0,0.0,0.0,9463.0,14009.0,5.0,0.0,1.0,True,4,True,1.0,NT-30-48,False
99,19,1436.0,617.0,2.0,4.0,5.0,2.0,1.0,19.0,True,2,True,4.0,NT-36-48,False
100,20,0.0,0.0,0.0,9453.0,14682.0,3.0,1.0,3.0,True,4,True,1.0,NT-36-48,False
101,21,814.0,309.0,3.0,4.0,3.0,1.0,2.0,18.0,True,2,True,4.0,NT-4,False
