,index,bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0,0,1098.0,31.0,5.0,9.0,10.0,3.0,1.0,22.0,True,2,False,NaN,42-21,True
1,1,303.0,10.0,4.0,50.0,7462.0,3.0,1.0,10.0,True,4,False,NaN,42-21,True
2,2,1314.0,41.0,7.0,5.0,7.0,5.0,3.0,23.0,True,2,False,NaN,44-22,True
3,3,377.0,12.0,5.0,45.0,7299.0,3.0,0.0,20.0,True,4,False,NaN,44-22,True
4,4,1112.0,40.0,6.0,6.0,17.0,12.0,8.0,23.0,True,2,False,NaN,46-23,True
5,5,309.0,14.0,6.0,63.0,6692.0,4.0,2.0,25.0,True,4,False,NaN,46-23,True
6,6,938.0,81.0,8.0,5.0,6.0,13.0,6.0,20.0,True,2,False,NaN,48-24,True
7,7,644.0,16.0,9.0,67.0,6490.0,3.0,1.0,24.0,True,4,False,NaN,48-24,True
8,8,1069.0,41.0,2.0,3.0,4.0,8.0,9.0,22.0,True,2,False,NaN,50-25,True
9,9,588.0,34.0,12.0,68.0,7093.0,3.0,3.0,25.0,True,4,False,NaN,50-25,True
10,10,550.0,57.0,3.0,4.0,12.0,24.0,20.0,19.0,True,2,False,NaN,52-26,True
11,11,607.0,68.0,19.0,45.0,6203.0,4.0,2.0,21.0,True,4,False,NaN,52-26,True
12,12,1490.0,50.0,2.0,3.0,1.0,0.0,1.0,18.0,True,2,True,4.0,NT-25-50,False
13,13,1530.0,52.0,2.0,3.0,1.0,0.0,0.0,17.0,True,2,True,4.0,NT-27-50,False
14,14,2220.0,57.0,2.0,2.0,1.0,0.0,0.0,21.0,True,2,True,4.0,NT-29-50,False
15,15,2316.0,47.0,2.0,3.0,1.0,0.0,0.0,19.0,True,2,True,4.0,NT-31-50,False
16,16,2310.0,49.0,3.0,3.0,1.0,0.0,0.0,21.0,True,2,True,4.0,NT-33-50,False
17,17,2934.0,51.0,2.0,4.0,1.0,0.0,0.0,20.0,True,2,True,4.0,NT-35-50,False
18,18,2509.0,54.0,16.0,3.0,3.0,0.0,1.0,24.0,True,2,True,4.0,NT-50-35,False
19,19,1.0,0.0,0.0,11036.0,16956.0,0.0,0.0,1.0,True,4,True,1.0,NT-50-35,False
20,0,747.0,50.0,6.0,5.0,1.0,0.0,1.0,21.0,True,2,False,NaN,42-21,True
21,1,219.0,18.0,8.0,78.0,8443.0,17.0,12.0,190.0,True,4,False,NaN,42-21,True
22,2,667.0,50.0,30.0,14.0,3.0,5.0,6.0,20.0,True,2,False,NaN,44-22,True
23,3,256.0,30.0,7.0,22.0,8878.0,14.0,7.0,22.0,True,4,False,NaN,44-22,True
24,4,595.0,57.0,64.0,11.0,18.0,16.0,7.0,21.0,True,2,False,NaN,46-23,True
25,5,179.0,173.0,15.0,36.0,8550.0,9.0,5.0,18.0,True,4,False,NaN,46-23,True
26,6,693.0,37.0,63.0,12.0,5.0,1.0,3.0,20.0,True,2,False,NaN,48-24,True
27,7,52.0,486.0,30.0,64.0,8556.0,13.0,8.0,11.0,True,4,False,NaN,48-24,True
28,8,1321.0,78.0,8.0,9.0,6.0,3.0,3.0,21.0,True,2,False,NaN,50-25,True
29,9,52.0,1356.0,77.0,51.0,8313.0,10.0,1.0,21.0,True,4,False,NaN,50-25,True
30,10,1281.0,166.0,9.0,15.0,15.0,4.0,3.0,22.0,True,2,False,NaN,52-26,True
31,11,46.0,411.0,618.0,98.0,7861.0,12.0,2.0,35.0,True,4,False,NaN,52-26,True
32,12,2164.0,60.0,2.0,3.0,1.0,0.0,0.0,19.0,True,2,True,4.0,NT-29-32,False
33,13,0.0,0.0,0.0,9827.0,15447.0,0.0,0.0,0.0,True,4,True,1.0,NT-29-32,False
34,14,2437.0,56.0,3.0,2.0,1.0,0.0,0.0,21.0,True,2,True,4.0,NT-30-34,False
35,15,0.0,0.0,0.0,10623.0,16488.0,0.0,0.0,0.0,True,4,True,1.0,NT-30-34,False
36,16,2226.0,60.0,2.0,3.0,1.0,0.0,0.0,18.0,True,2,True,4.0,NT-31-36,False
37,17,0.0,0.0,0.0,10298.0,16424.0,0.0,0.0,0.0,True,4,True,1.0,NT-31-36,False
38,18,2194.0,45.0,3.0,3.0,1.0,0.0,0.0,20.0,True,2,True,4.0,NT-32-38,False
39,19,0.0,0.0,0.0,10610.0,17370.0,0.0,0.0,0.0,True,4,True,1.0,NT-32-38,False
40,20,2403.0,48.0,2.0,3.0,1.0,0.0,0.0,21.0,True,2,True,4.0,NT-33-40,False
41,21,0.0,0.0,0.0,11011.0,16360.0,0.0,0.0,0.0,True,4,True,1.0,NT-33-40,False
42,22,2357.0,46.0,3.0,4.0,1.0,0.0,0.0,19.0,True,2,True,4.0,NT-34-42,False
43,23,0.0,0.0,0.0,11306.0,16973.0,0.0,0.0,1.0,True,4,True,1.0,NT-34-42,False
44,24,4585.0,15.0,1.0,2.0,0.0,0.0,0.0,18.0,True,2,True,4.0,NT-44-40,False
45,25,0.0,0.0,0.0,8681.0,13696.0,0.0,0.0,0.0,True,4,True,1.0,NT-44-40,False
46,0,639.0,42.0,8.0,7.0,5.0,1.0,1.0,18.0,True,2,False,NaN,42-21,True
47,1,226.0,18.0,7.0,30.0,9014.0,4.0,2.0,45.0,True,4,False,NaN,42-21,True
48,2,905.0,48.0,15.0,11.0,3.0,10.0,5.0,20.0,True,2,False,NaN,44-22,True
49,3,565.0,13.0,4.0,28.0,9254.0,3.0,1.0,9.0,True,4,False,NaN,44-22,True
