"",bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0,92.0,226.0,7.0,4.0,4.0,2.0,1.0,12.0,True,2,True,4.0,43-28,True
1,0.0,1.0,1.0,363.0,8587.0,3.0,2.0,8.0,True,4,True,1.0,43-28,True
2,74.0,107.0,5.0,5.0,5.0,2.0,1.0,13.0,True,2,False,NaN,45-28,True
3,148.0,5.0,3.0,30.0,6945.0,2.0,1.0,8.0,True,4,False,NaN,45-28,True
4,124.0,151.0,4.0,5.0,4.0,2.0,1.0,11.0,True,2,False,NaN,47-28,True
5,64.0,7.0,4.0,53.0,7728.0,2.0,0.0,31.0,True,4,False,NaN,47-28,True
6,77.0,150.0,4.0,5.0,6.0,2.0,1.0,12.0,True,2,False,NaN,49-28,True
7,112.0,6.0,4.0,27.0,8265.0,0.0,0.0,44.0,True,4,False,NaN,49-28,True
8,70.0,172.0,4.0,5.0,8.0,2.0,1.0,13.0,True,2,False,NaN,51-28,True
9,17.0,12.0,7.0,43.0,7239.0,3.0,2.0,114.0,True,4,False,NaN,51-28,True
10,115.0,168.0,4.0,6.0,5.0,2.0,1.0,13.0,True,2,False,NaN,53-28,True
11,86.0,7.0,6.0,40.0,8258.0,2.0,2.0,148.0,True,4,False,NaN,53-28,True
12,76.0,176.0,5.0,6.0,5.0,3.0,1.0,15.0,True,2,False,NaN,55-25,True
13,141.0,26.0,17.0,33.0,7822.0,3.0,1.0,306.0,True,4,False,NaN,55-25,True
14,200.0,92.0,3.0,5.0,4.0,2.0,1.0,11.0,True,2,True,4.0,NT-1,False
15,143.0,147.0,4.0,4.0,3.0,1.0,1.0,12.0,True,2,True,4.0,NT-2,False
16,112.0,145.0,4.0,5.0,3.0,1.0,0.0,15.0,True,2,True,4.0,NT-28-40,False
17,168.0,161.0,4.0,4.0,3.0,1.0,0.0,12.0,True,2,True,4.0,NT-3,False
18,224.0,126.0,4.0,5.0,5.0,2.0,1.0,11.0,True,2,True,4.0,NT-38-50,False
19,125.0,157.0,4.0,4.0,2.0,1.0,0.0,13.0,True,2,True,4.0,NT-4,False
20,16.0,352.0,21.0,8.0,5.0,3.0,1.0,12.0,True,2,False,NaN,43-28,True
21,0.0,132.0,429.0,551.0,8927.0,31.0,4.0,22.0,True,4,False,NaN,43-28,True
22,21.0,342.0,15.0,6.0,5.0,2.0,1.0,13.0,True,2,False,NaN,45-28,True
23,1.0,72.0,1157.0,1754.0,9892.0,10.0,12.0,55.0,True,4,False,NaN,45-28,True
24,32.0,310.0,48.0,6.0,6.0,3.0,1.0,12.0,True,2,False,NaN,47-28,True
25,0.0,141.0,3852.0,1105.0,10886.0,37.0,35.0,237.0,True,4,False,NaN,47-28,True
26,32.0,317.0,27.0,8.0,5.0,3.0,1.0,12.0,True,2,False,NaN,49-28,True
27,0.0,286.0,3543.0,255.0,11124.0,76.0,112.0,81.0,True,4,False,NaN,49-28,True
28,66.0,492.0,21.0,7.0,5.0,3.0,1.0,14.0,True,2,False,NaN,51-28,True
29,0.0,476.0,4140.0,290.0,12052.0,46.0,120.0,6.0,True,4,False,NaN,51-28,True
30,48.0,917.0,33.0,6.0,3.0,2.0,1.0,11.0,True,2,False,NaN,53-28,True
31,1.0,372.0,4262.0,693.0,12139.0,82.0,100.0,34.0,True,4,False,NaN,53-28,True
32,80.0,92.0,5.0,4.0,3.0,1.0,1.0,21.0,True,2,True,4.0,NT-1,False
33,63.0,82.0,3.0,3.0,2.0,1.0,1.0,15.0,True,2,True,4.0,NT-18-35,False
34,0.0,0.0,0.0,10396.0,16861.0,7.0,0.0,1.0,True,4,True,1.0,NT-18-35,False
35,52.0,101.0,4.0,4.0,3.0,1.0,1.0,20.0,True,2,True,4.0,NT-2,False
36,96.0,128.0,6.0,3.0,3.0,1.0,1.0,22.0,True,2,True,4.0,NT-28-45,False
37,59.0,104.0,3.0,3.0,3.0,1.0,1.0,19.0,True,2,True,4.0,NT-3,False
38,0.0,0.0,0.0,10487.0,16024.0,2.0,0.0,1.0,True,4,True,1.0,NT-3,False
39,58.0,112.0,3.0,4.0,2.0,1.0,1.0,18.0,True,2,True,4.0,NT-4,False
40,0.0,0.0,0.0,10241.0,17625.0,7.0,5.0,0.0,True,4,True,1.0,NT-4,False
41,185.0,142.0,5.0,6.0,4.0,2.0,1.0,12.0,True,2,True,4.0,NT-43-31,False
42,0.0,0.0,0.0,7300.0,12050.0,1.0,0.0,2.0,True,4,True,1.0,NT-43-31,False
43,88.0,585.0,5.0,4.0,1.0,1.0,1.0,15.0,True,2,True,4.0,32-45,True
44,51.0,147.0,13.0,25.0,5.0,1.0,2.0,20.0,True,2,False,NaN,35-30,True
45,2.0,10.0,8.0,51.0,13305.0,20.0,8.0,331.0,True,4,False,NaN,35-30,True
46,30.0,174.0,18.0,40.0,5.0,2.0,2.0,18.0,True,2,False,NaN,45-40,True
47,2.0,9.0,13.0,36.0,13959.0,21.0,24.0,1079.0,True,4,False,NaN,45-40,True
48,49.0,113.0,16.0,56.0,22.0,2.0,3.0,23.0,True,2,False,NaN,crash-1,True
49,11.0,38.0,11.0,78.0,14057.0,23.0,27.0,148.0,True,4,False,NaN,crash-1,True
50,38.0,116.0,10.0,45.0,9.0,2.0,3.0,20.0,True,2,False,NaN,crash-2,True
51,18.0,11.0,7.0,62.0,14278.0,8.0,5.0,91.0,True,4,False,NaN,crash-2,True
52,36.0,103.0,17.0,40.0,30.0,4.0,8.0,27.0,True,2,False,NaN,crash-3,True
53,2.0,33.0,16.0,67.0,12156.0,30.0,38.0,139.0,True,4,False,NaN,crash-3,True
54,59.0,150.0,17.0,33.0,5.0,2.0,2.0,18.0,True,2,False,NaN,crash-4,True
55,2.0,16.0,9.0,90.0,13027.0,57.0,21.0,183.0,True,4,False,NaN,crash-4,True
56,121.0,685.0,5.0,4.0,3.0,1.0,1.0,15.0,True,2,True,4.0,NT-1,False
57,0.0,0.0,0.0,10915.0,12705.0,1.0,0.0,2.0,True,4,True,1.0,NT-1,False
58,44.0,1399.0,6.0,4.0,3.0,1.0,1.0,17.0,True,2,True,4.0,NT-2,False
59,0.0,0.0,0.0,10794.0,12532.0,1.0,0.0,2.0,True,4,True,1.0,NT-2,False
60,106.0,945.0,7.0,4.0,3.0,1.0,1.0,16.0,True,2,True,4.0,NT-3,False
61,0.0,0.0,0.0,10506.0,12286.0,0.0,0.0,1.0,True,4,True,1.0,NT-3,False
62,137.0,749.0,6.0,4.0,3.0,1.0,1.0,16.0,True,2,True,4.0,NT-4,False
63,0.0,0.0,0.0,10554.0,12204.0,0.0,0.0,2.0,True,4,True,1.0,NT-4,False
64,69.0,582.0,5.0,5.0,3.0,1.0,1.0,16.0,True,2,True,4.0,NT-45-30,False
65,0.0,0.0,0.0,10809.0,12148.0,1.0,0.0,1.0,True,4,True,1.0,NT-45-30,False
66,42.0,738.0,7.0,5.0,3.0,1.0,1.0,16.0,True,2,True,4.0,NT-55-30,False
67,0.0,0.0,0.0,10677.0,12931.0,0.0,0.0,3.0,True,4,True,1.0,NT-55-30,False
68,79.0,150.0,8.0,23.0,6.0,2.0,1.0,17.0,True,2,False,NaN,35-30,True
69,25.0,147.0,14.0,42.0,7.0,2.0,1.0,17.0,True,2,False,NaN,37-32,True
70,34.0,128.0,15.0,31.0,6.0,2.0,1.0,20.0,True,2,False,NaN,39-34,True
71,47.0,118.0,9.0,44.0,17.0,3.0,4.0,27.0,True,2,False,NaN,41-36,True
72,2.0,201.0,77.0,105.0,11167.0,46.0,60.0,140.0,True,4,False,NaN,41-36,True
73,65.0,176.0,11.0,115.0,61.0,9.0,9.0,21.0,True,2,False,NaN,43-38,True
74,7.0,410.0,36.0,53.0,11977.0,30.0,27.0,37.0,True,4,False,NaN,43-38,True
75,11.0,164.0,28.0,98.0,33.0,3.0,9.0,31.0,True,2,False,NaN,45-40,True
76,6.0,617.0,46.0,72.0,12244.0,29.0,28.0,13.0,True,4,False,NaN,45-40,True
77,126.0,148.0,4.0,4.0,3.0,1.0,1.0,12.0,True,2,True,4.0,NT-1,False
78,0.0,0.0,1.0,7685.0,12231.0,1.0,0.0,8.0,True,4,True,1.0,NT-1,False
79,309.0,126.0,4.0,4.0,4.0,1.0,1.0,13.0,True,2,True,4.0,NT-2,False
80,0.0,0.0,0.0,8428.0,11858.0,0.0,0.0,4.0,True,4,True,1.0,NT-2,False
81,117.0,117.0,4.0,5.0,4.0,2.0,1.0,13.0,True,2,False,NaN,NT-3,False
82,0.0,0.0,1.0,8511.0,13104.0,1.0,1.0,5.0,True,4,True,1.0,NT-3,False
83,188.0,152.0,5.0,4.0,3.0,1.0,1.0,13.0,True,2,True,4.0,NT-4,False
84,235.0,156.0,5.0,5.0,3.0,1.0,1.0,12.0,True,2,True,4.0,NT-5,False
85,188.0,162.0,5.0,4.0,4.0,2.0,1.0,13.0,True,2,True,4.0,NT-6,False
86,136.0,163.0,5.0,4.0,3.0,1.0,1.0,14.0,True,2,True,4.0,NT-7,False
87,40.0,128.0,13.0,49.0,5.0,2.0,1.0,21.0,True,2,False,NaN,35-30,True
88,26.0,67.0,28.0,97.0,5995.0,20.0,18.0,53.0,True,4,False,NaN,35-30,True
89,35.0,176.0,15.0,13.0,5.0,2.0,1.0,21.0,True,2,False,NaN,37-32,True
90,17.0,201.0,25.0,52.0,11616.0,85.0,12.0,43.0,True,4,False,NaN,37-32,True
91,49.0,136.0,17.0,41.0,5.0,2.0,1.0,22.0,True,2,False,NaN,39-34,True
92,37.0,156.0,27.0,52.0,13075.0,38.0,9.0,28.0,True,4,False,NaN,39-34,True
93,40.0,180.0,11.0,38.0,6.0,2.0,1.0,17.0,True,2,False,NaN,41-36,True
94,56.0,221.0,20.0,66.0,12128.0,70.0,11.0,34.0,True,4,False,NaN,41-36,True
95,24.0,169.0,10.0,21.0,6.0,2.0,1.0,23.0,True,2,False,NaN,43-38,True
96,52.0,206.0,48.0,42.0,7726.0,32.0,53.0,93.0,True,4,False,NaN,43-38,True
97,34.0,263.0,11.0,40.0,5.0,2.0,1.0,15.0,True,2,False,NaN,45-40,True
98,79.0,177.0,24.0,75.0,10831.0,12.0,23.0,69.0,True,4,False,NaN,45-40,True
99,256.0,230.0,5.0,5.0,5.0,2.0,1.0,15.0,True,2,True,4.0,NT-1,False
100,0.0,0.0,0.0,8355.0,11395.0,0.0,0.0,0.0,True,4,True,1.0,NT-1,False
101,235.0,239.0,5.0,5.0,4.0,2.0,1.0,16.0,True,2,True,4.0,NT-2,False
102,0.0,1.0,0.0,8182.0,11855.0,0.0,0.0,0.0,True,4,True,1.0,NT-2,False
103,218.0,227.0,6.0,5.0,4.0,2.0,1.0,14.0,True,2,True,4.0,NT-3,False
104,0.0,0.0,0.0,8215.0,11099.0,0.0,0.0,0.0,True,4,True,1.0,NT-3,False
105,161.0,172.0,4.0,4.0,3.0,1.0,0.0,13.0,True,2,True,4.0,NT-31-40,False
106,224.0,248.0,5.0,4.0,4.0,2.0,1.0,16.0,True,2,True,4.0,NT-4,False
107,0.0,3.0,0.0,8457.0,11156.0,0.0,0.0,0.0,True,4,True,1.0,NT-4,False
108,198.0,221.0,5.0,4.0,5.0,2.0,1.0,14.0,True,2,True,4.0,NT-45-28,False
109,0.0,0.0,0.0,8461.0,11645.0,0.0,0.0,0.0,True,4,True,1.0,NT-45-28,False
110,154.0,254.0,5.0,4.0,5.0,2.0,1.0,14.0,True,2,True,4.0,NT-55-28,False
111,0.0,1.0,0.0,8313.0,11442.0,0.0,0.0,0.0,True,4,True,1.0,NT-55-28,False
