bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
88.0,36.0,9.0,45.0,137.0,7.0,3.0,19.0,True,2,False,,35-35,True
0.0,19.0,9.0,946.0,11186.0,19.0,3.0,8.0,True,4,False,,35-35,True
108.0,43.0,6.0,48.0,141.0,21.0,4.0,22.0,True,2,False,,36-37,True
0.0,6.0,6.0,944.0,9835.0,9.0,3.0,11.0,True,4,False,,36-37,True
62.0,42.0,5.0,54.0,159.0,19.0,7.0,27.0,True,2,False,,37-39,True
2.0,9.0,11.0,859.0,6645.0,17.0,7.0,16.0,True,4,False,,37-39,True
125.0,27.0,13.0,60.0,101.0,28.0,19.0,46.0,True,2,False,,38-41,True
2.0,8.0,11.0,482.0,1482.0,14.0,7.0,41.0,True,4,False,,38-41,True
114.0,34.0,7.0,68.0,113.0,6.0,7.0,33.0,True,2,False,,39-43,True
1.0,21.0,14.0,314.0,3945.0,37.0,10.0,43.0,True,4,False,,39-43,True
99.0,34.0,18.0,65.0,38.0,7.0,9.0,21.0,True,2,False,,40-45,True
0.0,15.0,12.0,75.0,4660.0,13.0,12.0,27.0,True,4,False,,40-45,True
101.0,88.0,5.0,4.0,1.0,0.0,0.0,17.0,True,2,True,4,NT-30-30,False
0.0,0.0,1.0,7864.0,12099.0,0.0,0.0,18.0,True,4,True,1,NT-30-30,False
184.0,123.0,4.0,6.0,2.0,0.0,1.0,21.0,True,2,True,4,NT-30-32,False
0.0,0.0,0.0,8418.0,11916.0,0.0,0.0,9.0,True,4,True,1,NT-30-32,False
114.0,101.0,8.0,5.0,0.0,0.0,0.0,16.0,True,2,True,4,NT-30-34,False
0.0,0.0,0.0,8975.0,12557.0,0.0,0.0,14.0,True,4,True,1,NT-30-34,False
118.0,119.0,10.0,5.0,0.0,0.0,0.0,17.0,True,2,True,4,NT-30-36,False
0.0,0.0,1.0,9349.0,14067.0,1.0,0.0,10.0,True,4,True,1,NT-30-36,False
148.0,104.0,6.0,3.0,2.0,0.0,1.0,17.0,True,2,True,4,NT-30-38,False
0.0,0.0,0.0,9822.0,14584.0,1.0,0.0,10.0,True,4,True,1,NT-30-38,False
66.0,109.0,4.0,5.0,0.0,0.0,0.0,19.0,True,2,True,4,NT-30-40,False
209.0,205.0,77.0,74.0,12.0,0.0,0.0,22.0,True,2,True,4,NT-45-30,False
0.0,0.0,0.0,7912.0,11983.0,0.0,0.0,2.0,True,4,True,1,NT-45-30,False
